date,point,value_MSm3,value_GWh
2025-10-01 11:00:00+00:00,Dornum,43.5,458.925
2025-10-02 11:00:00+00:00,Dornum,44.3,467.365
2025-10-03 11:00:00+00:00,Dornum,43.2,455.76
2025-10-04 11:00:00+00:00,Dornum,43.8,462.09
2025-10-05 11:00:00+00:00,Dornum,43.5,458.925
2025-10-06 11:00:00+00:00,Dornum,43.2,455.76
2025-10-07 11:00:00+00:00,Dornum,43.3,456.815
2025-10-08 11:00:00+00:00,Dornum,46.0,485.3
2025-10-09 11:00:00+00:00,Dornum,45.3,477.915
2025-10-10 11:00:00+00:00,Dornum,43.8,462.09
2025-10-11 11:00:00+00:00,Dornum,44.1,465.255
2025-10-12 11:00:00+00:00,Dornum,44.2,466.31
2025-10-13 11:00:00+00:00,Dornum,44.0,464.2
2025-10-14 11:00:00+00:00,Dornum,40.4,426.22
2025-10-15 11:00:00+00:00,Dornum,42.1,444.155
2025-10-16 11:00:00+00:00,Dornum,41.5,437.825
2025-10-17 11:00:00+00:00,Dornum,40.9,431.495
2025-10-18 11:00:00+00:00,Dornum,41.6,438.88
2025-10-19 11:00:00+00:00,Dornum,37.6,396.68
2025-10-20 11:00:00+00:00,Dornum,36.7,387.185
2025-10-21 11:00:00+00:00,Dornum,37.0,390.35
2025-10-22 11:00:00+00:00,Dornum,40.79,430.335
2025-10-23 11:00:00+00:00,Dornum,41.2,434.66
2025-10-24 11:00:00+00:00,Dornum,41.9,442.045
2025-10-25 11:00:00+00:00,Dornum,42.4,447.32
2025-10-26 12:00:00+00:00,Dornum,49.4,521.17
2025-10-27 12:00:00+00:00,Dornum,48.3,509.565
2025-10-28 12:00:00+00:00,Dornum,51.3,541.215
2025-10-29 12:00:00+00:00,Dornum,46.6,491.63
2025-10-30 12:00:00+00:00,Dornum,50.6,533.83
2025-10-31 12:00:00+00:00,Dornum,49.0,516.95
2025-10-01 11:00:00+00:00,Dunkerque,42.5,448.375
2025-10-02 11:00:00+00:00,Dunkerque,44.0,464.2
2025-10-03 11:00:00+00:00,Dunkerque,44.3,467.365
2025-10-04 11:00:00+00:00,Dunkerque,38.79,409.234
2025-10-05 11:00:00+00:00,Dunkerque,42.7,450.485
2025-10-06 11:00:00+00:00,Dunkerque,44.2,466.31
2025-10-07 11:00:00+00:00,Dunkerque,39.7,418.835
2025-10-08 11:00:00+00:00,Dunkerque,34.4,362.92
2025-10-09 11:00:00+00:00,Dunkerque,37.7,397.735
2025-10-10 11:00:00+00:00,Dunkerque,34.5,363.975
2025-10-11 11:00:00+00:00,Dunkerque,33.0,348.15
2025-10-12 11:00:00+00:00,Dunkerque,27.8,293.29
2025-10-13 11:00:00+00:00,Dunkerque,40.0,422.0
2025-10-14 11:00:00+00:00,Dunkerque,44.5,469.475
2025-10-15 11:00:00+00:00,Dunkerque,44.9,473.695
2025-10-16 11:00:00+00:00,Dunkerque,28.2,297.51
2025-10-17 11:00:00+00:00,Dunkerque,44.5,469.475
2025-10-18 11:00:00+00:00,Dunkerque,48.2,508.51
2025-10-19 11:00:00+00:00,Dunkerque,47.8,504.29
2025-10-20 11:00:00+00:00,Dunkerque,41.2,434.66
2025-10-21 11:00:00+00:00,Dunkerque,46.0,485.3
2025-10-22 11:00:00+00:00,Dunkerque,47.4,500.07
2025-10-23 11:00:00+00:00,Dunkerque,45.4,478.97
2025-10-24 11:00:00+00:00,Dunkerque,41.2,434.66
2025-10-25 11:00:00+00:00,Dunkerque,47.3,499.015
2025-10-26 12:00:00+00:00,Dunkerque,45.2,476.86
2025-10-27 12:00:00+00:00,Dunkerque,47.3,499.015
2025-10-28 12:00:00+00:00,Dunkerque,48.7,513.785
2025-10-29 12:00:00+00:00,Dunkerque,44.1,465.255
2025-10-30 12:00:00+00:00,Dunkerque,47.1,496.905
2025-10-31 12:00:00+00:00,Dunkerque,48.8,514.84
2025-10-01 11:00:00+00:00,Easington,21.6,227.88
2025-10-02 11:00:00+00:00,Easington,52.1,549.655
2025-10-03 11:00:00+00:00,Easington,67.0,706.85
2025-10-04 11:00:00+00:00,Easington,37.29,393.41
2025-10-05 11:00:00+00:00,Easington,50.2,529.61
2025-10-06 11:00:00+00:00,Easington,60.6,639.33
2025-10-07 11:00:00+00:00,Easington,65.09,686.7
2025-10-08 11:00:00+00:00,Easington,68.2,719.51
2025-10-09 11:00:00+00:00,Easington,62.3,657.265
2025-10-10 11:00:00+00:00,Easington,67.3,710.015
2025-10-11 11:00:00+00:00,Easington,64.59,681.425
2025-10-12 11:00:00+00:00,Easington,55.5,585.525
2025-10-13 11:00:00+00:00,Easington,67.8,715.29
2025-10-14 11:00:00+00:00,Easington,68.8,725.84
2025-10-15 11:00:00+00:00,Easington,71.4,753.27
2025-10-16 11:00:00+00:00,Easington,61.9,653.045
2025-10-17 11:00:00+00:00,Easington,58.4,616.12
2025-10-18 11:00:00+00:00,Easington,63.4,668.87
2025-10-19 11:00:00+00:00,Easington,65.59,691.974
2025-10-20 11:00:00+00:00,Easington,71.09,750.0
2025-10-21 11:00:00+00:00,Easington,70.5,743.775
2025-10-22 11:00:00+00:00,Easington,68.4,721.62
2025-10-23 11:00:00+00:00,Easington,66.3,699.465
2025-10-24 11:00:00+00:00,Easington,62.1,655.155
2025-10-25 11:00:00+00:00,Easington,58.8,620.34
2025-10-26 12:00:00+00:00,Easington,47.4,500.07
2025-10-27 12:00:00+00:00,Easington,56.3,593.965
2025-10-28 12:00:00+00:00,Easington,62.5,659.375
2025-10-29 12:00:00+00:00,Easington,35.4,373.47
2025-10-30 12:00:00+00:00,Easington,65.4,689.97
2025-10-31 12:00:00+00:00,Easington,58.8,620.34
2025-10-01 11:00:00+00:00,Emden,83.2,877.76
2025-10-02 11:00:00+00:00,Emden,84.7,893.585
2025-10-03 11:00:00+00:00,Emden,85.2,898.86
2025-10-04 11:00:00+00:00,Emden,82.3,868.265
2025-10-05 11:00:00+00:00,Emden,86.3,910.465
2025-10-06 11:00:00+00:00,Emden,86.1,908.355
2025-10-07 11:00:00+00:00,Emden,84.8,894.64
2025-10-08 11:00:00+00:00,Emden,84.4,890.42
2025-10-09 11:00:00+00:00,Emden,83.7,883.035
2025-10-10 11:00:00+00:00,Emden,86.0,907.3
2025-10-11 11:00:00+00:00,Emden,85.7,904.135
2025-10-12 11:00:00+00:00,Emden,83.7,883.035
2025-10-13 11:00:00+00:00,Emden,83.0,875.65
2025-10-14 11:00:00+00:00,Emden,85.8,905.19
2025-10-15 11:00:00+00:00,Emden,85.0,896.75
2025-10-16 11:00:00+00:00,Emden,77.8,820.79
2025-10-17 11:00:00+00:00,Emden,79.7,840.835
2025-10-18 11:00:00+00:00,Emden,81.09,855.5
2025-10-19 11:00:00+00:00,Emden,80.59,850.225
2025-10-20 11:00:00+00:00,Emden,80.09,844.95
2025-10-21 11:00:00+00:00,Emden,80.4,848.22
2025-10-22 11:00:00+00:00,Emden,80.9,853.495
2025-10-23 11:00:00+00:00,Emden,79.8,841.89
2025-10-24 11:00:00+00:00,Emden,79.3,836.615
2025-10-25 11:00:00+00:00,Emden,84.1,887.255
2025-10-26 12:00:00+00:00,Emden,85.7,904.135
2025-10-27 12:00:00+00:00,Emden,86.6,913.63
2025-10-28 12:00:00+00:00,Emden,84.1,887.255
2025-10-29 12:00:00+00:00,Emden,84.7,893.585
2025-10-30 12:00:00+00:00,Emden,84.9,895.695
2025-10-31 12:00:00+00:00,Emden,83.7,883.035
2025-10-01 11:00:00+00:00,Fields Delivering into SEGAL,8.9,93.895
2025-10-02 11:00:00+00:00,Fields Delivering into SEGAL,12.4,130.82
2025-10-03 11:00:00+00:00,Fields Delivering into SEGAL,9.5,100.225
2025-10-04 11:00:00+00:00,Fields Delivering into SEGAL,11.7,123.435
2025-10-05 11:00:00+00:00,Fields Delivering into SEGAL,8.9,93.895
2025-10-06 11:00:00+00:00,Fields Delivering into SEGAL,9.3,98.115
2025-10-07 11:00:00+00:00,Fields Delivering into SEGAL,9.3,98.115
2025-10-08 11:00:00+00:00,Fields Delivering into SEGAL,9.3,98.115
2025-10-09 11:00:00+00:00,Fields Delivering into SEGAL,8.8,92.84
2025-10-10 11:00:00+00:00,Fields Delivering into SEGAL,8.3,87.565
2025-10-11 11:00:00+00:00,Fields Delivering into SEGAL,8.8,92.84
2025-10-12 11:00:00+00:00,Fields Delivering into SEGAL,8.8,92.84
2025-10-13 11:00:00+00:00,Fields Delivering into SEGAL,9.1,96.005
2025-10-14 11:00:00+00:00,Fields Delivering into SEGAL,9.1,96.005
2025-10-15 11:00:00+00:00,Fields Delivering into SEGAL,9.1,96.005
2025-10-16 11:00:00+00:00,Fields Delivering into SEGAL,9.1,96.005
2025-10-17 11:00:00+00:00,Fields Delivering into SEGAL,8.9,93.895
2025-10-18 11:00:00+00:00,Fields Delivering into SEGAL,8.9,93.895
2025-10-19 11:00:00+00:00,Fields Delivering into SEGAL,8.9,93.895
2025-10-20 11:00:00+00:00,Fields Delivering into SEGAL,8.8,92.84
2025-10-21 11:00:00+00:00,Fields Delivering into SEGAL,8.8,92.84
2025-10-22 11:00:00+00:00,Fields Delivering into SEGAL,8.8,92.84
2025-10-23 11:00:00+00:00,Fields Delivering into SEGAL,8.69,91.68
2025-10-24 11:00:00+00:00,Fields Delivering into SEGAL,8.0,84.4
2025-10-25 11:00:00+00:00,Fields Delivering into SEGAL,7.4,78.07
2025-10-26 12:00:00+00:00,Fields Delivering into SEGAL,8.6,90.73
2025-10-27 12:00:00+00:00,Fields Delivering into SEGAL,8.0,84.4
2025-10-28 12:00:00+00:00,Fields Delivering into SEGAL,8.5,89.675
2025-10-29 12:00:00+00:00,Fields Delivering into SEGAL,8.5,89.675
2025-10-30 12:00:00+00:00,Fields Delivering into SEGAL,9.1,96.005
2025-10-31 12:00:00+00:00,Fields Delivering into SEGAL,9.1,96.005
2025-10-01 11:00:00+00:00,Nybro,29.3,309.115
2025-10-02 11:00:00+00:00,Nybro,28.9,304.895
2025-10-03 11:00:00+00:00,Nybro,28.9,304.895
2025-10-04 11:00:00+00:00,Nybro,27.5,290.125
2025-10-05 11:00:00+00:00,Nybro,27.2,286.96
2025-10-06 11:00:00+00:00,Nybro,29.2,308.06
2025-10-07 11:00:00+00:00,Nybro,28.2,297.51
2025-10-08 11:00:00+00:00,Nybro,29.0,305.95
2025-10-09 11:00:00+00:00,Nybro,29.5,311.225
2025-10-10 11:00:00+00:00,Nybro,29.3,309.115
2025-10-11 11:00:00+00:00,Nybro,29.0,305.95
2025-10-12 11:00:00+00:00,Nybro,29.1,307.005
2025-10-13 11:00:00+00:00,Nybro,29.0,305.95
2025-10-14 11:00:00+00:00,Nybro,29.0,305.95
2025-10-15 11:00:00+00:00,Nybro,28.8,303.84
2025-10-16 11:00:00+00:00,Nybro,28.9,304.895
2025-10-17 11:00:00+00:00,Nybro,29.0,305.95
2025-10-18 11:00:00+00:00,Nybro,29.0,305.95
2025-10-19 11:00:00+00:00,Nybro,25.7,271.135
2025-10-20 11:00:00+00:00,Nybro,24.9,262.695
2025-10-21 11:00:00+00:00,Nybro,26.0,274.3
2025-10-22 11:00:00+00:00,Nybro,29.2,308.06
2025-10-23 11:00:00+00:00,Nybro,28.3,298.565
2025-10-24 11:00:00+00:00,Nybro,27.5,290.125
2025-10-25 11:00:00+00:00,Nybro,29.1,307.005
2025-10-26 12:00:00+00:00,Nybro,29.2,308.06
2025-10-27 12:00:00+00:00,Nybro,29.0,305.95
2025-10-28 12:00:00+00:00,Nybro,29.0,305.95
2025-10-29 12:00:00+00:00,Nybro,29.0,305.95
2025-10-30 12:00:00+00:00,Nybro,29.0,305.95
2025-10-31 12:00:00+00:00,Nybro,29.1,307.005
2025-10-01 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-02 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-03 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-04 11:00:00+00:00,Other Exit Nominations,1.9,20.045
2025-10-05 11:00:00+00:00,Other Exit Nominations,1.8,18.99
2025-10-06 11:00:00+00:00,Other Exit Nominations,2.0,21.1
2025-10-07 11:00:00+00:00,Other Exit Nominations,2.0,21.1
2025-10-08 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-09 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-10 11:00:00+00:00,Other Exit Nominations,1.6,16.88
2025-10-11 11:00:00+00:00,Other Exit Nominations,1.6,16.88
2025-10-12 11:00:00+00:00,Other Exit Nominations,1.6,16.88
2025-10-13 11:00:00+00:00,Other Exit Nominations,2.0,21.1
2025-10-14 11:00:00+00:00,Other Exit Nominations,2.0,21.1
2025-10-15 11:00:00+00:00,Other Exit Nominations,2.0,21.1
2025-10-16 11:00:00+00:00,Other Exit Nominations,1.8,18.99
2025-10-17 11:00:00+00:00,Other Exit Nominations,1.8,18.99
2025-10-18 11:00:00+00:00,Other Exit Nominations,1.8,18.99
2025-10-19 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-20 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-21 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-22 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-23 11:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-24 11:00:00+00:00,Other Exit Nominations,2.29,24.16
2025-10-25 11:00:00+00:00,Other Exit Nominations,1.6,16.88
2025-10-26 12:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-27 12:00:00+00:00,Other Exit Nominations,1.7,17.935
2025-10-28 12:00:00+00:00,Other Exit Nominations,2.0,21.1
2025-10-29 12:00:00+00:00,Other Exit Nominations,2.0,21.1
2025-10-30 12:00:00+00:00,Other Exit Nominations,2.0,21.1
2025-10-31 12:00:00+00:00,Other Exit Nominations,1.9,20.045
2025-10-01 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-02 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-03 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-04 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-05 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-06 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-07 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-08 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-09 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-10 11:00:00+00:00,St.Fergus,0.2,2.11
2025-10-11 11:00:00+00:00,St.Fergus,0.2,2.11
2025-10-12 11:00:00+00:00,St.Fergus,0.2,2.11
2025-10-13 11:00:00+00:00,St.Fergus,0.4,4.22
2025-10-14 11:00:00+00:00,St.Fergus,0.7,7.385
2025-10-15 11:00:00+00:00,St.Fergus,0.1,1.055
2025-10-16 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-17 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-18 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-19 11:00:00+00:00,St.Fergus,0.2,2.11
2025-10-20 11:00:00+00:00,St.Fergus,3.9,41.145
2025-10-21 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-22 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-23 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-24 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-25 11:00:00+00:00,St.Fergus,0.0,0.0
2025-10-26 12:00:00+00:00,St.Fergus,0.0,0.0
2025-10-27 12:00:00+00:00,St.Fergus,0.2,2.11
2025-10-28 12:00:00+00:00,St.Fergus,0.0,0.0
2025-10-29 12:00:00+00:00,St.Fergus,0.0,0.0
2025-10-30 12:00:00+00:00,St.Fergus,0.0,0.0
2025-10-31 12:00:00+00:00,St.Fergus,0.0,0.0
2025-10-01 11:00:00+00:00,Sum Exit Nominations NCS,275.1,2902.305
2025-10-02 11:00:00+00:00,Sum Exit Nominations NCS,311.7,3288.435
2025-10-03 11:00:00+00:00,Sum Exit Nominations NCS,322.8,3405.54
2025-10-04 11:00:00+00:00,Sum Exit Nominations NCS,286.3,3020.465
2025-10-05 11:00:00+00:00,Sum Exit Nominations NCS,303.7,3204.035
2025-10-06 11:00:00+00:00,Sum Exit Nominations NCS,317.5,3349.625
2025-10-07 11:00:00+00:00,Sum Exit Nominations NCS,314.5,3317.975
2025-10-08 11:00:00+00:00,Sum Exit Nominations NCS,316.39,3337.914
2025-10-09 11:00:00+00:00,Sum Exit Nominations NCS,312.39,3295.714
2025-10-10 11:00:00+00:00,Sum Exit Nominations NCS,314.39,3316.814
2025-10-11 11:00:00+00:00,Sum Exit Nominations NCS,310.2,3272.61
2025-10-12 11:00:00+00:00,Sum Exit Nominations NCS,288.2,3040.51
2025-10-13 11:00:00+00:00,Sum Exit Nominations NCS,318.89,3364.29
2025-10-14 11:00:00+00:00,Sum Exit Nominations NCS,323.6,3413.98
2025-10-15 11:00:00+00:00,Sum Exit Nominations NCS,325.0,3428.75
2025-10-16 11:00:00+00:00,Sum Exit Nominations NCS,290.89,3068.89
2025-10-17 11:00:00+00:00,Sum Exit Nominations NCS,305.2,3219.86
2025-10-18 11:00:00+00:00,Sum Exit Nominations NCS,314.1,3313.755
2025-10-19 11:00:00+00:00,Sum Exit Nominations NCS,309.8,3268.39
2025-10-20 11:00:00+00:00,Sum Exit Nominations NCS,310.5,3275.775
2025-10-21 11:00:00+00:00,Sum Exit Nominations NCS,312.39,3295.714
2025-10-22 11:00:00+00:00,Sum Exit Nominations NCS,319.1,3366.505
2025-10-23 11:00:00+00:00,Sum Exit Nominations NCS,313.1,3303.205
2025-10-24 11:00:00+00:00,Sum Exit Nominations NCS,304.0,3207.2
2025-10-25 11:00:00+00:00,Sum Exit Nominations NCS,312.3,3294.765
2025-10-26 12:00:00+00:00,Sum Exit Nominations NCS,309.1,3261.005
2025-10-27 12:00:00+00:00,Sum Exit Nominations NCS,319.1,3366.505
2025-10-28 12:00:00+00:00,Sum Exit Nominations NCS,328.0,3460.4
2025-10-29 12:00:00+00:00,Sum Exit Nominations NCS,292.39,3084.714
2025-10-30 12:00:00+00:00,Sum Exit Nominations NCS,330.2,3483.61
2025-10-31 12:00:00+00:00,Sum Exit Nominations NCS,322.39,3401.214
2025-10-01 11:00:00+00:00,Zeebrugge,44.4,468.42
2025-10-02 11:00:00+00:00,Zeebrugge,43.6,459.98
2025-10-03 11:00:00+00:00,Zeebrugge,43.0,453.65
2025-10-04 11:00:00+00:00,Zeebrugge,42.9,452.595
2025-10-05 11:00:00+00:00,Zeebrugge,42.9,452.595
2025-10-06 11:00:00+00:00,Zeebrugge,42.8,451.54
2025-10-07 11:00:00+00:00,Zeebrugge,42.1,444.155
2025-10-08 11:00:00+00:00,Zeebrugge,43.4,457.87
2025-10-09 11:00:00+00:00,Zeebrugge,43.4,457.87
2025-10-10 11:00:00+00:00,Zeebrugge,43.4,457.87
2025-10-11 11:00:00+00:00,Zeebrugge,43.2,455.76
2025-10-12 11:00:00+00:00,Zeebrugge,37.29,393.41
2025-10-13 11:00:00+00:00,Zeebrugge,43.6,459.98
2025-10-14 11:00:00+00:00,Zeebrugge,43.3,456.815
2025-10-15 11:00:00+00:00,Zeebrugge,41.6,438.88
2025-10-16 11:00:00+00:00,Zeebrugge,41.6,438.88
2025-10-17 11:00:00+00:00,Zeebrugge,41.9,442.045
2025-10-18 11:00:00+00:00,Zeebrugge,40.1,423.055
2025-10-19 11:00:00+00:00,Zeebrugge,41.7,439.935
2025-10-20 11:00:00+00:00,Zeebrugge,41.9,442.045
2025-10-21 11:00:00+00:00,Zeebrugge,41.9,442.045
2025-10-22 11:00:00+00:00,Zeebrugge,42.0,443.1
2025-10-23 11:00:00+00:00,Zeebrugge,41.7,439.935
2025-10-24 11:00:00+00:00,Zeebrugge,41.7,439.935
2025-10-25 11:00:00+00:00,Zeebrugge,41.6,438.88
