date,point,value_MSm3,value_GWh
2025-05-01 11:00:00+00:00,Dornum,67.09,707.8
2025-05-02 11:00:00+00:00,Dornum,62.3,657.265
2025-05-03 11:00:00+00:00,Dornum,57.0,601.35
2025-05-04 11:00:00+00:00,Dornum,55.4,584.47
2025-05-05 11:00:00+00:00,Dornum,46.5,490.575
2025-05-06 11:00:00+00:00,Dornum,46.9,494.795
2025-05-07 11:00:00+00:00,Dornum,50.7,534.885
2025-05-08 11:00:00+00:00,Dornum,49.9,526.445
2025-05-09 11:00:00+00:00,Dornum,48.5,511.675
2025-05-10 11:00:00+00:00,Dornum,44.8,472.64
2025-05-11 11:00:00+00:00,Dornum,44.3,467.365
2025-05-12 11:00:00+00:00,Dornum,44.7,471.585
2025-05-13 11:00:00+00:00,Dornum,45.1,475.805
2025-05-14 11:00:00+00:00,Dornum,43.9,463.145
2025-05-15 11:00:00+00:00,Dornum,45.0,474.75
2025-05-16 11:00:00+00:00,Dornum,44.6,470.53
2025-05-17 11:00:00+00:00,Dornum,43.3,456.815
2025-05-18 11:00:00+00:00,Dornum,42.7,450.485
2025-05-19 11:00:00+00:00,Dornum,42.6,449.43
2025-05-20 11:00:00+00:00,Dornum,43.8,462.09
2025-05-21 11:00:00+00:00,Dornum,47.9,505.345
2025-05-22 11:00:00+00:00,Dornum,43.6,459.98
2025-05-23 11:00:00+00:00,Dornum,36.7,387.185
2025-05-24 11:00:00+00:00,Dornum,39.29,414.51
2025-05-25 11:00:00+00:00,Dornum,40.6,428.33
2025-05-26 11:00:00+00:00,Dornum,39.2,413.56
2025-05-27 11:00:00+00:00,Dornum,37.6,396.68
2025-05-28 11:00:00+00:00,Dornum,41.9,442.045
2025-05-29 11:00:00+00:00,Dornum,39.4,415.67
2025-05-30 11:00:00+00:00,Dornum,41.4,436.77
2025-05-31 11:00:00+00:00,Dornum,43.7,461.035
2025-05-01 11:00:00+00:00,Dunkerque,42.7,450.485
2025-05-02 11:00:00+00:00,Dunkerque,45.5,480.025
2025-05-03 11:00:00+00:00,Dunkerque,48.8,514.84
2025-05-04 11:00:00+00:00,Dunkerque,45.6,481.08
2025-05-05 11:00:00+00:00,Dunkerque,49.7,524.335
2025-05-06 11:00:00+00:00,Dunkerque,50.3,530.665
2025-05-07 11:00:00+00:00,Dunkerque,51.1,539.105
2025-05-08 11:00:00+00:00,Dunkerque,48.3,509.565
2025-05-09 11:00:00+00:00,Dunkerque,52.0,548.6
2025-05-10 11:00:00+00:00,Dunkerque,51.9,547.545
2025-05-11 11:00:00+00:00,Dunkerque,51.9,547.545
2025-05-12 11:00:00+00:00,Dunkerque,51.4,542.27
2025-05-13 11:00:00+00:00,Dunkerque,51.9,547.545
2025-05-14 11:00:00+00:00,Dunkerque,52.1,549.655
2025-05-15 11:00:00+00:00,Dunkerque,47.7,503.235
2025-05-16 11:00:00+00:00,Dunkerque,51.4,542.27
2025-05-17 11:00:00+00:00,Dunkerque,50.6,533.83
2025-05-18 11:00:00+00:00,Dunkerque,46.9,494.795
2025-05-19 11:00:00+00:00,Dunkerque,35.29,372.31
2025-05-20 11:00:00+00:00,Dunkerque,49.6,523.28
2025-05-21 11:00:00+00:00,Dunkerque,0.0,0.0
2025-05-22 11:00:00+00:00,Dunkerque,4.59,48.424
2025-05-23 11:00:00+00:00,Dunkerque,48.7,513.785
2025-05-24 11:00:00+00:00,Dunkerque,23.9,252.145
2025-05-25 11:00:00+00:00,Dunkerque,51.9,547.545
2025-05-26 11:00:00+00:00,Dunkerque,42.8,451.54
2025-05-27 11:00:00+00:00,Dunkerque,47.9,505.345
2025-05-28 11:00:00+00:00,Dunkerque,50.2,529.61
2025-05-29 11:00:00+00:00,Dunkerque,52.0,548.6
2025-05-30 11:00:00+00:00,Dunkerque,51.7,545.435
2025-05-31 11:00:00+00:00,Dunkerque,51.8,546.49
2025-05-01 11:00:00+00:00,Easington,65.8,694.19
2025-05-02 11:00:00+00:00,Easington,56.4,595.02
2025-05-03 11:00:00+00:00,Easington,14.1,148.755
2025-05-04 11:00:00+00:00,Easington,20.0,211.0
2025-05-05 11:00:00+00:00,Easington,20.3,214.165
2025-05-06 11:00:00+00:00,Easington,21.7,228.935
2025-05-07 11:00:00+00:00,Easington,22.6,238.43
2025-05-08 11:00:00+00:00,Easington,29.8,314.39
2025-05-09 11:00:00+00:00,Easington,58.3,615.065
2025-05-10 11:00:00+00:00,Easington,58.1,612.955
2025-05-11 11:00:00+00:00,Easington,58.1,612.955
