date,point,value_MSm3,value_GWh
2022-07-01 11:00:00+00:00,Dornum,66.9,705.795
2022-07-02 11:00:00+00:00,Dornum,66.9,705.795
2022-07-03 11:00:00+00:00,Dornum,66.59,702.525
2022-07-04 11:00:00+00:00,Dornum,66.8,704.74
2022-07-05 11:00:00+00:00,Dornum,66.8,704.74
2022-07-06 11:00:00+00:00,Dornum,66.9,705.795
2022-07-07 11:00:00+00:00,Dornum,66.8,704.74
2022-07-08 11:00:00+00:00,Dornum,66.8,704.74
2022-07-09 11:00:00+00:00,Dornum,66.8,704.74
2022-07-10 11:00:00+00:00,Dornum,66.5,701.575
2022-07-11 11:00:00+00:00,Dornum,64.5,680.475
2022-07-12 11:00:00+00:00,Dornum,59.6,628.78
2022-07-13 11:00:00+00:00,Dornum,63.5,669.925
2022-07-14 11:00:00+00:00,Dornum,65.7,693.135
2022-07-15 11:00:00+00:00,Dornum,65.4,689.97
2022-07-16 11:00:00+00:00,Dornum,65.5,691.025
2022-07-17 11:00:00+00:00,Dornum,65.7,693.135
2022-07-18 11:00:00+00:00,Dornum,65.2,687.86
2022-07-19 11:00:00+00:00,Dornum,66.3,699.465
2022-07-20 11:00:00+00:00,Dornum,66.09,697.25
2022-07-21 11:00:00+00:00,Dornum,64.7,682.585
2022-07-22 11:00:00+00:00,Dornum,64.7,682.585
2022-07-23 11:00:00+00:00,Dornum,64.8,683.64
2022-07-24 11:00:00+00:00,Dornum,64.9,684.695
2022-07-25 11:00:00+00:00,Dornum,64.9,684.695
2022-07-26 11:00:00+00:00,Dornum,66.0,696.3
2022-07-27 11:00:00+00:00,Dornum,65.8,694.19
2022-07-28 11:00:00+00:00,Dornum,66.4,700.52
2022-07-29 11:00:00+00:00,Dornum,65.9,695.245
2022-07-30 11:00:00+00:00,Dornum,66.0,696.3
2022-07-31 11:00:00+00:00,Dornum,66.0,696.3
2022-07-01 11:00:00+00:00,Dunkerque,53.5,564.425
2022-07-02 11:00:00+00:00,Dunkerque,53.6,565.48
2022-07-03 11:00:00+00:00,Dunkerque,53.5,564.425
2022-07-04 11:00:00+00:00,Dunkerque,53.6,565.48
2022-07-05 11:00:00+00:00,Dunkerque,53.6,565.48
2022-07-06 11:00:00+00:00,Dunkerque,53.6,565.48
2022-07-07 11:00:00+00:00,Dunkerque,53.6,565.48
2022-07-08 11:00:00+00:00,Dunkerque,53.6,565.48
2022-07-09 11:00:00+00:00,Dunkerque,53.5,564.425
2022-07-10 11:00:00+00:00,Dunkerque,53.6,565.48
2022-07-11 11:00:00+00:00,Dunkerque,52.6,554.93
2022-07-12 11:00:00+00:00,Dunkerque,50.4,531.72
2022-07-13 11:00:00+00:00,Dunkerque,52.9,558.095
2022-07-14 11:00:00+00:00,Dunkerque,53.8,567.59
2022-07-15 11:00:00+00:00,Dunkerque,53.8,567.59
2022-07-16 11:00:00+00:00,Dunkerque,53.7,566.535
2022-07-17 11:00:00+00:00,Dunkerque,53.7,566.535
2022-07-18 11:00:00+00:00,Dunkerque,53.4,563.37
2022-07-19 11:00:00+00:00,Dunkerque,53.3,562.315
2022-07-20 11:00:00+00:00,Dunkerque,45.7,482.135
2022-07-21 11:00:00+00:00,Dunkerque,45.7,482.135
2022-07-22 11:00:00+00:00,Dunkerque,45.7,482.135
2022-07-23 11:00:00+00:00,Dunkerque,45.6,481.08
2022-07-24 11:00:00+00:00,Dunkerque,53.2,561.26
2022-07-25 11:00:00+00:00,Dunkerque,53.3,562.315
2022-07-26 11:00:00+00:00,Dunkerque,53.2,561.26
2022-07-27 11:00:00+00:00,Dunkerque,51.9,547.545
2022-07-28 11:00:00+00:00,Dunkerque,43.4,457.87
2022-07-29 11:00:00+00:00,Dunkerque,48.9,515.895
2022-07-30 11:00:00+00:00,Dunkerque,42.3,446.265
2022-07-31 11:00:00+00:00,Dunkerque,41.7,439.935
2022-07-01 11:00:00+00:00,Easington,51.7,545.435
2022-07-02 11:00:00+00:00,Easington,55.6,586.58
2022-07-03 11:00:00+00:00,Easington,58.9,621.395
2022-07-04 11:00:00+00:00,Easington,59.5,627.725
2022-07-05 11:00:00+00:00,Easington,59.0,622.45
2022-07-06 11:00:00+00:00,Easington,59.3,625.615
2022-07-07 11:00:00+00:00,Easington,58.3,615.065
2022-07-08 11:00:00+00:00,Easington,59.8,630.89
2022-07-09 11:00:00+00:00,Easington,60.4,637.22
2022-07-10 11:00:00+00:00,Easington,61.9,653.045
2022-07-11 11:00:00+00:00,Easington,21.2,223.66
2022-07-12 11:00:00+00:00,Easington,9.3,98.115
2022-07-13 11:00:00+00:00,Easington,15.4,162.47
2022-07-14 11:00:00+00:00,Easington,47.2,497.96
2022-07-15 11:00:00+00:00,Easington,59.4,626.67
2022-07-16 11:00:00+00:00,Easington,68.3,720.565
2022-07-17 11:00:00+00:00,Easington,66.3,699.465
2022-07-18 11:00:00+00:00,Easington,64.4,679.42
2022-07-19 11:00:00+00:00,Easington,62.0,654.1
2022-07-20 11:00:00+00:00,Easington,66.4,700.52
2022-07-21 11:00:00+00:00,Easington,69.3,731.115
2022-07-22 11:00:00+00:00,Easington,62.3,657.265
2022-07-23 11:00:00+00:00,Easington,65.3,688.915
2022-07-24 11:00:00+00:00,Easington,56.9,600.295
2022-07-25 11:00:00+00:00,Easington,61.6,649.88
2022-07-26 11:00:00+00:00,Easington,59.7,629.835
2022-07-27 11:00:00+00:00,Easington,63.8,673.09
2022-07-28 11:00:00+00:00,Easington,70.3,741.665
