date,point,value_MSm3,value_GWh
2021-12-01 12:00:00+00:00,Dornum,52.3,551.765
2021-12-02 12:00:00+00:00,Dornum,58.2,614.01
2021-12-03 12:00:00+00:00,Dornum,63.2,666.76
2021-12-04 12:00:00+00:00,Dornum,62.1,655.155
2021-12-05 12:00:00+00:00,Dornum,62.2,656.21
2021-12-06 12:00:00+00:00,Dornum,62.6,660.43
2021-12-07 12:00:00+00:00,Dornum,59.7,629.835
2021-12-08 12:00:00+00:00,Dornum,52.8,557.04
2021-12-09 12:00:00+00:00,Dornum,60.8,641.44
2021-12-10 12:00:00+00:00,Dornum,62.4,658.32
2021-12-11 12:00:00+00:00,Dornum,62.0,654.1
2021-12-12 12:00:00+00:00,Dornum,63.1,665.705
2021-12-13 12:00:00+00:00,Dornum,62.8,662.54
2021-12-14 12:00:00+00:00,Dornum,61.5,648.825
2021-12-15 12:00:00+00:00,Dornum,62.3,657.265
2021-12-16 12:00:00+00:00,Dornum,62.0,654.1
2021-12-17 12:00:00+00:00,Dornum,61.7,650.935
2021-12-18 12:00:00+00:00,Dornum,60.3,636.165
2021-12-19 12:00:00+00:00,Dornum,57.3,604.515
2021-12-20 12:00:00+00:00,Dornum,60.8,641.44
2021-12-21 12:00:00+00:00,Dornum,62.9,663.595
2021-12-22 12:00:00+00:00,Dornum,62.7,661.485
2021-12-23 12:00:00+00:00,Dornum,62.4,658.32
2021-12-24 12:00:00+00:00,Dornum,61.7,650.935
2021-12-25 12:00:00+00:00,Dornum,60.9,642.495
2021-12-26 12:00:00+00:00,Dornum,61.4,647.77
2021-12-27 12:00:00+00:00,Dornum,61.8,651.99
2021-12-28 12:00:00+00:00,Dornum,61.9,653.045
2021-12-29 12:00:00+00:00,Dornum,62.0,654.1
2021-12-30 12:00:00+00:00,Dornum,61.9,653.045
2021-12-31 12:00:00+00:00,Dornum,61.0,643.55
2021-12-01 12:00:00+00:00,Dunkerque,46.7,492.685
2021-12-02 12:00:00+00:00,Dunkerque,39.29,414.51
2021-12-03 12:00:00+00:00,Dunkerque,42.9,452.595
2021-12-04 12:00:00+00:00,Dunkerque,46.1,486.355
2021-12-05 12:00:00+00:00,Dunkerque,44.6,470.53
2021-12-06 12:00:00+00:00,Dunkerque,42.8,451.54
2021-12-07 12:00:00+00:00,Dunkerque,44.5,469.475
2021-12-08 12:00:00+00:00,Dunkerque,34.6,365.03
2021-12-09 12:00:00+00:00,Dunkerque,50.0,527.5
2021-12-10 12:00:00+00:00,Dunkerque,53.2,561.26
2021-12-11 12:00:00+00:00,Dunkerque,53.4,563.37
2021-12-12 12:00:00+00:00,Dunkerque,53.3,562.315
2021-12-13 12:00:00+00:00,Dunkerque,53.3,562.315
2021-12-14 12:00:00+00:00,Dunkerque,53.3,562.315
