date,point,value_MSm3,value_GWh
2021-08-01 11:00:00+00:00,Dornum,42.6,449.43
2021-08-02 11:00:00+00:00,Dornum,35.4,373.47
2021-08-03 11:00:00+00:00,Dornum,35.29,372.31
2021-08-04 11:00:00+00:00,Dornum,45.7,482.135
2021-08-05 11:00:00+00:00,Dornum,55.4,584.47
2021-08-06 11:00:00+00:00,Dornum,58.5,617.175
2021-08-07 11:00:00+00:00,Dornum,58.8,620.34
2021-08-08 11:00:00+00:00,Dornum,59.7,629.835
2021-08-09 11:00:00+00:00,Dornum,48.0,506.4
2021-08-10 11:00:00+00:00,Dornum,53.0,559.15
2021-08-11 11:00:00+00:00,Dornum,57.2,603.46
2021-08-12 11:00:00+00:00,Dornum,60.2,635.11
2021-08-13 11:00:00+00:00,Dornum,60.1,634.055
2021-08-14 11:00:00+00:00,Dornum,61.1,644.605
2021-08-15 11:00:00+00:00,Dornum,61.4,647.77
2021-08-16 11:00:00+00:00,Dornum,61.5,648.825
2021-08-17 11:00:00+00:00,Dornum,61.5,648.825
2021-08-18 11:00:00+00:00,Dornum,61.6,649.88
2021-08-19 11:00:00+00:00,Dornum,61.7,650.935
2021-08-20 11:00:00+00:00,Dornum,61.5,648.825
2021-08-21 11:00:00+00:00,Dornum,61.6,649.88
2021-08-22 11:00:00+00:00,Dornum,61.7,650.935
2021-08-23 11:00:00+00:00,Dornum,62.1,655.155
2021-08-24 11:00:00+00:00,Dornum,59.9,631.945
2021-08-25 11:00:00+00:00,Dornum,61.6,649.88
2021-08-26 11:00:00+00:00,Dornum,61.6,649.88
2021-08-27 11:00:00+00:00,Dornum,61.1,644.605
2021-08-28 11:00:00+00:00,Dornum,60.0,633.0
2021-08-29 11:00:00+00:00,Dornum,60.1,634.055
2021-08-30 11:00:00+00:00,Dornum,61.4,647.77
2021-08-31 11:00:00+00:00,Dornum,60.4,637.22
2021-08-01 11:00:00+00:00,Dunkerque,44.0,464.2
2021-08-02 11:00:00+00:00,Dunkerque,44.6,470.53
2021-08-03 11:00:00+00:00,Dunkerque,44.9,473.695
2021-08-04 11:00:00+00:00,Dunkerque,46.6,491.63
2021-08-05 11:00:00+00:00,Dunkerque,53.3,562.315
2021-08-06 11:00:00+00:00,Dunkerque,52.9,558.095
2021-08-07 11:00:00+00:00,Dunkerque,53.6,565.48
2021-08-08 11:00:00+00:00,Dunkerque,53.1,560.205
2021-08-09 11:00:00+00:00,Dunkerque,49.5,522.225
2021-08-10 11:00:00+00:00,Dunkerque,52.3,551.765
2021-08-11 11:00:00+00:00,Dunkerque,53.2,561.26
2021-08-12 11:00:00+00:00,Dunkerque,53.1,560.205
2021-08-13 11:00:00+00:00,Dunkerque,52.8,557.04
2021-08-14 11:00:00+00:00,Dunkerque,53.1,560.205
2021-08-15 11:00:00+00:00,Dunkerque,53.1,560.205
2021-08-16 11:00:00+00:00,Dunkerque,53.1,560.205
2021-08-17 11:00:00+00:00,Dunkerque,53.1,560.205
2021-08-18 11:00:00+00:00,Dunkerque,53.1,560.205
2021-08-19 11:00:00+00:00,Dunkerque,53.7,566.535
2021-08-20 11:00:00+00:00,Dunkerque,53.1,560.205
2021-08-21 11:00:00+00:00,Dunkerque,52.9,558.095
2021-08-22 11:00:00+00:00,Dunkerque,53.2,561.26
2021-08-23 11:00:00+00:00,Dunkerque,53.0,559.15
2021-08-24 11:00:00+00:00,Dunkerque,44.9,473.695
2021-08-25 11:00:00+00:00,Dunkerque,50.6,533.83
2021-08-26 11:00:00+00:00,Dunkerque,52.4,552.82
2021-08-27 11:00:00+00:00,Dunkerque,47.6,502.18
2021-08-28 11:00:00+00:00,Dunkerque,49.1,518.005
2021-08-29 11:00:00+00:00,Dunkerque,49.1,518.005
2021-08-30 11:00:00+00:00,Dunkerque,49.6,523.28
2021-08-31 11:00:00+00:00,Dunkerque,52.8,557.04
2021-08-01 11:00:00+00:00,Easington,45.0,474.75
2021-08-02 11:00:00+00:00,Easington,44.5,469.475
2021-08-03 11:00:00+00:00,Easington,42.7,450.485
2021-08-04 11:00:00+00:00,Easington,23.7,250.035
2021-08-05 11:00:00+00:00,Easington,36.5,385.075
2021-08-06 11:00:00+00:00,Easington,29.3,309.115
2021-08-07 11:00:00+00:00,Easington,27.7,292.235
2021-08-08 11:00:00+00:00,Easington,28.9,304.895
2021-08-09 11:00:00+00:00,Easington,21.9,231.045
2021-08-10 11:00:00+00:00,Easington,33.9,357.645
2021-08-11 11:00:00+00:00,Easington,39.29,414.51
2021-08-12 11:00:00+00:00,Easington,47.6,502.18
2021-08-13 11:00:00+00:00,Easington,49.1,518.005
2021-08-14 11:00:00+00:00,Easington,36.2,381.91
2021-08-15 11:00:00+00:00,Easington,33.29,351.21
2021-08-16 11:00:00+00:00,Easington,56.3,593.965
2021-08-17 11:00:00+00:00,Easington,44.1,465.255
2021-08-18 11:00:00+00:00,Easington,39.4,415.67
2021-08-19 11:00:00+00:00,Easington,47.6,502.18
2021-08-20 11:00:00+00:00,Easington,27.5,290.125
2021-08-21 11:00:00+00:00,Easington,36.0,379.8
2021-08-22 11:00:00+00:00,Easington,37.4,394.57
2021-08-23 11:00:00+00:00,Easington,40.4,426.22
2021-08-24 11:00:00+00:00,Easington,49.7,524.335
2021-08-25 11:00:00+00:00,Easington,41.5,437.825
2021-08-26 11:00:00+00:00,Easington,41.7,439.935
2021-08-27 11:00:00+00:00,Easington,40.6,428.33
2021-08-28 11:00:00+00:00,Easington,31.4,331.27
2021-08-29 11:00:00+00:00,Easington,38.29,403.96
2021-08-30 11:00:00+00:00,Easington,33.7,355.535
2021-08-31 11:00:00+00:00,Easington,51.0,538.05
2021-08-01 11:00:00+00:00,Emden,82.6,871.43
2021-08-02 11:00:00+00:00,Emden,86.8,915.74
2021-08-03 11:00:00+00:00,Emden,87.3,921.015
2021-08-04 11:00:00+00:00,Emden,92.5,975.875
2021-08-05 11:00:00+00:00,Emden,91.9,969.545
2021-08-06 11:00:00+00:00,Emden,90.4,953.72
2021-08-07 11:00:00+00:00,Emden,89.9,948.445
2021-08-08 11:00:00+00:00,Emden,91.6,966.38
2021-08-09 11:00:00+00:00,Emden,87.6,924.18
2021-08-10 11:00:00+00:00,Emden,88.3,931.565
2021-08-11 11:00:00+00:00,Emden,92.0,970.6
2021-08-12 11:00:00+00:00,Emden,90.8,957.94
2021-08-13 11:00:00+00:00,Emden,90.6,955.83
2021-08-14 11:00:00+00:00,Emden,90.9,958.995
2021-08-15 11:00:00+00:00,Emden,90.9,958.995
2021-08-16 11:00:00+00:00,Emden,92.2,972.71
2021-08-17 11:00:00+00:00,Emden,90.4,953.72
2021-08-18 11:00:00+00:00,Emden,90.9,958.995
2021-08-19 11:00:00+00:00,Emden,90.1,950.555
2021-08-20 11:00:00+00:00,Emden,90.6,955.83
2021-08-21 11:00:00+00:00,Emden,91.0,960.05
2021-08-22 11:00:00+00:00,Emden,91.0,960.05
2021-08-23 11:00:00+00:00,Emden,90.8,957.94
2021-08-24 11:00:00+00:00,Emden,91.0,960.05
2021-08-25 11:00:00+00:00,Emden,90.9,958.995
2021-08-26 11:00:00+00:00,Emden,92.3,973.765
2021-08-27 11:00:00+00:00,Emden,90.9,958.995
2021-08-28 11:00:00+00:00,Emden,90.6,955.83
2021-08-29 11:00:00+00:00,Emden,92.4,974.82
2021-08-30 11:00:00+00:00,Emden,90.9,958.995
2021-08-31 11:00:00+00:00,Emden,90.5,954.775
2021-08-01 11:00:00+00:00,Fields Delivering into SEGAL,16.0,168.8
2021-08-02 11:00:00+00:00,Fields Delivering into SEGAL,16.0,168.8
2021-08-03 11:00:00+00:00,Fields Delivering into SEGAL,16.0,168.8
2021-08-04 11:00:00+00:00,Fields Delivering into SEGAL,16.0,168.8
2021-08-05 11:00:00+00:00,Fields Delivering into SEGAL,15.9,167.745
2021-08-06 11:00:00+00:00,Fields Delivering into SEGAL,16.1,169.855
2021-08-07 11:00:00+00:00,Fields Delivering into SEGAL,15.1,159.305
2021-08-08 11:00:00+00:00,Fields Delivering into SEGAL,15.1,159.305
2021-08-09 11:00:00+00:00,Fields Delivering into SEGAL,14.4,151.92
2021-08-10 11:00:00+00:00,Fields Delivering into SEGAL,15.2,160.36
2021-08-11 11:00:00+00:00,Fields Delivering into SEGAL,15.4,162.47
2021-08-12 11:00:00+00:00,Fields Delivering into SEGAL,15.7,165.635
2021-08-13 11:00:00+00:00,Fields Delivering into SEGAL,16.0,168.8
2021-08-14 11:00:00+00:00,Fields Delivering into SEGAL,16.0,168.8
2021-08-15 11:00:00+00:00,Fields Delivering into SEGAL,16.0,168.8
2021-08-16 11:00:00+00:00,Fields Delivering into SEGAL,16.0,168.8
2021-08-17 11:00:00+00:00,Fields Delivering into SEGAL,16.0,168.8
2021-08-18 11:00:00+00:00,Fields Delivering into SEGAL,16.1,169.855
2021-08-19 11:00:00+00:00,Fields Delivering into SEGAL,16.39,172.914
2021-08-20 11:00:00+00:00,Fields Delivering into SEGAL,16.3,171.965
2021-08-21 11:00:00+00:00,Fields Delivering into SEGAL,13.3,140.315
2021-08-22 11:00:00+00:00,Fields Delivering into SEGAL,13.6,143.48
2021-08-23 11:00:00+00:00,Fields Delivering into SEGAL,16.89,178.19
2021-08-24 11:00:00+00:00,Fields Delivering into SEGAL,15.4,162.47
2021-08-25 11:00:00+00:00,Fields Delivering into SEGAL,16.3,171.965
2021-08-26 11:00:00+00:00,Fields Delivering into SEGAL,15.1,159.305
2021-08-27 11:00:00+00:00,Fields Delivering into SEGAL,15.3,161.415
2021-08-28 11:00:00+00:00,Fields Delivering into SEGAL,15.3,161.415
2021-08-29 11:00:00+00:00,Fields Delivering into SEGAL,14.9,157.195
2021-08-30 11:00:00+00:00,Fields Delivering into SEGAL,15.5,163.525
2021-08-31 11:00:00+00:00,Fields Delivering into SEGAL,19.2,202.56
2021-08-01 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-02 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-03 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-04 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-05 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-06 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-07 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-08 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-09 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-10 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-11 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-12 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-13 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-14 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-15 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-16 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-17 11:00:00+00:00,Other Exit Nominations,10.6,111.83
2021-08-18 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-19 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-20 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-21 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-22 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-23 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-24 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-25 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-26 11:00:00+00:00,Other Exit Nominations,10.5,110.775
2021-08-27 11:00:00+00:00,Other Exit Nominations,5.2,54.86
2021-08-28 11:00:00+00:00,Other Exit Nominations,2.5,26.375
2021-08-29 11:00:00+00:00,Other Exit Nominations,2.5,26.375
2021-08-30 11:00:00+00:00,Other Exit Nominations,2.5,26.375
2021-08-31 11:00:00+00:00,Other Exit Nominations,2.5,26.375
2021-08-01 11:00:00+00:00,St.Fergus,2.9,30.595
2021-08-02 11:00:00+00:00,St.Fergus,0.9,9.495
2021-08-03 11:00:00+00:00,St.Fergus,2.4,25.32
2021-08-04 11:00:00+00:00,St.Fergus,2.2,23.21
2021-08-05 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-06 11:00:00+00:00,St.Fergus,2.8,29.54
2021-08-07 11:00:00+00:00,St.Fergus,2.8,29.54
2021-08-08 11:00:00+00:00,St.Fergus,3.0,31.65
2021-08-09 11:00:00+00:00,St.Fergus,1.7,17.935
2021-08-10 11:00:00+00:00,St.Fergus,0.0,0.0
2021-08-11 11:00:00+00:00,St.Fergus,3.0,31.65
2021-08-12 11:00:00+00:00,St.Fergus,1.1,11.605
2021-08-13 11:00:00+00:00,St.Fergus,0.0,0.0
2021-08-14 11:00:00+00:00,St.Fergus,0.0,0.0
2021-08-15 11:00:00+00:00,St.Fergus,0.0,0.0
2021-08-16 11:00:00+00:00,St.Fergus,0.0,0.0
2021-08-17 11:00:00+00:00,St.Fergus,0.0,0.0
2021-08-18 11:00:00+00:00,St.Fergus,2.2,23.21
2021-08-19 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-20 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-21 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-22 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-23 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-24 11:00:00+00:00,St.Fergus,2.8,29.54
2021-08-25 11:00:00+00:00,St.Fergus,2.8,29.54
2021-08-26 11:00:00+00:00,St.Fergus,2.5,26.375
2021-08-27 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-28 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-29 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-30 11:00:00+00:00,St.Fergus,2.6,27.43
2021-08-31 11:00:00+00:00,St.Fergus,2.8,29.54
2021-08-01 11:00:00+00:00,Sum Exit Nominations NCS,275.1,2902.305
2021-08-02 11:00:00+00:00,Sum Exit Nominations NCS,278.0,2932.9
2021-08-03 11:00:00+00:00,Sum Exit Nominations NCS,278.6,2939.23
2021-08-04 11:00:00+00:00,Sum Exit Nominations NCS,279.89,2952.84
2021-08-05 11:00:00+00:00,Sum Exit Nominations NCS,308.89,3258.79
2021-08-06 11:00:00+00:00,Sum Exit Nominations NCS,303.2,3198.76
2021-08-07 11:00:00+00:00,Sum Exit Nominations NCS,301.2,3177.66
2021-08-08 11:00:00+00:00,Sum Exit Nominations NCS,304.8,3215.64
2021-08-09 11:00:00+00:00,Sum Exit Nominations NCS,273.6,2886.48
2021-08-10 11:00:00+00:00,Sum Exit Nominations NCS,295.8,3120.69
2021-08-11 11:00:00+00:00,Sum Exit Nominations NCS,313.5,3307.425
2021-08-12 11:00:00+00:00,Sum Exit Nominations NCS,321.7,3393.935
2021-08-13 11:00:00+00:00,Sum Exit Nominations NCS,322.0,3397.1
2021-08-14 11:00:00+00:00,Sum Exit Nominations NCS,310.7,3277.885
2021-08-15 11:00:00+00:00,Sum Exit Nominations NCS,308.1,3250.455
2021-08-16 11:00:00+00:00,Sum Exit Nominations NCS,332.9,3512.095
2021-08-17 11:00:00+00:00,Sum Exit Nominations NCS,318.89,3364.29
2021-08-18 11:00:00+00:00,Sum Exit Nominations NCS,316.7,3341.185
2021-08-19 11:00:00+00:00,Sum Exit Nominations NCS,325.5,3434.025
2021-08-20 11:00:00+00:00,Sum Exit Nominations NCS,305.1,3218.805
2021-08-21 11:00:00+00:00,Sum Exit Nominations NCS,311.0,3281.05
2021-08-22 11:00:00+00:00,Sum Exit Nominations NCS,313.0,3302.15
2021-08-23 11:00:00+00:00,Sum Exit Nominations NCS,319.6,3371.78
2021-08-24 11:00:00+00:00,Sum Exit Nominations NCS,317.39,3348.464
2021-08-25 11:00:00+00:00,Sum Exit Nominations NCS,317.5,3349.625
2021-08-26 11:00:00+00:00,Sum Exit Nominations NCS,319.3,3368.615
2021-08-27 11:00:00+00:00,Sum Exit Nominations NCS,306.6,3234.63
2021-08-28 11:00:00+00:00,Sum Exit Nominations NCS,294.6,3108.03
2021-08-29 11:00:00+00:00,Sum Exit Nominations NCS,303.1,3197.705
2021-08-30 11:00:00+00:00,Sum Exit Nominations NCS,298.8,3152.34
2021-08-31 11:00:00+00:00,Sum Exit Nominations NCS,321.8,3394.99
2021-08-01 11:00:00+00:00,Zeebrugge,31.6,333.38
2021-08-02 11:00:00+00:00,Zeebrugge,39.1,412.505
2021-08-03 11:00:00+00:00,Zeebrugge,39.4,415.67
2021-08-04 11:00:00+00:00,Zeebrugge,42.6,449.43
2021-08-05 11:00:00+00:00,Zeebrugge,42.7,450.485
2021-08-06 11:00:00+00:00,Zeebrugge,42.7,450.485
2021-08-07 11:00:00+00:00,Zeebrugge,42.7,450.485
2021-08-08 11:00:00+00:00,Zeebrugge,42.8,451.54
