date,point,value_MSm3,value_GWh
2022-02-01 12:00:00+00:00,Dornum,62.2,656.21
2022-02-02 12:00:00+00:00,Dornum,63.8,673.09
2022-02-03 12:00:00+00:00,Dornum,63.8,673.09
2022-02-04 12:00:00+00:00,Dornum,63.3,667.815
2022-02-05 12:00:00+00:00,Dornum,62.8,662.54
2022-02-06 12:00:00+00:00,Dornum,63.0,664.65
2022-02-07 12:00:00+00:00,Dornum,62.6,660.43
2022-02-08 12:00:00+00:00,Dornum,62.7,661.485
2022-02-09 12:00:00+00:00,Dornum,66.2,698.41
2022-02-10 12:00:00+00:00,Dornum,64.8,683.64
2022-02-11 12:00:00+00:00,Dornum,64.8,683.64
2022-02-12 12:00:00+00:00,Dornum,64.7,682.585
2022-02-13 12:00:00+00:00,Dornum,64.8,683.64
2022-02-14 12:00:00+00:00,Dornum,65.09,686.7
2022-02-15 12:00:00+00:00,Dornum,65.0,685.75
2022-02-16 12:00:00+00:00,Dornum,62.9,663.595
2022-02-17 12:00:00+00:00,Dornum,63.7,672.035
2022-02-18 12:00:00+00:00,Dornum,58.8,620.34
2022-02-19 12:00:00+00:00,Dornum,59.1,623.505
2022-02-20 12:00:00+00:00,Dornum,61.0,643.55
2022-02-21 12:00:00+00:00,Dornum,61.9,653.045
2022-02-22 12:00:00+00:00,Dornum,59.3,625.615
2022-02-23 12:00:00+00:00,Dornum,60.4,637.22
2022-02-24 12:00:00+00:00,Dornum,60.9,642.495
2022-02-25 12:00:00+00:00,Dornum,60.7,640.385
2022-02-26 12:00:00+00:00,Dornum,59.8,630.89
2022-02-27 12:00:00+00:00,Dornum,60.3,636.165
2022-02-28 12:00:00+00:00,Dornum,60.6,639.33
2022-02-01 12:00:00+00:00,Dunkerque,53.7,566.535
2022-02-02 12:00:00+00:00,Dunkerque,54.2,571.81
2022-02-03 12:00:00+00:00,Dunkerque,52.9,558.095
2022-02-04 12:00:00+00:00,Dunkerque,54.2,571.81
2022-02-05 12:00:00+00:00,Dunkerque,54.2,571.81
2022-02-06 12:00:00+00:00,Dunkerque,53.4,563.37
2022-02-07 12:00:00+00:00,Dunkerque,53.8,567.59
2022-02-08 12:00:00+00:00,Dunkerque,54.3,572.865
2022-02-09 12:00:00+00:00,Dunkerque,53.5,564.425
2022-02-10 12:00:00+00:00,Dunkerque,53.8,567.59
2022-02-11 12:00:00+00:00,Dunkerque,49.8,525.39
2022-02-12 12:00:00+00:00,Dunkerque,53.8,567.59
2022-02-13 12:00:00+00:00,Dunkerque,53.6,565.48
2022-02-14 12:00:00+00:00,Dunkerque,52.2,550.71
2022-02-15 12:00:00+00:00,Dunkerque,52.0,548.6
2022-02-16 12:00:00+00:00,Dunkerque,53.9,568.645
2022-02-17 12:00:00+00:00,Dunkerque,54.1,570.755
2022-02-18 12:00:00+00:00,Dunkerque,48.0,506.4
2022-02-19 12:00:00+00:00,Dunkerque,45.9,484.245
2022-02-20 12:00:00+00:00,Dunkerque,54.2,571.81
2022-02-21 12:00:00+00:00,Dunkerque,54.1,570.755
2022-02-22 12:00:00+00:00,Dunkerque,54.2,571.81
2022-02-23 12:00:00+00:00,Dunkerque,54.2,571.81
2022-02-24 12:00:00+00:00,Dunkerque,54.0,569.7
2022-02-25 12:00:00+00:00,Dunkerque,53.3,562.315
2022-02-26 12:00:00+00:00,Dunkerque,53.6,565.48
