name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2023-06-01 00:00:00+00:00,,,164.5,,541.0,540.96,0.0,,,C,BE,2805.26,3757.79,74.7
Germany,,,,2023-06-01 00:00:00+00:00,,,274.6,,426.4,319.5639,106.8859,,,C,DE,2090.73,3453.33,60.5
Spain,,,,2023-06-01 00:00:00+00:00,,,736.9,,1910.4,,,,,C,ES,15213.65,22808.92,66.7
EU,,,,2023-06-01 00:00:00+00:00,,,3942.4,,6334.3,3988.73,355.5623,,,C,EU,32326.33,56648.58,57.1
Finland,,,,2023-06-01 00:00:00+00:00,,,55.1,,0.0,55.0,85.0,,,C,FI,0.0,0.0,
France,,,,2023-06-01 00:00:00+00:00,,,870.8,,1277.7,1048.1722,10.0011,,,C,FR,5325.65,8923.92,59.7
Greece,,,,2023-06-01 00:00:00+00:00,,,67.8,,224.6,184.9041,39.6889,,,C,GR,799.93,1520.65,52.6
Croatia,,,,2023-06-01 00:00:00+00:00,,,80.2,,85.5,85.5,0.0,,,C,HR,167.4,901.38,18.6
Italy,,,,2023-06-01 00:00:00+00:00,,,465.1,,560.2,473.9393,86.2828,,,C,IT,1083.43,3001.19,36.1
Lithuania,,,,2023-06-01 00:00:00+00:00,,,87.9,,120.2,92.4826,27.7036,,,C,LT,181.06,1116.01,16.2
Netherlands,,,,2023-06-01 00:00:00+00:00,,,756.4,,768.2,768.2445,0.0,,,C,NL,2783.07,5708.94,48.7
Poland,,,,2023-06-01 00:00:00+00:00,,,220.0,,220.0,219.9634,0.0,,,C,PL,383.42,2144.26,17.9
Portugal,,,,2023-06-01 00:00:00+00:00,,,163.1,,200.0,200.0,0.0,,,C,PT,1492.73,2666.08,56.0
EU,eu,eu,2026-03-02 09:14:21,2023-06-01 00:00:00+00:00,2023-06-02,"{'lng': '4725.96', 'gwh': '32326.33'}",3942.4,,6334.3,3988.73,355.5623,-,[],C,,,,
Belgium,,,,2023-06-02 00:00:00+00:00,,,176.5,,541.0,540.96,0.0,,,C,BE,2621.37,3757.81,69.8
Germany,,,,2023-06-02 00:00:00+00:00,,,251.6,,425.8,319.5639,106.1895,,,C,DE,1985.43,3433.79,57.8
Spain,,,,2023-06-02 00:00:00+00:00,,,661.4,,1910.4,,,,,C,ES,15322.64,22815.14,67.2
EU,,,,2023-06-02 00:00:00+00:00,,,3958.5,,6333.9,3969.1997,374.7366,,,C,EU,34812.11,55657.87,62.5
Finland,,,,2023-06-02 00:00:00+00:00,,,55.1,,0.0,55.0,85.0,,,C,FI,0.0,0.0,
France,,,,2023-06-02 00:00:00+00:00,,,964.5,,1277.7,1048.1722,10.0011,,,C,FR,6059.58,8914.67,68.0
