name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2018-02-01 00:00:00+00:00,,,22.4,,472.1,,,,,C,BE,690.45,2558.96,27.0
Germany,,,,2018-02-01 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-02-01 00:00:00+00:00,,,473.4,,1910.7,,,,,E,ES,9553.58,22827.04,41.9
EU,,,,2018-02-01 00:00:00+00:00,,,1186.1,,6591.6,,,,,E,EU,26659.71,59770.63,44.6
Finland,,,,2018-02-01 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-02-01 00:00:00+00:00,,,271.0,,1252.7,,,,,C,FR,4353.93,9154.63,47.6
Greece,,,,2018-02-01 00:00:00+00:00,,,33.5,,205.5,,,,,C,GR,379.43,837.88,45.3
Croatia,,,,2018-02-01 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-02-01 00:00:00+00:00,,,109.5,,514.5,,,,,C,IT,1899.89,2773.61,68.5
Lithuania,,,,2018-02-01 00:00:00+00:00,,,0.0,,125.5,,,,,C,LT,635.08,1139.05,55.8
Netherlands,,,,2018-02-01 00:00:00+00:00,,,4.5,,461.0,,,,,C,NL,1223.43,3749.23,32.6
Poland,,,,2018-02-01 00:00:00+00:00,,,70.0,,162.8,,,,,C,PL,1196.98,2153.2,55.6
Portugal,,,,2018-02-01 00:00:00+00:00,,,119.5,,192.8,,,,,C,PT,1807.22,2651.98,68.1
EU,eu,eu,2025-10-01 14:04:45,2018-02-01 00:00:00+00:00,2018-02-02,"{'lng': '3930.89', 'gwh': '26659.71'}",1186.1,,6591.6,-,-,-,[],E,,,,
Belgium,,,,2018-02-02 00:00:00+00:00,,,22.2,,472.1,,,,,C,BE,666.84,2559.36,26.1
Germany,,,,2018-02-02 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-02-02 00:00:00+00:00,,,467.1,,1910.7,,,,,E,ES,10148.98,22819.14,44.5
EU,,,,2018-02-02 00:00:00+00:00,,,1056.5,,6591.6,,,,,E,EU,26570.54,59809.74,44.4
Finland,,,,2018-02-02 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-02-02 00:00:00+00:00,,,207.3,,1252.7,,,,,C,FR,4112.03,9155.81,44.9
Greece,,,,2018-02-02 00:00:00+00:00,,,38.9,,205.5,,,,,C,GR,339.8,832.84,40.8
Croatia,,,,2018-02-02 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-02-02 00:00:00+00:00,,,77.7,,514.5,,,,,C,IT,1820.48,2776.38,65.6
Lithuania,,,,2018-02-02 00:00:00+00:00,,,0.0,,125.5,,,,,C,LT,634.23,1139.12,55.7
Netherlands,,,,2018-02-02 00:00:00+00:00,,,4.5,,461.0,,,,,C,NL,1217.45,3750.7,32.5
Poland,,,,2018-02-02 00:00:00+00:00,,,70.0,,162.8,,,,,C,PL,1132.94,2154.01,52.6
Portugal,,,,2018-02-02 00:00:00+00:00,,,86.4,,192.8,,,,,C,PT,1662.14,2652.03,62.7
EU,eu,eu,2025-10-01 14:04:45,2018-02-02 00:00:00+00:00,2018-02-03,"{'lng': '3915.18', 'gwh': '26570.54'}",1056.5,,6591.6,-,-,-,[],E,,,,
Belgium,,,,2018-02-03 00:00:00+00:00,,,22.5,,472.1,,,,,C,BE,545.57,2561.24,21.3
Germany,,,,2018-02-03 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-02-03 00:00:00+00:00,,,356.9,,1910.7,,,,,E,ES,10920.74,22811.39,47.9
EU,,,,2018-02-03 00:00:00+00:00,,,890.7,,6591.6,,,,,E,EU,27617.42,59815.59,46.2
Finland,,,,2018-02-03 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-02-03 00:00:00+00:00,,,168.4,,1252.7,,,,,C,FR,4829.04,9152.36,52.8
Greece,,,,2018-02-03 00:00:00+00:00,,,21.7,,205.5,,,,,C,GR,317.69,829.48,38.3
Croatia,,,,2018-02-03 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-02-03 00:00:00+00:00,,,66.6,,514.5,,,,,C,IT,1752.26,2779.2,63.0
Lithuania,,,,2018-02-03 00:00:00+00:00,,,0.0,,125.5,,,,,C,LT,633.3,1139.41,55.6
Netherlands,,,,2018-02-03 00:00:00+00:00,,,4.5,,461.0,,,,,C,NL,1211.98,3752.04,32.3
Poland,,,,2018-02-03 00:00:00+00:00,,,70.0,,162.8,,,,,C,PL,1072.01,2153.98,49.8
Portugal,,,,2018-02-03 00:00:00+00:00,,,98.7,,192.8,,,,,C,PT,1582.57,2652.01,59.7
EU,eu,eu,2025-10-01 14:04:45,2018-02-03 00:00:00+00:00,2018-02-04,"{'lng': '4069.04', 'gwh': '27617.42'}",890.7,,6591.6,-,-,-,[],E,,,,
Belgium,,,,2018-02-04 00:00:00+00:00,,,77.1,,472.1,,,,,C,BE,1408.98,2554.37,55.2
Germany,,,,2018-02-04 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-02-04 00:00:00+00:00,,,386.9,,1910.7,,,,,E,ES,10646.72,22809.24,46.7
EU,,,,2018-02-04 00:00:00+00:00,,,934.9,,6591.6,,,,,E,EU,27702.56,59789.14,46.3
Finland,,,,2018-02-04 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-02-04 00:00:00+00:00,,,143.2,,1252.7,,,,,C,FR,4660.06,9153.09,50.9
Greece,,,,2018-02-04 00:00:00+00:00,,,6.4,,205.5,,,,,C,GR,310.71,828.39,37.5
Croatia,,,,2018-02-04 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-02-04 00:00:00+00:00,,,66.7,,514.5,,,,,C,IT,1683.71,2782.15,60.5
Lithuania,,,,2018-02-04 00:00:00+00:00,,,0.0,,125.5,,,,,C,LT,632.26,1139.38,55.5
Netherlands,,,,2018-02-04 00:00:00+00:00,,,4.5,,461.0,,,,,C,NL,1207.44,3753.05,32.2
Poland,,,,2018-02-04 00:00:00+00:00,,,70.0,,162.8,,,,,C,PL,1009.54,2153.83,46.9
Portugal,,,,2018-02-04 00:00:00+00:00,,,98.9,,192.8,,,,,C,PT,1473.19,2651.95,55.6
EU,eu,eu,2025-10-01 14:04:45,2018-02-04 00:00:00+00:00,2018-02-05,"{'lng': '4083.39', 'gwh': '27702.56'}",934.9,,6591.6,-,-,-,[],E,,,,
Belgium,,,,2018-02-05 00:00:00+00:00,,,37.4,,472.1,,,,,C,BE,1364.88,2554.43,53.4
Germany,,,,2018-02-05 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-02-05 00:00:00+00:00,,,458.2,,1910.7,,,,,E,ES,9684.1,22789.34,42.5
EU,,,,2018-02-05 00:00:00+00:00,,,1261.2,,6591.6,,,,,E,EU,27110.55,59564.77,45.5
Finland,,,,2018-02-05 00:00:00+00:00,,,,,,,,,,N,FI,,,
