name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2025-12-01 00:00:00+00:00,,,327.1,,724.1,724.08,0.0,,,C,BE,2083.23,3773.51,55.2
Germany,,,,2025-12-01 00:00:00+00:00,,,367.2,,777.2,487.92,289.25,,,C,DE,2694.74,5172.21,52.1
Spain,,,,2025-12-01 00:00:00+00:00,,,777.9,,2132.3,,,,,C,ES,14651.65,23305.37,62.9
EU,,,,2025-12-01 00:00:00+00:00,,,4360.2,,8016.0,4956.9202,772.175,,,C,EU,35617.87,63446.05,56.1
Finland,,,,2025-12-01 00:00:00+00:00,,,23.0,,140.0,11.0,129.0,,,C,FI,346.0,1095.49,31.6
France,,,,2025-12-01 00:00:00+00:00,,,765.8,,1405.0,1216.6131,125.0,,,C,FR,4499.25,9950.77,45.2
Greece,,,,2025-12-01 00:00:00+00:00,,,160.4,,406.2,353.975,52.1933,,,C,GR,1223.3,2401.64,50.9
Croatia,,,,2025-12-01 00:00:00+00:00,,,102.4,,102.4,102.4,0.0,,,C,HR,758.3,901.21,84.1
Italy,,,,2025-12-01 00:00:00+00:00,,,736.0,,875.8,717.0555,158.7468,,,C,IT,2775.7,5133.41,54.1
Lithuania,,,,2025-12-01 00:00:00+00:00,,,104.1,,121.4,116.4412,4.9849,,,C,LT,850.09,1130.09,75.2
Netherlands,,,,2025-12-01 00:00:00+00:00,,,604.3,,867.8,776.4794,0.0,,,C,NL,1752.2,4490.99,39.0
Poland,,,,2025-12-01 00:00:00+00:00,,,264.0,,264.0,263.956,0.0,,,C,PL,1718.69,3331.05,51.6
Portugal,,,,2025-12-01 00:00:00+00:00,,,128.1,,200.0,187.0,13.0,,,C,PT,2264.72,2666.07,84.9
EU,eu,eu,2026-01-05 09:29:41,2025-12-01 00:00:00+00:00,2025-12-02,"{'lng': '5314.73', 'gwh': '35617.87'}",4360.2,,8016.0,4956.9202,772.175,-,[],C,,,,
Belgium,,,,2025-12-02 00:00:00+00:00,,,259.6,,724.1,724.08,0.0,,,C,BE,1814.33,3775.82,48.1
Germany,,,,2025-12-02 00:00:00+00:00,,,484.7,,777.2,487.92,289.25,,,C,DE,2547.93,5166.57,49.3
Spain,,,,2025-12-02 00:00:00+00:00,,,694.2,,2132.3,,,,,C,ES,14692.54,23290.12,63.1
EU,,,,2025-12-02 00:00:00+00:00,,,4325.6,,8016.1,4916.6836,812.4908,,,E,EU,34017.72,63508.28,53.6
Finland,,,,2025-12-02 00:00:00+00:00,,,30.0,,140.0,11.0,129.0,,,C,FI,333.0,1179.85,28.2
France,,,,2025-12-02 00:00:00+00:00,,,776.8,,1405.0,1216.6131,125.0,,,C,FR,3712.95,9958.73,37.3
Greece,,,,2025-12-02 00:00:00+00:00,,,153.9,,406.2,353.975,52.1933,,,C,GR,1349.34,2404.26,56.1
Croatia,,,,2025-12-02 00:00:00+00:00,,,102.4,,102.4,102.4,0.0,,,C,HR,657.7,900.96,73.0
Italy,,,,2025-12-02 00:00:00+00:00,,,699.6,,875.8,675.3094,200.4929,,,E,IT,2356.19,5162.75,45.6
Lithuania,,,,2025-12-02 00:00:00+00:00,,,109.5,,121.5,116.3204,5.1849,,,C,LT,743.78,1130.45,65.8
Netherlands,,,,2025-12-02 00:00:00+00:00,,,601.1,,867.8,776.4794,0.0,,,C,NL,2245.86,4542.39,49.4
Poland,,,,2025-12-02 00:00:00+00:00,,,264.0,,264.0,263.956,0.0,,,C,PL,1431.06,3338.14,42.9
Portugal,,,,2025-12-02 00:00:00+00:00,,,149.9,,200.0,188.6303,11.3697,,,C,PT,2133.03,2666.03,80.0
EU,eu,eu,2026-01-05 09:29:41,2025-12-02 00:00:00+00:00,2025-12-03,"{'lng': '5070.99', 'gwh': '34017.72'}",4325.6,,8016.1,4916.6836,812.4908,-,[],E,,,,
Belgium,,,,2025-12-03 00:00:00+00:00,,,213.1,,724.1,724.08,0.0,,,C,BE,1461.31,3779.48,38.7
Germany,,,,2025-12-03 00:00:00+00:00,,,412.5,,777.2,487.92,289.25,,,C,DE,2649.51,5156.1,51.4
Spain,,,,2025-12-03 00:00:00+00:00,,,757.4,,2132.3,,,,,C,ES,14772.23,23302.62,63.4
EU,,,,2025-12-03 00:00:00+00:00,,,4175.3,,8008.4,4795.1344,926.3506,,,C,EU,33949.35,63583.39,53.4
Finland,,,,2025-12-03 00:00:00+00:00,,,28.0,,140.0,11.0,129.0,,,C,FI,321.0,1257.05,25.5
France,,,,2025-12-03 00:00:00+00:00,,,802.2,,1405.0,1216.6131,125.0,,,C,FR,4834.85,9945.02,48.6
Greece,,,,2025-12-03 00:00:00+00:00,,,180.0,,406.2,370.3378,35.8305,,,C,GR,1169.75,2404.77,48.6
Croatia,,,,2025-12-03 00:00:00+00:00,,,97.1,,102.4,97.1,5.3,,,C,HR,561.8,900.94,62.4
Italy,,,,2025-12-03 00:00:00+00:00,,,565.8,,868.1,541.9615,326.1093,,,C,IT,2794.84,5221.67,53.5
Lithuania,,,,2025-12-03 00:00:00+00:00,,,111.1,,121.5,116.1962,5.3512,,,C,LT,631.1,1130.46,55.8
Netherlands,,,,2025-12-03 00:00:00+00:00,,,601.1,,867.8,776.4794,0.0,,,C,NL,1639.28,4480.39,36.6
Poland,,,,2025-12-03 00:00:00+00:00,,,264.0,,264.0,263.956,0.0,,,C,PL,1148.98,3298.44,34.8
Portugal,,,,2025-12-03 00:00:00+00:00,,,143.2,,200.0,189.4904,10.5096,,,C,PT,1964.68,2666.06,73.7
EU,eu,eu,2026-01-05 09:29:41,2025-12-03 00:00:00+00:00,2025-12-04,"{'lng': '5054.82', 'gwh': '33949.35'}",4175.3,,8008.4,4795.1344,926.3506,-,[],C,,,,
Belgium,,,,2025-12-04 00:00:00+00:00,,,163.7,,724.1,724.08,0.0,,,C,BE,1278.07,3779.65,33.8
Germany,,,,2025-12-04 00:00:00+00:00,,,461.7,,777.2,487.92,289.25,,,C,DE,2553.29,5157.62,49.5
Spain,,,,2025-12-04 00:00:00+00:00,,,672.0,,2132.3,,,,,C,ES,14327.65,23323.15,61.4
EU,,,,2025-12-04 00:00:00+00:00,,,4041.3,,8008.4,4806.1667,915.3379,,,C,EU,32053.3,63469.17,50.5
Finland,,,,2025-12-04 00:00:00+00:00,,,3.0,,140.0,54.0,86.0,,,C,FI,160.0,1082.25,14.8
France,,,,2025-12-04 00:00:00+00:00,,,788.3,,1405.0,1216.6131,125.0,,,C,FR,4499.23,9935.48,45.3
Greece,,,,2025-12-04 00:00:00+00:00,,,153.0,,406.2,353.975,52.1933,,,C,GR,1015.31,2405.86,42.2
Croatia,,,,2025-12-04 00:00:00+00:00,,,100.9,,102.4,100.9,1.5,,,C,HR,461.6,901.31,51.2
Italy,,,,2025-12-04 00:00:00+00:00,,,555.3,,868.1,531.7704,336.3004,,,C,IT,2940.5,5189.85,56.7
Lithuania,,,,2025-12-04 00:00:00+00:00,,,110.2,,121.6,116.0256,5.5414,,,C,LT,497.75,1129.88,44.1
Netherlands,,,,2025-12-04 00:00:00+00:00,,,623.5,,867.8,776.4794,0.0,,,C,NL,1643.13,4474.16,36.7
Poland,,,,2025-12-04 00:00:00+00:00,,,263.0,,264.0,253.908,10.048,,,C,PL,866.22,3299.38,26.3
Portugal,,,,2025-12-04 00:00:00+00:00,,,146.6,,200.0,190.4952,9.5048,,,C,PT,1810.57,2666.02,67.9
EU,eu,eu,2026-01-13 08:45:03,2025-12-04 00:00:00+00:00,2025-12-05,"{'lng': '4781.1', 'gwh': '32053.3'}",4041.3,,8008.4,4806.1667,915.3379,-,[],C,,,,
Belgium,,,,2025-12-05 00:00:00+00:00,,,200.3,,724.1,724.08,0.0,,,C,BE,990.5,3780.59,26.2
Germany,,,,2025-12-05 00:00:00+00:00,,,495.5,,777.2,487.92,289.25,,,C,DE,2789.79,5187.65,53.8
Spain,,,,2025-12-05 00:00:00+00:00,,,635.4,,2132.3,,,,,C,ES,14632.68,23200.35,63.1
EU,,,,2025-12-05 00:00:00+00:00,,,4079.5,,8008.5,4748.6514,972.9601,,,E,EU,33114.38,63355.93,52.3
Finland,,,,2025-12-05 00:00:00+00:00,,,0.0,,140.0,11.0,129.0,,,C,FI,150.0,1014.61,14.8
