name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2018-07-01 00:00:00+00:00,,,24.6,,472.1,,,,,C,BE,1282.76,2551.36,50.3
Germany,,,,2018-07-01 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-07-01 00:00:00+00:00,,,242.8,,1910.7,,,,,C,ES,10535.74,22753.43,46.3
EU,,,,2018-07-01 00:00:00+00:00,,,907.8,,6591.6,,,,,C,EU,31607.53,59621.72,53.0
Finland,,,,2018-07-01 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-07-01 00:00:00+00:00,,,193.6,,1252.7,,,,,C,FR,4994.18,9141.11,54.6
Greece,,,,2018-07-01 00:00:00+00:00,,,33.1,,205.5,,,,,C,GR,864.41,860.24,100.5
Croatia,,,,2018-07-01 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-07-01 00:00:00+00:00,,,125.8,,514.5,,,,,C,IT,1321.86,2737.81,48.3
Lithuania,,,,2018-07-01 00:00:00+00:00,,,29.4,,125.5,,,,,C,LT,816.04,1138.12,71.7
Netherlands,,,,2018-07-01 00:00:00+00:00,,,7.2,,461.0,,,,,C,NL,2267.2,3653.94,62.0
Poland,,,,2018-07-01 00:00:00+00:00,,,74.0,,162.8,,,,,C,PL,748.7,2174.48,34.4
Portugal,,,,2018-07-01 00:00:00+00:00,,,93.5,,192.8,,,,,C,PT,1422.89,2651.98,53.7
EU,eu,eu,2025-10-01 14:04:46,2018-07-01 00:00:00+00:00,2018-07-02,"{'lng': '4672.07', 'gwh': '31607.53'}",907.8,,6591.6,-,-,-,[],C,,,,
Belgium,,,,2018-07-02 00:00:00+00:00,,,49.1,,472.1,,,,,C,BE,1243.78,2551.41,48.7
Germany,,,,2018-07-02 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-07-02 00:00:00+00:00,,,330.9,,1910.7,,,,,C,ES,10201.56,22749.52,44.8
EU,,,,2018-07-02 00:00:00+00:00,,,1154.4,,6591.6,,,,,C,EU,29416.75,59667.41,49.3
Finland,,,,2018-07-02 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-07-02 00:00:00+00:00,,,145.3,,1252.7,,,,,C,FR,3731.8,9143.62,40.8
Greece,,,,2018-07-02 00:00:00+00:00,,,39.7,,205.5,,,,,C,GR,823.99,859.36,95.9
Croatia,,,,2018-07-02 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-07-02 00:00:00+00:00,,,197.7,,514.5,,,,,C,IT,1120.0,2741.34,40.9
Lithuania,,,,2018-07-02 00:00:00+00:00,,,32.1,,125.5,,,,,C,LT,784.58,1136.96,69.0
Netherlands,,,,2018-07-02 00:00:00+00:00,,,5.4,,461.0,,,,,C,NL,2256.25,3654.61,61.7
Poland,,,,2018-07-02 00:00:00+00:00,,,126.0,,162.8,,,,,C,PL,657.71,2175.6,30.2
Portugal,,,,2018-07-02 00:00:00+00:00,,,145.8,,192.8,,,,,C,PT,1327.55,2651.97,50.1
EU,eu,eu,2025-10-01 14:04:46,2018-07-02 00:00:00+00:00,2018-07-03,"{'lng': '4344.91', 'gwh': '29416.75'}",1154.4,,6591.6,-,-,-,[],C,,,,
Belgium,,,,2018-07-03 00:00:00+00:00,,,22.2,,472.1,,,,,C,BE,1220.69,2551.45,47.8
Germany,,,,2018-07-03 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-07-03 00:00:00+00:00,,,330.5,,1910.7,,,,,E,ES,10180.45,22750.44,44.7
EU,,,,2018-07-03 00:00:00+00:00,,,1178.9,,6591.6,,,,,E,EU,28947.49,59688.76,48.5
Finland,,,,2018-07-03 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-07-03 00:00:00+00:00,,,148.3,,1252.7,,,,,C,FR,3928.24,9143.2,43.0
Greece,,,,2018-07-03 00:00:00+00:00,,,31.0,,205.5,,,,,C,GR,792.25,858.41,92.3
Croatia,,,,2018-07-03 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-07-03 00:00:00+00:00,,,223.5,,514.5,,,,,C,IT,893.56,2741.65,32.6
Lithuania,,,,2018-07-03 00:00:00+00:00,,,32.1,,125.5,,,,,C,LT,750.57,1136.67,66.0
Netherlands,,,,2018-07-03 00:00:00+00:00,,,4.4,,461.0,,,,,C,NL,2274.72,3661.36,62.1
Poland,,,,2018-07-03 00:00:00+00:00,,,149.1,,162.8,,,,,C,PL,550.77,2171.32,25.4
Portugal,,,,2018-07-03 00:00:00+00:00,,,154.1,,192.8,,,,,C,PT,1172.7,2651.94,44.2
EU,eu,eu,2025-10-01 14:04:46,2018-07-03 00:00:00+00:00,2018-07-04,"{'lng': '4274.07', 'gwh': '28947.49'}",1178.9,,6591.6,-,-,-,[],E,,,,
Belgium,,,,2018-07-04 00:00:00+00:00,,,22.4,,472.1,,,,,C,BE,1196.51,2551.45,46.9
Germany,,,,2018-07-04 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-07-04 00:00:00+00:00,,,329.8,,1910.7,,,,,E,ES,10159.13,22751.51,44.7
EU,,,,2018-07-04 00:00:00+00:00,,,1167.3,,6591.6,,,,,E,EU,30269.37,59648.65,50.7
Finland,,,,2018-07-04 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-07-04 00:00:00+00:00,,,167.3,,1252.7,,,,,C,FR,4385.22,9161.23,47.9
