name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2021-07-01 00:00:00+00:00,,,49.2,,541.0,,,,,C,BE,1468.87,3756.55,39.1
Germany,,,,2021-07-01 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2021-07-01 00:00:00+00:00,,,547.4,,1910.4,,,,,C,ES,12514.57,22842.86,54.8
EU,,,,2021-07-01 00:00:00+00:00,,,1869.0,,5514.5,,,,,C,EU,27469.78,50227.06,54.7
Finland,,,,2021-07-01 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2021-07-01 00:00:00+00:00,,,511.9,,1252.7,,,,,C,FR,4792.86,9038.14,53.0
Greece,,,,2021-07-01 00:00:00+00:00,,,59.7,,269.9,,,,,C,GR,764.16,1401.96,54.5
Croatia,,,,2021-07-01 00:00:00+00:00,,,58.3,,79.9,,,,,C,HR,462.5,901.81,51.3
Italy,,,,2021-07-01 00:00:00+00:00,,,236.0,,514.5,,,,,C,IT,1435.13,2812.45,51.0
Lithuania,,,,2021-07-01 00:00:00+00:00,,,51.7,,122.4,,,,,C,LT,740.06,1099.93,67.3
Netherlands,,,,2021-07-01 00:00:00+00:00,,,2.2,,461.0,,,,,C,NL,2379.16,3537.88,67.2
Poland,,,,2021-07-01 00:00:00+00:00,,,152.9,,162.8,,,,,C,PL,401.51,2133.21,18.8
Portugal,,,,2021-07-01 00:00:00+00:00,,,199.7,,200.0,,,,,C,PT,2510.96,2666.07,94.2
EU,eu,eu,2025-10-23 10:17:52,2021-07-01 00:00:00+00:00,2021-07-02,"{'lng': '4071.59', 'gwh': '27469.78'}",1869.0,,5514.5,-,-,-,[],C,,,,
Belgium,,,,2021-07-02 00:00:00+00:00,,,41.9,,541.0,,,,,C,BE,1420.34,3756.62,37.8
Germany,,,,2021-07-02 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2021-07-02 00:00:00+00:00,,,505.3,,1910.4,,,,,C,ES,11969.68,22842.59,52.4
EU,,,,2021-07-02 00:00:00+00:00,,,1859.5,,5514.5,,,,,C,EU,26604.32,50191.69,53.0
Finland,,,,2021-07-02 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2021-07-02 00:00:00+00:00,,,477.2,,1252.7,,,,,C,FR,4341.21,9038.47,48.0
Greece,,,,2021-07-02 00:00:00+00:00,,,40.1,,269.9,,,,,C,GR,736.45,1398.09,52.7
Croatia,,,,2021-07-02 00:00:00+00:00,,,58.3,,79.9,,,,,C,HR,404.2,901.08,44.9
Italy,,,,2021-07-02 00:00:00+00:00,,,331.1,,514.5,,,,,C,IT,1114.06,2830.44,39.4
Lithuania,,,,2021-07-02 00:00:00+00:00,,,57.2,,122.4,,,,,C,LT,687.67,1100.02,62.5
Netherlands,,,,2021-07-02 00:00:00+00:00,,,2.2,,461.0,,,,,C,NL,2376.98,3537.47,67.2
Poland,,,,2021-07-02 00:00:00+00:00,,,152.9,,162.8,,,,,C,PL,1288.3,2103.24,61.3
Portugal,,,,2021-07-02 00:00:00+00:00,,,193.3,,200.0,,,,,C,PT,2265.43,2666.02,85.0
EU,eu,eu,2025-10-23 10:17:52,2021-07-02 00:00:00+00:00,2021-07-03,"{'lng': '3946.09', 'gwh': '26604.32'}",1859.5,,5514.5,-,-,-,[],C,,,,
Belgium,,,,2021-07-03 00:00:00+00:00,,,135.5,,541.0,,,,,C,BE,1386.86,3757.0,36.9
Germany,,,,2021-07-03 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2021-07-03 00:00:00+00:00,,,373.0,,1910.4,,,,,C,ES,12505.4,22830.15,54.8
EU,,,,2021-07-03 00:00:00+00:00,,,1694.6,,5514.5,,,,,C,EU,26705.32,50148.91,53.3
Finland,,,,2021-07-03 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2021-07-03 00:00:00+00:00,,,507.6,,1252.7,,,,,C,FR,3881.38,9038.6,42.9
Greece,,,,2021-07-03 00:00:00+00:00,,,16.6,,269.9,,,,,C,GR,719.69,1395.71,51.6
Croatia,,,,2021-07-03 00:00:00+00:00,,,58.3,,79.9,,,,,C,HR,346.6,901.93,38.4
Italy,,,,2021-07-03 00:00:00+00:00,,,262.8,,514.5,,,,,C,IT,1619.25,2779.61,58.3
Lithuania,,,,2021-07-03 00:00:00+00:00,,,52.0,,122.4,,,,,C,LT,629.74,1100.82,57.2
Netherlands,,,,2021-07-03 00:00:00+00:00,,,2.2,,461.0,,,,,C,NL,2374.8,3537.05,67.1
Poland,,,,2021-07-03 00:00:00+00:00,,,152.9,,162.8,,,,,C,PL,1179.27,2104.66,56.0
Portugal,,,,2021-07-03 00:00:00+00:00,,,133.7,,200.0,,,,,C,PT,2062.32,2666.09,77.4
