name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2013-08-01 00:00:00+00:00,,,24.8,,472.1,,,,,C,BE,1853.49,2499.03,74.2
Germany,,,,2013-08-01 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2013-08-01 00:00:00+00:00,,,290.3,,1910.7,,,,,C,ES,7453.44,21749.7,34.3
EU,,,,2013-08-01 00:00:00+00:00,,,926.1,,5648.5,,,,,C,EU,9785.69,24213.82,40.4
Finland,,,,2013-08-01 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2013-08-01 00:00:00+00:00,,,125.7,,764.4,,,,,C,FR,200.2,635.15,31.5
Greece,,,,2013-08-01 00:00:00+00:00,,,15.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2013-08-01 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2013-08-01 00:00:00+00:00,,,176.2,,348.0,,,,,C,IT,136.9,303.38,45.1
Lithuania,,,,2013-08-01 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2013-08-01 00:00:00+00:00,,,35.2,,461.0,,,,,C,NL,141.66,540.0,26.2
Poland,,,,2013-08-01 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2013-08-01 00:00:00+00:00,,,42.9,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:33,2013-08-01 00:00:00+00:00,2013-08-02,"{'lng': '3079.9', 'gwh': '9785.69'}",926.1,,5648.5,-,-,-,[],C,,,,
Belgium,,,,2013-08-02 00:00:00+00:00,,,22.1,,472.1,,,,,C,BE,1830.35,2499.0,73.2
Germany,,,,2013-08-02 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2013-08-02 00:00:00+00:00,,,300.2,,1910.7,,,,,C,ES,7137.66,21749.82,32.8
EU,,,,2013-08-02 00:00:00+00:00,,,932.4,,5648.5,,,,,C,EU,9404.47,23443.24,40.1
Finland,,,,2013-08-02 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2013-08-02 00:00:00+00:00,,,125.7,,764.4,,,,,C,FR,189.76,648.17,29.3
Greece,,,,2013-08-02 00:00:00+00:00,,,2.8,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2013-08-02 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2013-08-02 00:00:00+00:00,,,176.4,,348.0,,,,,C,IT,110.3,297.74,37.0
Lithuania,,,,2013-08-02 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2013-08-02 00:00:00+00:00,,,35.3,,461.0,,,,,C,NL,136.41,540.0,25.3
Poland,,,,2013-08-02 00:00:00+00:00,,,,,,,,,,N,PL,,,
