name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2014-06-01 00:00:00+00:00,,,21.6,,472.1,,,,,C,BE,837.76,2499.58,33.5
Germany,,,,2014-06-01 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-06-01 00:00:00+00:00,,,215.2,,1910.7,,,,,C,ES,10155.27,21215.35,47.9
EU,,,,2014-06-01 00:00:00+00:00,,,1055.3,,5796.0,,,,,C,EU,11678.29,21809.76,53.5
Finland,,,,2014-06-01 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-06-01 00:00:00+00:00,,,150.1,,745.2,,,,,C,FR,315.43,560.65,56.3
Greece,,,,2014-06-01 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-06-01 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-06-01 00:00:00+00:00,,,176.4,,514.7,,,,,C,IT,105.45,397.69,26.5
Lithuania,,,,2014-06-01 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-06-01 00:00:00+00:00,,,4.8,,461.0,,,,,C,NL,264.38,540.0,49.0
Poland,,,,2014-06-01 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-06-01 00:00:00+00:00,,,33.0,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-06-01 00:00:00+00:00,2014-06-02,"{'lng': '4111.44', 'gwh': '11678.29'}",1055.3,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-06-02 00:00:00+00:00,,,22.6,,472.1,,,,,C,BE,812.5,2499.59,32.5
Germany,,,,2014-06-02 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-06-02 00:00:00+00:00,,,261.3,,1910.7,,,,,C,ES,10646.14,21220.34,50.2
EU,,,,2014-06-02 00:00:00+00:00,,,1186.7,,5796.0,,,,,C,EU,12165.31,22116.39,55.0
Finland,,,,2014-06-02 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-06-02 00:00:00+00:00,,,158.2,,745.2,,,,,C,FR,296.92,555.66,53.4
Greece,,,,2014-06-02 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-06-02 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-06-02 00:00:00+00:00,,,176.5,,514.7,,,,,C,IT,146.19,415.06,35.2
Lithuania,,,,2014-06-02 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-06-02 00:00:00+00:00,,,4.8,,461.0,,,,,C,NL,263.55,540.0,48.8
Poland,,,,2014-06-02 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-06-02 00:00:00+00:00,,,34.9,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-06-02 00:00:00+00:00,2014-06-03,"{'lng': '4223.52', 'gwh': '12165.31'}",1186.7,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-06-03 00:00:00+00:00,,,74.7,,472.1,,,,,C,BE,1681.24,2498.35,67.3
Germany,,,,2014-06-03 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-06-03 00:00:00+00:00,,,276.5,,1910.7,,,,,C,ES,11319.61,21219.32,53.3
EU,,,,2014-06-03 00:00:00+00:00,,,1377.5,,5796.0,,,,,C,EU,13720.16,23576.62,58.2
Finland,,,,2014-06-03 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-06-03 00:00:00+00:00,,,190.9,,745.2,,,,,C,FR,273.58,546.87,50.0
Greece,,,,2014-06-03 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-06-03 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-06-03 00:00:00+00:00,,,231.5,,514.7,,,,,C,IT,182.97,424.75,43.1
Lithuania,,,,2014-06-03 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-06-03 00:00:00+00:00,,,4.8,,461.0,,,,,C,NL,262.76,540.0,48.7
Poland,,,,2014-06-03 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-06-03 00:00:00+00:00,,,24.1,,192.8,,,,,C,PT,0.0,0.0,
