name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2025-08-01 00:00:00+00:00,,,287.2,,724.1,724.08,0.0,,,C,BE,2144.83,3762.39,57.0
Germany,,,,2025-08-01 00:00:00+00:00,,,238.7,,693.2,403.94,289.25,,,C,DE,1431.14,4293.15,33.3
Spain,,,,2025-08-01 00:00:00+00:00,,,415.9,,2132.3,,,,,C,ES,14505.53,23228.39,62.4
EU,,,,2025-08-01 00:00:00+00:00,,,3326.0,,7979.8,4523.666,1132.6628,,,C,EU,31732.62,62062.0,51.1
Finland,,,,2025-08-01 00:00:00+00:00,,,33.0,,140.0,20.0,120.0,,,C,FI,18.0,1339.29,1.3
France,,,,2025-08-01 00:00:00+00:00,,,707.2,,1481.0,1045.6454,335.4204,,,C,FR,4782.26,9885.59,48.4
Greece,,,,2025-08-01 00:00:00+00:00,,,63.4,,406.2,336.2011,69.9672,,,C,GR,1109.27,1924.38,57.6
Croatia,,,,2025-08-01 00:00:00+00:00,,,84.3,,85.5,85.5,0.0,,,C,HR,793.0,901.14,88.0
Italy,,,,2025-08-01 00:00:00+00:00,,,401.8,,868.1,583.102,284.9689,,,C,IT,1669.98,5105.42,32.7
Lithuania,,,,2025-08-01 00:00:00+00:00,,,34.6,,117.8,74.9696,42.8488,,,C,LT,591.46,1098.15,53.9
Netherlands,,,,2025-08-01 00:00:00+00:00,,,693.1,,867.8,820.3199,-43.8405,,,C,NL,2778.42,4894.08,56.8
Poland,,,,2025-08-01 00:00:00+00:00,,,253.9,,264.0,253.908,10.048,,,C,PL,574.55,3287.28,17.5
Portugal,,,,2025-08-01 00:00:00+00:00,,,112.9,,200.0,176.0,24.0,,,C,PT,1334.17,2666.02,50.0
EU,eu,eu,2026-01-05 09:29:40,2025-08-01 00:00:00+00:00,2025-08-02,"{'lng': '4781.25', 'gwh': '31732.62'}",3326.0,,7979.8,4523.666,1132.6628,-,[],C,,,,
Belgium,,,,2025-08-02 00:00:00+00:00,,,249.8,,724.1,724.08,0.0,,,C,BE,2192.14,3760.42,58.3
Germany,,,,2025-08-02 00:00:00+00:00,,,238.3,,693.2,403.94,289.25,,,C,DE,1192.85,4299.99,27.7
Spain,,,,2025-08-02 00:00:00+00:00,,,386.6,,2132.3,,,,,C,ES,13511.17,23244.19,58.1
EU,,,,2025-08-02 00:00:00+00:00,,,3183.8,,7979.8,4466.6501,1189.6365,,,C,EU,35074.83,62940.23,55.7
Finland,,,,2025-08-02 00:00:00+00:00,,,0.0,,140.0,0.0,140.0,,,C,FI,17.0,843.26,2.0
France,,,,2025-08-02 00:00:00+00:00,,,667.2,,1481.0,1045.6454,335.4204,,,C,FR,5166.0,9891.28,52.2
Greece,,,,2025-08-02 00:00:00+00:00,,,64.7,,406.2,329.0651,77.1032,,,C,GR,1440.69,2615.6,55.1
Croatia,,,,2025-08-02 00:00:00+00:00,,,84.4,,85.5,85.5,0.0,,,C,HR,711.6,901.57,78.9
Italy,,,,2025-08-02 00:00:00+00:00,,,374.3,,868.1,554.4811,313.5898,,,C,IT,2871.54,5161.48,55.6
Lithuania,,,,2025-08-02 00:00:00+00:00,,,59.9,,117.8,73.7106,44.0656,,,C,LT,555.94,1097.72,50.6
Netherlands,,,,2025-08-02 00:00:00+00:00,,,728.7,,867.8,820.3199,-43.8405,,,C,NL,3962.43,4891.58,81.0
Poland,,,,2025-08-02 00:00:00+00:00,,,245.0,,264.0,253.908,10.048,,,C,PL,1480.75,3351.78,44.2
Portugal,,,,2025-08-02 00:00:00+00:00,,,85.0,,200.0,176.0,24.0,,,C,PT,1972.72,2666.02,74.0
EU,eu,eu,2026-01-05 09:29:40,2025-08-02 00:00:00+00:00,2025-08-03,"{'lng': '5211.09', 'gwh': '35074.83'}",3183.8,,7979.8,4466.6501,1189.6365,-,[],C,,,,
Belgium,,,,2025-08-03 00:00:00+00:00,,,239.0,,724.1,724.08,0.0,,,C,BE,1948.95,3758.96,51.8
Germany,,,,2025-08-03 00:00:00+00:00,,,236.3,,693.2,403.94,289.25,,,C,DE,1008.63,4316.35,23.4
Spain,,,,2025-08-03 00:00:00+00:00,,,345.7,,2132.3,,,,,C,ES,13522.28,23243.12,58.2
EU,,,,2025-08-03 00:00:00+00:00,,,3057.6,,7979.7,4377.4416,1278.8161,,,C,EU,32892.17,63002.38,52.2
Finland,,,,2025-08-03 00:00:00+00:00,,,0.0,,140.0,0.0,140.0,,,C,FI,16.0,1190.48,1.3
France,,,,2025-08-03 00:00:00+00:00,,,650.7,,1481.0,1045.6454,335.4204,,,C,FR,4498.05,9894.19,45.5
Greece,,,,2025-08-03 00:00:00+00:00,,,62.6,,406.2,329.0651,77.1032,,,C,GR,1375.54,2615.19,52.6
Croatia,,,,2025-08-03 00:00:00+00:00,,,84.4,,85.5,85.5,0.0,,,C,HR,628.7,900.9,69.8
Italy,,,,2025-08-03 00:00:00+00:00,,,284.7,,868.1,465.1288,402.942,,,C,IT,2577.42,5152.57,50.0
