name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2014-09-01 00:00:00+00:00,,,48.9,,472.1,,,,,C,BE,1771.72,2503.02,70.8
Germany,,,,2014-09-01 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-01 00:00:00+00:00,,,258.5,,1910.7,,,,,C,ES,12669.81,21205.43,59.7
EU,,,,2014-09-01 00:00:00+00:00,,,812.8,,5796.0,,,,,C,EU,15422.91,24126.96,63.9
Finland,,,,2014-09-01 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-01 00:00:00+00:00,,,96.3,,745.2,,,,,C,FR,460.22,776.51,59.3
Greece,,,,2014-09-01 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-01 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-01 00:00:00+00:00,,,48.8,,514.7,,,,,C,IT,84.02,344.37,24.4
Lithuania,,,,2014-09-01 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-01 00:00:00+00:00,,,38.3,,461.0,,,,,C,NL,437.14,540.0,81.0
Poland,,,,2014-09-01 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-01 00:00:00+00:00,,,32.5,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-01 00:00:00+00:00,2014-09-02,"{'lng': '4908.28', 'gwh': '15422.91'}",812.8,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-02 00:00:00+00:00,,,25.7,,472.1,,,,,C,BE,1736.95,2503.16,69.4
Germany,,,,2014-09-02 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-02 00:00:00+00:00,,,329.8,,1910.7,,,,,C,ES,12588.19,21200.35,59.4
EU,,,,2014-09-02 00:00:00+00:00,,,865.0,,5796.0,,,,,C,EU,15241.61,24534.96,62.1
Finland,,,,2014-09-02 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-02 00:00:00+00:00,,,80.0,,745.2,,,,,C,FR,453.75,784.5,57.8
Greece,,,,2014-09-02 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-02 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-02 00:00:00+00:00,,,48.9,,514.7,,,,,C,IT,76.46,335.83,22.8
Lithuania,,,,2014-09-02 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-02 00:00:00+00:00,,,38.3,,461.0,,,,,C,NL,386.26,540.0,71.5
Poland,,,,2014-09-02 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-02 00:00:00+00:00,,,32.5,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-02 00:00:00+00:00,2014-09-03,"{'lng': '4769.92', 'gwh': '15241.61'}",865.0,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-03 00:00:00+00:00,,,30.7,,472.1,,,,,C,BE,1711.62,2503.21,68.4
Germany,,,,2014-09-03 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-03 00:00:00+00:00,,,328.9,,1910.7,,,,,C,ES,12831.18,21198.55,60.5
EU,,,,2014-09-03 00:00:00+00:00,,,866.8,,5796.0,,,,,C,EU,15458.53,25017.0,61.8
Finland,,,,2014-09-03 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-03 00:00:00+00:00,,,80.0,,745.2,,,,,C,FR,447.29,792.92,56.4
Greece,,,,2014-09-03 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-03 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-03 00:00:00+00:00,,,49.0,,514.7,,,,,C,IT,129.03,379.41,34.0
Lithuania,,,,2014-09-03 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-03 00:00:00+00:00,,,31.2,,461.0,,,,,C,NL,339.42,540.0,62.9
Poland,,,,2014-09-03 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-03 00:00:00+00:00,,,32.5,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-03 00:00:00+00:00,2014-09-04,"{'lng': '4744.59', 'gwh': '15458.53'}",866.8,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-04 00:00:00+00:00,,,33.4,,472.1,,,,,C,BE,1687.3,2503.27,67.4
Germany,,,,2014-09-04 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-04 00:00:00+00:00,,,363.3,,1910.7,,,,,C,ES,13070.75,21198.89,61.7
EU,,,,2014-09-04 00:00:00+00:00,,,906.7,,5796.0,,,,,C,EU,15708.27,25000.77,62.8
Finland,,,,2014-09-04 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-04 00:00:00+00:00,,,132.9,,745.2,,,,,C,FR,440.82,701.73,62.8
Greece,,,,2014-09-04 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-04 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-04 00:00:00+00:00,,,48.9,,514.7,,,,,C,IT,201.33,406.96,49.5
Lithuania,,,,2014-09-04 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-04 00:00:00+00:00,,,11.0,,461.0,,,,,C,NL,308.06,540.0,57.0
Poland,,,,2014-09-04 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-04 00:00:00+00:00,,,32.5,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-04 00:00:00+00:00,2014-09-05,"{'lng': '4824.37', 'gwh': '15708.27'}",906.7,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-05 00:00:00+00:00,,,22.1,,472.1,,,,,C,BE,1664.01,2511.28,66.3
Germany,,,,2014-09-05 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-05 00:00:00+00:00,,,358.2,,1910.7,,,,,C,ES,13847.37,21203.44,65.3
EU,,,,2014-09-05 00:00:00+00:00,,,901.6,,5796.0,,,,,C,EU,16444.3,26007.39,63.2
Finland,,,,2014-09-05 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-05 00:00:00+00:00,,,129.5,,745.2,,,,,C,FR,434.87,718.71,60.5
Greece,,,,2014-09-05 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-05 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-05 00:00:00+00:00,,,48.9,,514.7,,,,,C,IT,194.04,405.13,47.9
Lithuania,,,,2014-09-05 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-05 00:00:00+00:00,,,10.9,,461.0,,,,,C,NL,304.01,540.0,56.3
Poland,,,,2014-09-05 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-05 00:00:00+00:00,,,29.2,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-05 00:00:00+00:00,2014-09-06,"{'lng': '4855.69', 'gwh': '16444.3'}",901.6,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-06 00:00:00+00:00,,,21.6,,472.1,,,,,C,BE,1641.65,2503.37,65.6
Germany,,,,2014-09-06 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-06 00:00:00+00:00,,,238.7,,1910.7,,,,,C,ES,13156.84,21203.97,62.0
EU,,,,2014-09-06 00:00:00+00:00,,,682.5,,5796.0,,,,,C,EU,15717.16,25755.55,61.0
Finland,,,,2014-09-06 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-06 00:00:00+00:00,,,117.9,,745.2,,,,,C,FR,428.4,733.55,58.4
Greece,,,,2014-09-06 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-06 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-06 00:00:00+00:00,,,38.9,,514.7,,,,,C,IT,187.93,403.48,46.6
Lithuania,,,,2014-09-06 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-06 00:00:00+00:00,,,10.9,,461.0,,,,,C,NL,302.34,540.0,56.0
Poland,,,,2014-09-06 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-06 00:00:00+00:00,,,32.6,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-06 00:00:00+00:00,2014-09-07,"{'lng': '4685.64', 'gwh': '15717.16'}",682.5,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-07 00:00:00+00:00,,,22.5,,472.1,,,,,C,BE,1618.74,2503.34,64.7
Germany,,,,2014-09-07 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-07 00:00:00+00:00,,,190.2,,1910.7,,,,,C,ES,12592.35,21204.41,59.4
EU,,,,2014-09-07 00:00:00+00:00,,,609.0,,5796.0,,,,,C,EU,15115.68,25164.37,60.1
Finland,,,,2014-09-07 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-07 00:00:00+00:00,,,117.9,,745.2,,,,,C,FR,421.94,648.06,65.1
Greece,,,,2014-09-07 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-07 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-07 00:00:00+00:00,,,38.9,,514.7,,,,,C,IT,182.09,401.86,45.3
Lithuania,,,,2014-09-07 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-07 00:00:00+00:00,,,10.8,,461.0,,,,,C,NL,300.56,540.0,55.7
Poland,,,,2014-09-07 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-07 00:00:00+00:00,,,32.6,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-07 00:00:00+00:00,2014-09-08,"{'lng': '4612.19', 'gwh': '15115.68'}",609.0,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-08 00:00:00+00:00,,,26.6,,472.1,,,,,C,BE,1594.51,2503.34,63.7
Germany,,,,2014-09-08 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-08 00:00:00+00:00,,,250.8,,1910.7,,,,,C,ES,12299.25,21203.99,58.0
EU,,,,2014-09-08 00:00:00+00:00,,,752.8,,5796.0,,,,,C,EU,14783.02,25262.65,58.5
Finland,,,,2014-09-08 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-08 00:00:00+00:00,,,117.9,,745.2,,,,,C,FR,415.47,659.44,63.0
Greece,,,,2014-09-08 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-08 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-08 00:00:00+00:00,,,48.7,,514.7,,,,,C,IT,174.94,399.67,43.8
Lithuania,,,,2014-09-08 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-08 00:00:00+00:00,,,4.7,,461.0,,,,,C,NL,298.84,540.0,55.3
Poland,,,,2014-09-08 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-08 00:00:00+00:00,,,23.6,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-08 00:00:00+00:00,2014-09-09,"{'lng': '4493.14', 'gwh': '14783.02'}",752.8,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-09 00:00:00+00:00,,,21.9,,472.1,,,,,C,BE,1568.71,2503.3,62.7
Germany,,,,2014-09-09 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-09 00:00:00+00:00,,,294.3,,1910.7,,,,,C,ES,12883.3,21206.69,60.8
EU,,,,2014-09-09 00:00:00+00:00,,,929.4,,5796.0,,,,,C,EU,15325.57,25959.34,59.0
Finland,,,,2014-09-09 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-09 00:00:00+00:00,,,177.8,,745.2,,,,,C,FR,409.01,683.64,59.8
Greece,,,,2014-09-09 00:00:00+00:00,,,19.3,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-09 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-09 00:00:00+00:00,,,48.7,,514.7,,,,,C,IT,167.44,397.2,42.2
Lithuania,,,,2014-09-09 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-09 00:00:00+00:00,,,4.7,,461.0,,,,,C,NL,297.12,540.0,55.0
Poland,,,,2014-09-09 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-09 00:00:00+00:00,,,25.4,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-09 00:00:00+00:00,2014-09-10,"{'lng': '4533.03', 'gwh': '15325.57'}",929.4,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-10 00:00:00+00:00,,,22.2,,472.1,,,,,C,BE,1544.32,2503.36,61.7
Germany,,,,2014-09-10 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-10 00:00:00+00:00,,,275.6,,1910.7,,,,,C,ES,12513.85,21206.29,59.0
EU,,,,2014-09-10 00:00:00+00:00,,,921.3,,5796.0,,,,,C,EU,14916.27,26143.37,57.1
Finland,,,,2014-09-10 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-10 00:00:00+00:00,,,177.8,,745.2,,,,,C,FR,402.54,710.51,56.7
Greece,,,,2014-09-10 00:00:00+00:00,,,25.1,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-10 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-10 00:00:00+00:00,,,49.0,,514.7,,,,,C,IT,160.15,394.72,40.6
Lithuania,,,,2014-09-10 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-10 00:00:00+00:00,,,4.7,,461.0,,,,,C,NL,295.4,540.0,54.7
Poland,,,,2014-09-10 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-10 00:00:00+00:00,,,26.4,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-10 00:00:00+00:00,2014-09-11,"{'lng': '4380.91', 'gwh': '14916.27'}",921.3,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-11 00:00:00+00:00,,,22.2,,472.1,,,,,C,BE,1520.06,2503.31,60.7
Germany,,,,2014-09-11 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-11 00:00:00+00:00,,,278.9,,1910.7,,,,,C,ES,12084.3,21205.82,57.0
EU,,,,2014-09-11 00:00:00+00:00,,,857.0,,5796.0,,,,,C,EU,14453.01,26213.52,55.1
Finland,,,,2014-09-11 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-11 00:00:00+00:00,,,136.8,,745.2,,,,,C,FR,402.22,741.96,54.2
Greece,,,,2014-09-11 00:00:00+00:00,,,1.2,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-11 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-11 00:00:00+00:00,,,48.8,,514.7,,,,,C,IT,152.74,391.9,39.0
Lithuania,,,,2014-09-11 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-11 00:00:00+00:00,,,4.7,,461.0,,,,,C,NL,293.68,540.0,54.4
Poland,,,,2014-09-11 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-11 00:00:00+00:00,,,27.4,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-11 00:00:00+00:00,2014-09-12,"{'lng': '4233.49', 'gwh': '14453.01'}",857.0,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-12 00:00:00+00:00,,,89.8,,472.1,,,,,C,BE,2375.67,2500.0,95.0
Germany,,,,2014-09-12 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-12 00:00:00+00:00,,,256.3,,1910.7,,,,,C,ES,11826.76,21207.8,55.8
EU,,,,2014-09-12 00:00:00+00:00,,,902.4,,5796.0,,,,,C,EU,15041.6,26024.84,57.8
Finland,,,,2014-09-12 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-12 00:00:00+00:00,,,136.8,,745.2,,,,,C,FR,401.89,776.33,51.8
Greece,,,,2014-09-12 00:00:00+00:00,,,15.3,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-12 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-12 00:00:00+00:00,,,48.8,,514.7,,,,,C,IT,145.31,388.81,37.4
Lithuania,,,,2014-09-12 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-12 00:00:00+00:00,,,4.7,,461.0,,,,,C,NL,291.96,540.0,54.1
Poland,,,,2014-09-12 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-12 00:00:00+00:00,,,26.4,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-12 00:00:00+00:00,2014-09-13,"{'lng': '4437.84', 'gwh': '15041.6'}",902.4,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-13 00:00:00+00:00,,,31.8,,472.1,,,,,C,BE,2336.48,2499.98,93.5
Germany,,,,2014-09-13 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-13 00:00:00+00:00,,,224.4,,1910.7,,,,,C,ES,11059.8,21208.12,52.1
EU,,,,2014-09-13 00:00:00+00:00,,,777.5,,5796.0,,,,,C,EU,14225.89,24933.93,57.1
Finland,,,,2014-09-13 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-13 00:00:00+00:00,,,170.5,,745.2,,,,,C,FR,401.57,610.75,65.8
Greece,,,,2014-09-13 00:00:00+00:00,,,8.7,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-13 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-13 00:00:00+00:00,,,38.9,,514.7,,,,,C,IT,139.44,386.23,36.1
Lithuania,,,,2014-09-13 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-13 00:00:00+00:00,,,4.7,,461.0,,,,,C,NL,288.61,540.0,53.4
Poland,,,,2014-09-13 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-13 00:00:00+00:00,,,26.4,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-13 00:00:00+00:00,2014-09-14,"{'lng': '4380.81', 'gwh': '14225.89'}",777.5,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-14 00:00:00+00:00,,,21.7,,472.1,,,,,C,BE,2308.79,2499.89,92.4
Germany,,,,2014-09-14 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2014-09-14 00:00:00+00:00,,,227.7,,1910.7,,,,,C,ES,10676.77,21208.86,50.3
EU,,,,2014-09-14 00:00:00+00:00,,,786.6,,5796.0,,,,,C,EU,13808.32,25011.51,55.2
Finland,,,,2014-09-14 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2014-09-14 00:00:00+00:00,,,170.5,,745.2,,,,,C,FR,401.25,639.9,62.7
Greece,,,,2014-09-14 00:00:00+00:00,,,11.6,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2014-09-14 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2014-09-14 00:00:00+00:00,,,38.9,,514.7,,,,,C,IT,133.7,383.52,34.9
Lithuania,,,,2014-09-14 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2014-09-14 00:00:00+00:00,,,4.7,,461.0,,,,,C,NL,287.81,540.0,53.3
Poland,,,,2014-09-14 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2014-09-14 00:00:00+00:00,,,33.5,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:35,2014-09-14 00:00:00+00:00,2014-09-15,"{'lng': '4239.03', 'gwh': '13808.32'}",786.6,,5796.0,-,-,-,[],C,,,,
Belgium,,,,2014-09-15 00:00:00+00:00,,,65.4,,472.1,,,,,C,BE,1921.01,2499.42,76.9
Germany,,,,2014-09-15 00:00:00+00:00,,,,,,,,,,N,DE,,,
