name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2013-06-01 00:00:00+00:00,,,103.5,,472.1,,,,,C,BE,1300.84,2500.93,52.0
Germany,,,,2013-06-01 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2013-06-01 00:00:00+00:00,,,273.5,,1910.7,,,,,C,ES,6868.39,21743.27,31.6
EU,,,,2013-06-01 00:00:00+00:00,,,1378.5,,5648.5,,,,,C,EU,8778.8,18780.46,46.7
Finland,,,,2013-06-01 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2013-06-01 00:00:00+00:00,,,264.1,,764.4,,,,,C,FR,227.62,589.13,38.6
Greece,,,,2013-06-01 00:00:00+00:00,,,2.2,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2013-06-01 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2013-06-01 00:00:00+00:00,,,132.8,,348.0,,,,,C,IT,190.5,304.37,62.6
Lithuania,,,,2013-06-01 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2013-06-01 00:00:00+00:00,,,4.2,,461.0,,,,,C,NL,191.45,540.0,35.5
Poland,,,,2013-06-01 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2013-06-01 00:00:00+00:00,,,64.0,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:33,2013-06-01 00:00:00+00:00,2013-06-02,"{'lng': '3562.4', 'gwh': '8778.8'}",1378.5,,5648.5,-,-,-,[],C,,,,
Belgium,,,,2013-06-02 00:00:00+00:00,,,42.3,,472.1,,,,,C,BE,1207.95,2501.01,48.3
Germany,,,,2013-06-02 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2013-06-02 00:00:00+00:00,,,281.6,,1910.7,,,,,C,ES,6843.75,21743.26,31.5
EU,,,,2013-06-02 00:00:00+00:00,,,1389.3,,5648.5,,,,,C,EU,8729.81,19058.55,45.8
Finland,,,,2013-06-02 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2013-06-02 00:00:00+00:00,,,264.1,,764.4,,,,,C,FR,285.49,667.83,42.7
Greece,,,,2013-06-02 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,0.0,0.0,
Croatia,,,,2013-06-02 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2013-06-02 00:00:00+00:00,,,132.6,,348.0,,,,,C,IT,201.77,305.78,66.0
Lithuania,,,,2013-06-02 00:00:00+00:00,,,,,,,,,,N,LT,,,
Netherlands,,,,2013-06-02 00:00:00+00:00,,,4.2,,461.0,,,,,C,NL,190.85,540.0,35.3
Poland,,,,2013-06-02 00:00:00+00:00,,,,,,,,,,N,PL,,,
Portugal,,,,2013-06-02 00:00:00+00:00,,,64.7,,192.8,,,,,C,PT,0.0,0.0,
EU,eu,eu,2025-10-01 14:04:33,2013-06-02 00:00:00+00:00,2013-06-03,"{'lng': '3490.83', 'gwh': '8729.81'}",1389.3,,5648.5,-,-,-,[],C,,,,
