name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2023-10-01 00:00:00+00:00,,,240.1,,541.0,540.96,0.0,,,C,BE,2211.82,3771.32,58.6
Germany,,,,2023-10-01 00:00:00+00:00,,,236.8,,370.0,244.8204,125.15,,,C,DE,2489.22,3381.47,73.6
Spain,,,,2023-10-01 00:00:00+00:00,,,478.9,,2132.3,,,,,C,ES,14848.53,23722.54,62.6
EU,,,,2023-10-01 00:00:00+00:00,,,3000.9,,6722.4,3858.2631,637.3701,,,C,EU,30239.02,57102.05,53.0
Finland,,,,2023-10-01 00:00:00+00:00,,,47.9,,0.0,47.8,92.2,,,C,FI,0.0,0.0,
France,,,,2023-10-01 00:00:00+00:00,,,538.9,,1357.7,1068.226,55.0011,,,C,FR,4029.89,8906.27,45.2
Greece,,,,2023-10-01 00:00:00+00:00,,,2.4,,224.6,179.809,44.784,,,C,GR,686.79,1403.27,48.9
Croatia,,,,2023-10-01 00:00:00+00:00,,,66.6,,85.5,85.5,0.0,,,C,HR,877.4,901.22,97.4
Italy,,,,2023-10-01 00:00:00+00:00,,,439.5,,706.9,436.8794,270.0441,,,C,IT,1421.24,4029.81,35.3
Lithuania,,,,2023-10-01 00:00:00+00:00,,,100.6,,116.3,94.8971,21.3543,,,C,LT,136.04,1098.93,12.4
Netherlands,,,,2023-10-01 00:00:00+00:00,,,608.9,,768.2,768.2445,0.0,,,C,NL,1942.72,4027.79,48.2
Poland,,,,2023-10-01 00:00:00+00:00,,,144.7,,220.0,191.1267,28.8366,,,C,PL,760.31,2118.78,35.9
Portugal,,,,2023-10-01 00:00:00+00:00,,,95.6,,200.0,200.0,0.0,,,C,PT,835.08,2666.02,31.3
EU,eu,eu,2026-03-02 09:14:22,2023-10-01 00:00:00+00:00,2023-10-02,"{'lng': '4536.32', 'gwh': '30239.02'}",3000.9,,6722.4,3858.2631,637.3701,-,[],C,,,,
Belgium,,,,2023-10-02 00:00:00+00:00,,,190.9,,541.0,540.96,0.0,,,C,BE,2016.91,3770.92,53.5
Germany,,,,2023-10-02 00:00:00+00:00,,,234.5,,370.0,244.8322,125.15,,,C,DE,2250.42,3383.34,66.5
Spain,,,,2023-10-02 00:00:00+00:00,,,640.6,,2132.3,,,,,C,ES,14699.92,23717.43,62.0
EU,,,,2023-10-02 00:00:00+00:00,,,3295.5,,6721.8,3881.9748,613.0276,,,C,EU,29449.38,55997.06,52.6
Finland,,,,2023-10-02 00:00:00+00:00,,,67.9,,0.0,68.0,72.0,,,C,FI,0.0,0.0,
France,,,,2023-10-02 00:00:00+00:00,,,567.0,,1357.7,1068.226,55.0011,,,C,FR,3419.9,8908.93,38.4
Greece,,,,2023-10-02 00:00:00+00:00,,,35.9,,224.6,179.809,44.784,,,C,GR,682.72,826.45,82.6
Croatia,,,,2023-10-02 00:00:00+00:00,,,68.6,,85.5,85.5,0.0,,,C,HR,808.8,901.53,89.7
Italy,,,,2023-10-02 00:00:00+00:00,,,461.4,,706.9,436.8794,270.0441,,,C,IT,1512.94,4081.48,37.1
Lithuania,,,,2023-10-02 00:00:00+00:00,,,101.3,,115.6,98.397,17.2118,,,C,LT,494.67,1088.22,45.5
Netherlands,,,,2023-10-02 00:00:00+00:00,,,668.6,,768.2,768.2445,0.0,,,C,NL,2083.48,4178.44,49.9
Poland,,,,2023-10-02 00:00:00+00:00,,,163.1,,220.0,191.1267,28.8366,,,C,PL,743.59,2729.71,27.2
Portugal,,,,2023-10-02 00:00:00+00:00,,,95.6,,200.0,200.0,0.0,,,C,PT,736.03,2666.03,27.6
EU,eu,eu,2026-03-02 09:14:22,2023-10-02 00:00:00+00:00,2023-10-03,"{'lng': '4505.04', 'gwh': '29449.38'}",3295.5,,6721.8,3881.9748,613.0276,-,[],C,,,,
Belgium,,,,2023-10-03 00:00:00+00:00,,,118.9,,541.0,540.96,0.0,,,C,BE,1882.96,3770.32,49.9
Germany,,,,2023-10-03 00:00:00+00:00,,,237.5,,369.9,244.7808,125.15,,,C,DE,2009.2,3385.25,59.4
Spain,,,,2023-10-03 00:00:00+00:00,,,536.9,,2132.3,,,,,C,ES,16337.45,23703.33,68.9
EU,,,,2023-10-03 00:00:00+00:00,,,3104.1,,6721.7,3934.7515,560.2139,,,C,EU,33072.82,55950.26,59.1
Finland,,,,2023-10-03 00:00:00+00:00,,,69.7,,0.0,70.0,70.0,,,C,FI,0.0,0.0,
France,,,,2023-10-03 00:00:00+00:00,,,564.1,,1357.7,1068.226,55.0011,,,C,FR,3823.09,8895.69,43.0
Greece,,,,2023-10-03 00:00:00+00:00,,,11.1,,224.6,179.809,44.784,,,C,GR,1179.0,1442.1,81.8
Croatia,,,,2023-10-03 00:00:00+00:00,,,69.6,,85.5,85.5,0.0,,,C,HR,739.4,900.92,82.1
Italy,,,,2023-10-03 00:00:00+00:00,,,511.1,,706.9,485.8285,221.095,,,C,IT,3330.01,4062.71,82.0
Lithuania,,,,2023-10-03 00:00:00+00:00,,,102.4,,115.6,100.276,15.3472,,,C,LT,827.89,1089.28,76.0
Netherlands,,,,2023-10-03 00:00:00+00:00,,,671.8,,768.2,768.2445,0.0,,,C,NL,1854.7,4336.18,42.8
Poland,,,,2023-10-03 00:00:00+00:00,,,120.8,,220.0,191.1267,28.8366,,,C,PL,456.63,2116.78,21.6
Portugal,,,,2023-10-03 00:00:00+00:00,,,90.3,,200.0,200.0,0.0,,,C,PT,632.5,2666.18,23.7
EU,eu,eu,2026-03-02 09:14:22,2023-10-03 00:00:00+00:00,2023-10-04,"{'lng': '5063.57', 'gwh': '33072.82'}",3104.1,,6721.7,3934.7515,560.2139,-,[],C,,,,
Belgium,,,,2023-10-04 00:00:00+00:00,,,160.5,,541.0,540.96,0.0,,,C,BE,1679.11,3769.24,44.5
Germany,,,,2023-10-04 00:00:00+00:00,,,240.9,,370.0,244.85,125.15,,,C,DE,1764.72,3386.78,52.1
Spain,,,,2023-10-04 00:00:00+00:00,,,655.5,,2132.3,,,,,C,ES,16621.03,23693.06,70.2
EU,,,,2023-10-04 00:00:00+00:00,,,3325.3,,6721.8,3958.4088,536.6351,,,C,EU,32041.89,55180.22,58.1
Finland,,,,2023-10-04 00:00:00+00:00,,,72.7,,0.0,73.0,67.0,,,C,FI,0.0,0.0,
France,,,,2023-10-04 00:00:00+00:00,,,629.3,,1357.7,1068.226,55.0011,,,C,FR,3782.61,8877.81,42.6
Greece,,,,2023-10-04 00:00:00+00:00,,,24.5,,224.6,179.809,44.784,,,C,GR,1166.18,1457.0,80.0
Croatia,,,,2023-10-04 00:00:00+00:00,,,72.1,,85.5,85.5,0.0,,,C,HR,667.9,900.83,74.1
Italy,,,,2023-10-04 00:00:00+00:00,,,540.7,,706.9,506.5926,200.3309,,,C,IT,2847.12,4064.05,70.1
Lithuania,,,,2023-10-04 00:00:00+00:00,,,98.3,,115.6,100.1,15.5325,,,C,LT,724.3,1090.11,66.4
Netherlands,,,,2023-10-04 00:00:00+00:00,,,627.8,,768.2,768.2445,0.0,,,C,NL,1873.77,3430.59,54.6
Poland,,,,2023-10-04 00:00:00+00:00,,,66.0,,220.0,191.1267,28.8366,,,C,PL,378.71,2117.92,17.9
Portugal,,,,2023-10-04 00:00:00+00:00,,,137.1,,200.0,200.0,0.0,,,C,PT,536.44,2666.13,20.1
EU,eu,eu,2026-03-02 09:14:22,2023-10-04 00:00:00+00:00,2023-10-05,"{'lng': '4974.19', 'gwh': '32041.89'}",3325.3,,6721.8,3958.4088,536.6351,-,[],C,,,,
Belgium,,,,2023-10-05 00:00:00+00:00,,,215.5,,541.0,540.96,0.0,,,C,BE,1475.88,3768.09,39.2
Germany,,,,2023-10-05 00:00:00+00:00,,,237.9,,370.1,244.9605,125.15,,,C,DE,1524.29,3391.02,45.0
Spain,,,,2023-10-05 00:00:00+00:00,,,726.7,,2132.3,,,,,C,ES,15794.76,23696.75,66.7
EU,,,,2023-10-05 00:00:00+00:00,,,3099.1,,6721.9,3976.9003,518.2686,,,C,EU,32498.64,56098.64,57.9
Finland,,,,2023-10-05 00:00:00+00:00,,,71.2,,0.0,71.5,68.5,,,C,FI,0.0,0.0,
France,,,,2023-10-05 00:00:00+00:00,,,540.8,,1357.7,1068.226,55.0011,,,C,FR,3484.56,8893.25,39.2
Greece,,,,2023-10-05 00:00:00+00:00,,,43.6,,224.6,174.9814,49.6116,,,C,GR,1140.81,1480.38,77.1
Croatia,,,,2023-10-05 00:00:00+00:00,,,71.6,,85.5,85.5,0.0,,,C,HR,596.5,900.86,66.2
Italy,,,,2023-10-05 00:00:00+00:00,,,539.0,,706.9,505.0645,201.859,,,C,IT,2297.17,4070.5,56.4
Lithuania,,,,2023-10-05 00:00:00+00:00,,,107.0,,115.6,97.5,18.1469,,,C,LT,625.13,1090.82,57.3
Netherlands,,,,2023-10-05 00:00:00+00:00,,,193.1,,768.2,768.2445,0.0,,,C,NL,2658.04,4237.71,62.7
Poland,,,,2023-10-05 00:00:00+00:00,,,210.7,,220.0,219.9634,0.0,,,C,PL,1548.84,2142.06,72.3
Portugal,,,,2023-10-05 00:00:00+00:00,,,141.9,,200.0,200.0,0.0,,,C,PT,1352.65,2666.06,50.7
EU,eu,eu,2026-03-02 09:14:22,2023-10-05 00:00:00+00:00,2023-10-06,"{'lng': '4962.5', 'gwh': '32498.64'}",3099.1,,6721.9,3976.9003,518.2686,-,[],C,,,,
Belgium,,,,2023-10-06 00:00:00+00:00,,,180.9,,541.0,540.96,0.0,,,C,BE,1195.05,3768.45,31.7
Germany,,,,2023-10-06 00:00:00+00:00,,,237.5,,370.1,244.9962,125.15,,,C,DE,1282.06,3394.75,37.8
Spain,,,,2023-10-06 00:00:00+00:00,,,658.0,,2132.3,,,,,C,ES,15588.56,23704.17,65.8
EU,,,,2023-10-06 00:00:00+00:00,,,3476.8,,6722.0,3934.5155,509.0878,,,C,EU,31782.5,56054.6,56.7
Finland,,,,2023-10-06 00:00:00+00:00,,,85.2,,0.0,85.5274,54.473,,,C,FI,0.0,0.0,
