name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2024-08-01 00:00:00+00:00,,,80.4,,668.9,668.88,0.0,,,C,BE,949.42,3766.27,25.2
Germany,,,,2024-08-01 00:00:00+00:00,,,61.1,,434.7,281.5092,153.15,,,C,DE,1089.83,3342.46,32.6
Spain,,,,2024-08-01 00:00:00+00:00,,,417.2,,2132.3,,,,,C,ES,12182.75,23311.95,52.3
EU,,,,2024-08-01 00:00:00+00:00,,,2439.4,,7287.6,3798.2228,1078.2881,,,C,EU,26476.94,58407.93,45.3
Finland,,,,2024-08-01 00:00:00+00:00,,,85.0,,140.0,85.0,55.0,,,C,FI,472.0,877.98,53.8
France,,,,2024-08-01 00:00:00+00:00,,,516.9,,1481.0,1003.7098,289.7753,,,C,FR,4748.79,9854.11,48.2
Greece,,,,2024-08-01 00:00:00+00:00,,,22.7,,224.6,166.5463,58.0467,,,C,GR,801.99,1503.48,53.3
Croatia,,,,2024-08-01 00:00:00+00:00,,,77.9,,85.5,85.5,0.0,,,C,HR,815.0,901.26,90.4
Italy,,,,2024-08-01 00:00:00+00:00,,,290.0,,720.6,267.2313,453.3954,,,C,IT,800.43,4032.83,19.8
Lithuania,,,,2024-08-01 00:00:00+00:00,,,80.2,,119.8,79.7012,40.0841,,,C,LT,115.0,1100.05,10.5
Netherlands,,,,2024-08-01 00:00:00+00:00,,,480.2,,860.3,769.0183,0.0,,,C,NL,1682.67,4897.8,34.4
Poland,,,,2024-08-01 00:00:00+00:00,,,191.1,,220.0,191.1267,28.8366,,,C,PL,1471.85,2122.16,69.4
Portugal,,,,2024-08-01 00:00:00+00:00,,,136.7,,200.0,200.0,0.0,,,C,PT,1347.23,2666.02,50.5
EU,eu,eu,2025-12-08 09:50:35,2024-08-01 00:00:00+00:00,2024-08-02,"{'lng': '3956.02', 'gwh': '26476.94'}",2439.4,,7287.6,3798.2228,1078.2881,-,[],C,,,,
Belgium,,,,2024-08-02 00:00:00+00:00,,,70.5,,668.9,668.88,0.0,,,C,BE,873.0,3764.71,23.2
Germany,,,,2024-08-02 00:00:00+00:00,,,62.0,,434.7,281.5092,153.15,,,E,DE,1027.65,3343.86,30.7
Spain,,,,2024-08-02 00:00:00+00:00,,,405.6,,2132.3,,,,,C,ES,11773.71,23327.04,50.5
EU,,,,2024-08-02 00:00:00+00:00,,,2373.6,,7288.8,3803.3024,1074.3949,,,E,EU,26910.24,58521.32,46.0
Finland,,,,2024-08-02 00:00:00+00:00,,,83.0,,140.0,80.0,60.0,,,C,FI,390.0,853.47,45.7
France,,,,2024-08-02 00:00:00+00:00,,,551.5,,1481.0,1003.7098,289.7753,,,C,FR,4222.95,9846.39,42.9
Greece,,,,2024-08-02 00:00:00+00:00,,,46.1,,224.6,166.5463,58.0467,,,C,GR,779.22,1551.41,50.2
Croatia,,,,2024-08-02 00:00:00+00:00,,,78.6,,85.5,85.5,0.0,,,C,HR,736.1,901.61,81.6
Italy,,,,2024-08-02 00:00:00+00:00,,,306.5,,720.6,282.5649,438.0618,,,C,IT,1173.84,3983.81,29.5
Lithuania,,,,2024-08-02 00:00:00+00:00,,,67.6,,121.0,74.4472,46.5245,,,C,LT,902.38,1124.05,80.3
Netherlands,,,,2024-08-02 00:00:00+00:00,,,380.1,,860.3,769.0183,0.0,,,C,NL,2342.11,4931.12,47.5
Poland,,,,2024-08-02 00:00:00+00:00,,,191.1,,220.0,191.1267,28.8366,,,C,PL,1485.6,2134.1,69.6
Portugal,,,,2024-08-02 00:00:00+00:00,,,131.2,,200.0,200.0,0.0,,,C,PT,1203.68,2666.03,45.1
EU,eu,eu,2025-12-08 09:50:35,2024-08-02 00:00:00+00:00,2024-08-03,"{'lng': '4012.97', 'gwh': '26910.24'}",2373.6,,7288.8,3803.3024,1074.3949,-,[],E,,,,
Belgium,,,,2024-08-03 00:00:00+00:00,,,67.1,,668.9,668.88,0.0,,,C,BE,999.93,3767.54,26.5
Germany,,,,2024-08-03 00:00:00+00:00,,,62.1,,434.7,281.5092,153.15,,,C,DE,963.78,3346.22,28.8
Spain,,,,2024-08-03 00:00:00+00:00,,,429.9,,2132.3,,,,,C,ES,12325.1,23309.59,52.9
EU,,,,2024-08-03 00:00:00+00:00,,,2352.5,,7288.4,3756.2462,1121.1005,,,C,EU,28866.25,57666.36,50.1
Finland,,,,2024-08-03 00:00:00+00:00,,,80.0,,140.0,80.0,60.0,,,C,FI,309.0,821.11,37.6
France,,,,2024-08-03 00:00:00+00:00,,,533.8,,1481.0,1003.7098,289.7753,,,C,FR,5553.62,9858.49,56.3
Greece,,,,2024-08-03 00:00:00+00:00,,,45.3,,224.6,166.5463,58.0467,,,C,GR,732.59,1030.01,71.1
Croatia,,,,2024-08-03 00:00:00+00:00,,,78.9,,85.5,85.5,0.0,,,C,HR,656.5,901.08,72.9
Italy,,,,2024-08-03 00:00:00+00:00,,,303.6,,720.6,282.5649,438.0618,,,C,IT,1493.35,3960.53,37.7
Lithuania,,,,2024-08-03 00:00:00+00:00,,,24.4,,120.6,27.391,93.2301,,,C,LT,877.02,1124.55,78.0
Netherlands,,,,2024-08-03 00:00:00+00:00,,,423.9,,860.3,769.0183,0.0,,,C,NL,2610.31,4851.94,53.8
Poland,,,,2024-08-03 00:00:00+00:00,,,191.1,,220.0,191.1267,28.8366,,,C,PL,1280.78,2132.97,60.0
Portugal,,,,2024-08-03 00:00:00+00:00,,,112.2,,200.0,200.0,0.0,,,C,PT,1064.28,2666.0,39.9
EU,eu,eu,2025-12-08 09:50:35,2024-08-03 00:00:00+00:00,2024-08-04,"{'lng': '4368.48', 'gwh': '28866.25'}",2352.5,,7288.4,3756.2462,1121.1005,-,[],C,,,,
Belgium,,,,2024-08-04 00:00:00+00:00,,,111.7,,668.9,668.88,0.0,,,C,BE,1627.05,3773.76,43.1
Germany,,,,2024-08-04 00:00:00+00:00,,,62.2,,434.7,281.5092,153.15,,,C,DE,900.58,3348.7,26.9
Spain,,,,2024-08-04 00:00:00+00:00,,,486.5,,2132.3,,,,,C,ES,12132.83,23297.79,52.1
EU,,,,2024-08-04 00:00:00+00:00,,,2472.1,,7288.4,3757.2962,1120.0711,,,C,EU,29170.15,59126.97,49.3
Finland,,,,2024-08-04 00:00:00+00:00,,,77.0,,140.0,80.0,60.0,,,C,FI,227.0,767.72,29.6
France,,,,2024-08-04 00:00:00+00:00,,,533.8,,1481.0,1003.7098,289.7753,,,C,FR,5731.74,9855.93,58.2
Greece,,,,2024-08-04 00:00:00+00:00,,,42.0,,224.6,166.5463,58.0467,,,C,GR,1041.74,1524.6,68.3
