name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2018-04-01 00:00:00+00:00,,,21.9,,472.1,,,,,C,BE,675.12,2557.73,26.4
Germany,,,,2018-04-01 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-04-01 00:00:00+00:00,,,291.8,,1910.7,,,,,C,ES,5658.67,22764.58,24.9
EU,,,,2018-04-01 00:00:00+00:00,,,1292.7,,6591.6,,,,,C,EU,18550.7,59841.56,31.0
Finland,,,,2018-04-01 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-04-01 00:00:00+00:00,,,324.8,,1252.7,,,,,C,FR,2449.9,9178.42,26.7
Greece,,,,2018-04-01 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,711.99,869.91,81.8
Croatia,,,,2018-04-01 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-04-01 00:00:00+00:00,,,182.7,,514.5,,,,,C,IT,1901.9,2772.28,68.6
Lithuania,,,,2018-04-01 00:00:00+00:00,,,38.8,,125.5,,,,,C,LT,458.89,1136.48,40.4
Netherlands,,,,2018-04-01 00:00:00+00:00,,,44.9,,461.0,,,,,C,NL,1180.28,3789.7,31.1
Poland,,,,2018-04-01 00:00:00+00:00,,,100.0,,162.8,,,,,C,PL,1305.37,2152.97,60.6
Portugal,,,,2018-04-01 00:00:00+00:00,,,139.6,,192.8,,,,,C,PT,1633.74,2651.95,61.6
EU,eu,eu,2025-10-01 14:04:45,2018-04-01 00:00:00+00:00,2018-04-02,"{'lng': '2732', 'gwh': '18550.7'}",1292.7,,6591.6,-,-,-,[],C,,,,
Belgium,,,,2018-04-02 00:00:00+00:00,,,22.0,,472.1,,,,,C,BE,652.47,2557.66,25.5
Germany,,,,2018-04-02 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-04-02 00:00:00+00:00,,,341.8,,1910.7,,,,,C,ES,5543.96,22760.28,24.4
EU,,,,2018-04-02 00:00:00+00:00,,,1229.7,,6591.6,,,,,C,EU,18385.38,59890.28,30.7
Finland,,,,2018-04-02 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-04-02 00:00:00+00:00,,,285.7,,1252.7,,,,,C,FR,2164.87,9182.83,23.6
Greece,,,,2018-04-02 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,711.78,869.9,81.8
Croatia,,,,2018-04-02 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-04-02 00:00:00+00:00,,,167.1,,514.5,,,,,C,IT,1731.13,2778.71,62.3
Lithuania,,,,2018-04-02 00:00:00+00:00,,,39.3,,125.5,,,,,C,LT,418.22,1136.5,36.8
Netherlands,,,,2018-04-02 00:00:00+00:00,,,52.0,,461.0,,,,,C,NL,1130.5,3796.46,29.8
Poland,,,,2018-04-02 00:00:00+00:00,,,100.0,,162.8,,,,,C,PL,1214.85,2153.51,56.4
Portugal,,,,2018-04-02 00:00:00+00:00,,,86.8,,192.8,,,,,C,PT,1494.28,2651.96,56.3
EU,eu,eu,2025-10-01 14:04:45,2018-04-02 00:00:00+00:00,2018-04-03,"{'lng': '2705.45', 'gwh': '18385.38'}",1229.7,,6591.6,-,-,-,[],C,,,,
Belgium,,,,2018-04-03 00:00:00+00:00,,,22.2,,472.1,,,,,C,BE,535.59,2557.76,20.9
Germany,,,,2018-04-03 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-04-03 00:00:00+00:00,,,379.3,,1910.7,,,,,C,ES,5091.69,22758.22,22.4
EU,,,,2018-04-03 00:00:00+00:00,,,1469.2,,6591.6,,,,,C,EU,18522.89,59806.57,31.0
Finland,,,,2018-04-03 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-04-03 00:00:00+00:00,,,259.1,,1252.7,,,,,C,FR,2765.37,9168.82,30.2
Greece,,,,2018-04-03 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,711.57,869.89,81.8
Croatia,,,,2018-04-03 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-04-03 00:00:00+00:00,,,276.0,,514.5,,,,,C,IT,1450.68,2788.05,52.0
Lithuania,,,,2018-04-03 00:00:00+00:00,,,39.1,,125.5,,,,,C,LT,377.1,1134.97,33.2
Netherlands,,,,2018-04-03 00:00:00+00:00,,,77.2,,461.0,,,,,C,NL,1077.33,3806.82,28.3
Poland,,,,2018-04-03 00:00:00+00:00,,,120.0,,162.8,,,,,C,PL,1119.36,2153.0,52.0
Portugal,,,,2018-04-03 00:00:00+00:00,,,115.1,,192.8,,,,,C,PT,1395.13,2651.95,52.6
EU,eu,eu,2025-10-01 14:04:45,2018-04-03 00:00:00+00:00,2018-04-04,"{'lng': '2729.5', 'gwh': '18522.89'}",1469.2,,6591.6,-,-,-,[],C,,,,
Belgium,,,,2018-04-04 00:00:00+00:00,,,21.9,,472.1,,,,,C,BE,511.02,2557.78,20.0
Germany,,,,2018-04-04 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-04-04 00:00:00+00:00,,,425.4,,1910.7,,,,,E,ES,5011.72,22758.65,22.0
EU,,,,2018-04-04 00:00:00+00:00,,,1609.4,,6591.6,,,,,E,EU,17179.31,59818.21,28.7
Finland,,,,2018-04-04 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-04-04 00:00:00+00:00,,,265.9,,1252.7,,,,,C,FR,2507.13,9169.65,27.3
Greece,,,,2018-04-04 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,710.8,869.85,81.7
Croatia,,,,2018-04-04 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-04-04 00:00:00+00:00,,,346.0,,514.5,,,,,C,IT,1100.16,2798.79,39.3
Lithuania,,,,2018-04-04 00:00:00+00:00,,,35.8,,125.5,,,,,C,LT,336.97,1135.72,29.7
Netherlands,,,,2018-04-04 00:00:00+00:00,,,107.1,,461.0,,,,,C,NL,921.0,3747.29,24.6
Poland,,,,2018-04-04 00:00:00+00:00,,,76.0,,162.8,,,,,C,PL,1034.84,2153.11,48.1
Portugal,,,,2018-04-04 00:00:00+00:00,,,109.3,,192.8,,,,,C,PT,1273.41,2651.95,48.0
EU,eu,eu,2025-10-01 14:04:45,2018-04-04 00:00:00+00:00,2018-04-05,"{'lng': '2531.02', 'gwh': '17179.31'}",1609.4,,6591.6,-,-,-,[],E,,,,
Belgium,,,,2018-04-05 00:00:00+00:00,,,22.2,,472.1,,,,,C,BE,486.82,2557.63,19.0
Germany,,,,2018-04-05 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-04-05 00:00:00+00:00,,,429.6,,1910.7,,,,,C,ES,6615.41,22770.64,29.1
EU,,,,2018-04-05 00:00:00+00:00,,,1687.0,,6591.6,,,,,C,EU,18050.11,59951.32,30.1
Finland,,,,2018-04-05 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-04-05 00:00:00+00:00,,,294.3,,1252.7,,,,,C,FR,2715.31,9163.85,29.6
Greece,,,,2018-04-05 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,710.12,869.84,81.6
Croatia,,,,2018-04-05 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-04-05 00:00:00+00:00,,,266.5,,514.5,,,,,C,IT,830.74,2820.59,29.5
Lithuania,,,,2018-04-05 00:00:00+00:00,,,34.4,,125.5,,,,,C,LT,300.03,1135.87,26.4
Netherlands,,,,2018-04-05 00:00:00+00:00,,,135.6,,461.0,,,,,C,NL,812.5,3761.25,21.6
Poland,,,,2018-04-05 00:00:00+00:00,,,102.0,,162.8,,,,,C,PL,921.83,2152.71,42.8
Portugal,,,,2018-04-05 00:00:00+00:00,,,131.5,,192.8,,,,,C,PT,1161.97,2651.97,43.8
EU,eu,eu,2025-10-01 14:04:45,2018-04-05 00:00:00+00:00,2018-04-06,"{'lng': '2653.41', 'gwh': '18050.11'}",1687.0,,6591.6,-,-,-,[],C,,,,
Belgium,,,,2018-04-06 00:00:00+00:00,,,22.2,,472.1,,,,,C,BE,463.73,2557.68,18.1
Germany,,,,2018-04-06 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-04-06 00:00:00+00:00,,,416.4,,1910.7,,,,,E,ES,6907.42,22799.27,30.3
EU,,,,2018-04-06 00:00:00+00:00,,,1507.7,,6591.6,,,,,E,EU,17686.2,59957.19,29.5
Finland,,,,2018-04-06 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-04-06 00:00:00+00:00,,,218.8,,1252.7,,,,,C,FR,2468.99,9167.21,26.9
Greece,,,,2018-04-06 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,709.7,869.81,81.6
Croatia,,,,2018-04-06 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-04-06 00:00:00+00:00,,,271.9,,514.5,,,,,C,IT,1057.64,2788.77,37.9
Lithuania,,,,2018-04-06 00:00:00+00:00,,,34.3,,125.5,,,,,C,LT,265.29,1136.17,23.3
Netherlands,,,,2018-04-06 00:00:00+00:00,,,128.3,,461.0,,,,,C,NL,677.75,3782.01,17.9
Poland,,,,2018-04-06 00:00:00+00:00,,,136.0,,162.8,,,,,C,PL,799.8,2152.89,37.2
Portugal,,,,2018-04-06 00:00:00+00:00,,,99.6,,192.8,,,,,C,PT,1024.71,2652.05,38.6
EU,eu,eu,2025-10-01 14:04:45,2018-04-06 00:00:00+00:00,2018-04-07,"{'lng': '2599.66', 'gwh': '17686.2'}",1507.7,,6591.6,-,-,-,[],E,,,,
Belgium,,,,2018-04-07 00:00:00+00:00,,,26.5,,472.1,,,,,C,BE,433.0,2557.69,16.9
Germany,,,,2018-04-07 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2018-04-07 00:00:00+00:00,,,390.9,,1910.7,,,,,E,ES,7382.4,22830.17,32.3
EU,,,,2018-04-07 00:00:00+00:00,,,1089.8,,6591.6,,,,,E,EU,17628.84,59998.37,29.4
Finland,,,,2018-04-07 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2018-04-07 00:00:00+00:00,,,68.3,,1252.7,,,,,C,FR,2251.29,9170.09,24.6
Greece,,,,2018-04-07 00:00:00+00:00,,,0.0,,205.5,,,,,C,GR,709.3,869.81,81.5
Croatia,,,,2018-04-07 00:00:00+00:00,,,,,,,,,,N,HR,,,
Italy,,,,2018-04-07 00:00:00+00:00,,,174.9,,514.5,,,,,C,IT,1300.8,2773.53,46.9
Lithuania,,,,2018-04-07 00:00:00+00:00,,,29.6,,125.5,,,,,C,LT,230.64,1137.0,20.3
