date,country,value_GWh
2024-12-01 22:00:00+00:00,BG,1207.79552
2024-12-01 22:00:00+00:00,GR,1539.66
2024-12-01 22:00:00+00:00,LT,0.35438
2024-12-01 22:00:00+00:00,LV,4.494
2024-12-01 22:00:00+00:00,RO,1841.3
2024-12-01 22:00:00+00:00,SI,2.6
2024-12-01 23:00:00+00:00,AT,1521.7268
2024-12-01 23:00:00+00:00,CH,3871.50103
2024-12-01 23:00:00+00:00,ES,9730.33
2024-12-01 23:00:00+00:00,FI,3333.3
2024-12-01 23:00:00+00:00,FR,2727.543
2024-12-01 23:00:00+00:00,HR,468.1
2024-12-01 23:00:00+00:00,IT,3065.534
2024-12-01 23:00:00+00:00,ME,174.671
2024-12-01 23:00:00+00:00,MK,69.227
2024-12-01 23:00:00+00:00,NO,71762.729
2024-12-01 23:00:00+00:00,RS,455.0
2024-12-01 23:00:00+00:00,SE,28231.0
2024-12-02 00:00:00+00:00,PT,1894.357
2024-12-08 22:00:00+00:00,BG,1238.22969
2024-12-08 22:00:00+00:00,GR,1706.993
2024-12-08 22:00:00+00:00,LT,0.35438
2024-12-08 22:00:00+00:00,LV,4.38
2024-12-08 22:00:00+00:00,RO,1821.1
2024-12-08 22:00:00+00:00,SI,2.6
2024-12-08 23:00:00+00:00,AT,1421.20866
2024-12-08 23:00:00+00:00,CH,3270.63639
2024-12-08 23:00:00+00:00,ES,9698.531
2024-12-08 23:00:00+00:00,FI,3303.24
2024-12-08 23:00:00+00:00,FR,2538.814
2024-12-08 23:00:00+00:00,HR,460.29
2024-12-08 23:00:00+00:00,IT,3008.514
2024-12-08 23:00:00+00:00,ME,179.646
2024-12-08 23:00:00+00:00,MK,66.445
2024-12-08 23:00:00+00:00,NO,69706.748
2024-12-08 23:00:00+00:00,RS,447.0
2024-12-08 23:00:00+00:00,SE,27717.0
2024-12-09 00:00:00+00:00,PT,1873.914
2024-12-15 22:00:00+00:00,BG,1249.54424
2024-12-15 22:00:00+00:00,GR,1798.39
2024-12-15 22:00:00+00:00,LT,0.35438
2024-12-15 22:00:00+00:00,LV,4.886
2024-12-15 22:00:00+00:00,RO,1790.4
2024-12-15 22:00:00+00:00,SI,2.6
2024-12-15 23:00:00+00:00,AT,1339.48204
2024-12-15 23:00:00+00:00,CH,2923.23556
2024-12-15 23:00:00+00:00,ES,9636.341
2024-12-15 23:00:00+00:00,FI,3266.26
2024-12-15 23:00:00+00:00,FR,2548.29
2024-12-15 23:00:00+00:00,HR,475.74
2024-12-15 23:00:00+00:00,IT,3021.003
2024-12-15 23:00:00+00:00,ME,167.607
2024-12-15 23:00:00+00:00,MK,62.02
2024-12-15 23:00:00+00:00,NO,69364.028
2024-12-15 23:00:00+00:00,RS,437.0
2024-12-15 23:00:00+00:00,SE,27095.0
2024-12-16 00:00:00+00:00,PT,1876.729
2024-12-22 22:00:00+00:00,BG,1291.8668899999998
2024-12-22 22:00:00+00:00,GR,1875.83
2024-12-22 22:00:00+00:00,LT,0.35438
2024-12-22 22:00:00+00:00,LV,4.64
2024-12-22 22:00:00+00:00,RO,1779.5
2024-12-22 22:00:00+00:00,SI,2.6
2024-12-22 23:00:00+00:00,AT,1328.91901
2024-12-22 23:00:00+00:00,CH,2839.96579
2024-12-22 23:00:00+00:00,ES,9677.224
2024-12-22 23:00:00+00:00,FI,3248.0
2024-12-22 23:00:00+00:00,FR,2379.059
2024-12-22 23:00:00+00:00,HR,487.87
2024-12-22 23:00:00+00:00,IT,2999.752
2024-12-22 23:00:00+00:00,ME,157.841
2024-12-22 23:00:00+00:00,MK,59.522
2024-12-22 23:00:00+00:00,NO,69166.498
2024-12-22 23:00:00+00:00,RS,449.0
2024-12-22 23:00:00+00:00,SE,26839.0
2024-12-23 00:00:00+00:00,PT,1905.186
2024-12-29 22:00:00+00:00,BG,1293.29984
2024-12-29 22:00:00+00:00,GR,1901.851
2024-12-29 22:00:00+00:00,LT,0.35438
2024-12-29 22:00:00+00:00,LV,5.301
2024-12-29 22:00:00+00:00,RO,1764.6
2024-12-29 22:00:00+00:00,SI,2.6
2024-12-29 23:00:00+00:00,AL,468.0
2024-12-29 23:00:00+00:00,AT,1268.05427
2024-12-29 23:00:00+00:00,CH,4659.0
2024-12-29 23:00:00+00:00,ES,9688.179
2024-12-29 23:00:00+00:00,FI,3185.12
2024-12-29 23:00:00+00:00,FR,2309.24
2024-12-29 23:00:00+00:00,HR,500.25
2024-12-29 23:00:00+00:00,IT,2941.986
2024-12-29 23:00:00+00:00,ME,143.653
2024-12-29 23:00:00+00:00,MK,49.246
2024-12-29 23:00:00+00:00,NO,67241.656
2024-12-29 23:00:00+00:00,RS,460.0
2024-12-29 23:00:00+00:00,SE,26123.0
2024-12-30 00:00:00+00:00,PT,1872.486
