date,country,value_GWh
2024-05-05 22:00:00+00:00,BG,1752.8071100000002
2024-05-05 22:00:00+00:00,GR,2742.803
2024-05-05 22:00:00+00:00,LT,0.35438
2024-05-05 22:00:00+00:00,LV,3.397
2024-05-05 22:00:00+00:00,RO,2422.7
2024-05-05 22:00:00+00:00,SI,2.6
2024-05-05 23:00:00+00:00,AL,1496.0
2024-05-05 23:00:00+00:00,AT,350.51091
2024-05-05 23:00:00+00:00,CH,795.92826
2024-05-05 23:00:00+00:00,ES,14057.234
2024-05-05 23:00:00+00:00,FI,2778.38
2024-05-05 23:00:00+00:00,FR,1667.564
2024-05-05 23:00:00+00:00,HR,864.44
2024-05-05 23:00:00+00:00,IT,2160.93
2024-05-05 23:00:00+00:00,ME,379.683
2024-05-05 23:00:00+00:00,MK,339.038
2024-05-05 23:00:00+00:00,NO,27652.536
2024-05-05 23:00:00+00:00,RS,516.0
2024-05-05 23:00:00+00:00,SE,8370.0
2024-05-06 00:00:00+00:00,PT,2949.257
2024-05-12 22:00:00+00:00,BG,1780.90857
2024-05-12 22:00:00+00:00,GR,2734.431
2024-05-12 22:00:00+00:00,LT,0.35438
2024-05-12 22:00:00+00:00,LV,3.136
2024-05-12 22:00:00+00:00,RO,2439.6
2024-05-12 23:00:00+00:00,AL,1498.0
2024-05-12 23:00:00+00:00,AT,421.14426
2024-05-12 23:00:00+00:00,CH,1123.03754
2024-05-12 23:00:00+00:00,ES,14104.146
2024-05-12 23:00:00+00:00,FI,3533.74
2024-05-12 23:00:00+00:00,FR,1838.64
2024-05-12 23:00:00+00:00,HR,849.47
2024-05-12 23:00:00+00:00,IT,2330.995
2024-05-12 23:00:00+00:00,ME,378.788
2024-05-12 23:00:00+00:00,MK,356.585
2024-05-12 23:00:00+00:00,NO,34719.013
2024-05-12 23:00:00+00:00,RS,523.0
2024-05-12 23:00:00+00:00,SE,12518.0
2024-05-13 00:00:00+00:00,PT,2939.843
2024-05-19 22:00:00+00:00,BG,1820.70203
2024-05-19 22:00:00+00:00,GR,2720.68
2024-05-19 22:00:00+00:00,LT,0.35438
2024-05-19 22:00:00+00:00,LV,2.559
2024-05-19 22:00:00+00:00,RO,2454.9
2024-05-19 22:00:00+00:00,SI,2.6
2024-05-19 23:00:00+00:00,AL,1516.0
2024-05-19 23:00:00+00:00,AT,482.57839
2024-05-19 23:00:00+00:00,CH,1267.97554
2024-05-19 23:00:00+00:00,ES,14164.368
2024-05-19 23:00:00+00:00,FI,4012.86
2024-05-19 23:00:00+00:00,FR,2010.012
2024-05-19 23:00:00+00:00,HR,843.59
2024-05-19 23:00:00+00:00,IT,2450.927
2024-05-19 23:00:00+00:00,ME,381.588
2024-05-19 23:00:00+00:00,MK,374.633
2024-05-19 23:00:00+00:00,NO,41896.847
2024-05-19 23:00:00+00:00,RS,524.0
2024-05-19 23:00:00+00:00,SE,15679.0
2024-05-20 00:00:00+00:00,PT,2887.971
2024-05-26 22:00:00+00:00,BG,1824.56721
2024-05-26 22:00:00+00:00,GR,2698.523
2024-05-26 22:00:00+00:00,LT,0.35438
2024-05-26 22:00:00+00:00,LV,2.557
2024-05-26 22:00:00+00:00,RO,2462.7
2024-05-26 22:00:00+00:00,SI,2.6
2024-05-26 23:00:00+00:00,AL,1508.0
2024-05-26 23:00:00+00:00,AT,567.3644
2024-05-26 23:00:00+00:00,CH,1402.92666
2024-05-26 23:00:00+00:00,ES,14183.848
2024-05-26 23:00:00+00:00,FI,4112.22
2024-05-26 23:00:00+00:00,FR,2230.715
2024-05-26 23:00:00+00:00,HR,840.74
2024-05-26 23:00:00+00:00,IT,2561.825
2024-05-26 23:00:00+00:00,ME,393.379
2024-05-26 23:00:00+00:00,MK,384.662
2024-05-26 23:00:00+00:00,NO,49539.577
2024-05-26 23:00:00+00:00,RS,535.0
2024-05-26 23:00:00+00:00,SE,18308.0
2024-05-27 00:00:00+00:00,PT,2856.429
