date,country,value_GWh
2025-08-03 21:00:00+00:00,LT,0.35438
2025-08-03 22:00:00+00:00,BG,1410.09392
2025-08-03 22:00:00+00:00,GR,1727.781
2025-08-03 22:00:00+00:00,LV,3.034
2025-08-03 22:00:00+00:00,RO,2610.4
2025-08-03 23:00:00+00:00,AL,577.0
2025-08-03 23:00:00+00:00,AT,1731.89024
2025-08-03 23:00:00+00:00,CH,5984.0
2025-08-03 23:00:00+00:00,ES,12833.768
2025-08-03 23:00:00+00:00,FI,3476.89
2025-08-03 23:00:00+00:00,FR,2524.656
2025-08-03 23:00:00+00:00,HR,646.54
2025-08-03 23:00:00+00:00,IT,3163.979
2025-08-03 23:00:00+00:00,ME,326.002
2025-08-03 23:00:00+00:00,MK,230.031
2025-08-03 23:00:00+00:00,NO,66325.876
2025-08-03 23:00:00+00:00,RS,448.0
2025-08-03 23:00:00+00:00,SE,28486.0
2025-08-03 23:00:00+00:00,SI,2.6
2025-08-04 00:00:00+00:00,PT,2549.371
2025-08-10 21:00:00+00:00,LT,0.35438
2025-08-10 22:00:00+00:00,BG,1362.52941
2025-08-10 22:00:00+00:00,GR,1668.663
2025-08-10 22:00:00+00:00,LV,2.884
2025-08-10 22:00:00+00:00,RO,2593.9
2025-08-10 23:00:00+00:00,AL,502.0
2025-08-10 23:00:00+00:00,AT,1732.4408600000002
2025-08-10 23:00:00+00:00,CH,6260.0
2025-08-10 23:00:00+00:00,ES,12401.711
2025-08-10 23:00:00+00:00,FI,3445.67
2025-08-10 23:00:00+00:00,FR,2463.081
2025-08-10 23:00:00+00:00,HR,608.17
2025-08-10 23:00:00+00:00,IT,3102.241
2025-08-10 23:00:00+00:00,ME,308.367
2025-08-10 23:00:00+00:00,MK,219.82
2025-08-10 23:00:00+00:00,NO,66919.767
2025-08-10 23:00:00+00:00,RS,452.0
2025-08-10 23:00:00+00:00,SE,28516.0
2025-08-10 23:00:00+00:00,SI,2.6
2025-08-11 00:00:00+00:00,PT,2477.629
2025-08-17 21:00:00+00:00,LT,0.35438
2025-08-17 22:00:00+00:00,BG,1328.69747
2025-08-17 22:00:00+00:00,GR,1605.984
2025-08-17 22:00:00+00:00,LV,3.909
2025-08-17 22:00:00+00:00,RO,2574.8
2025-08-17 23:00:00+00:00,AL,463.0
2025-08-17 23:00:00+00:00,AT,1731.9651
2025-08-17 23:00:00+00:00,CH,6568.0
2025-08-17 23:00:00+00:00,ES,12013.157
2025-08-17 23:00:00+00:00,FI,3344.61
2025-08-17 23:00:00+00:00,FR,2422.954
2025-08-17 23:00:00+00:00,HR,564.36
2025-08-17 23:00:00+00:00,IT,3058.194
2025-08-17 23:00:00+00:00,ME,299.286
2025-08-17 23:00:00+00:00,MK,209.612
2025-08-17 23:00:00+00:00,NO,66317.101
2025-08-17 23:00:00+00:00,RS,446.0
2025-08-17 23:00:00+00:00,SE,28355.0
2025-08-17 23:00:00+00:00,SI,2.6
2025-08-18 00:00:00+00:00,PT,2415.457
2025-08-24 21:00:00+00:00,LT,0.35438
2025-08-24 22:00:00+00:00,BG,1293.59071
2025-08-24 22:00:00+00:00,GR,1551.821
2025-08-24 22:00:00+00:00,LV,3.782
2025-08-24 22:00:00+00:00,RO,2530.5
2025-08-24 23:00:00+00:00,AL,451.0
2025-08-24 23:00:00+00:00,AT,1757.16023
2025-08-24 23:00:00+00:00,CH,6781.0
2025-08-24 23:00:00+00:00,ES,11731.767
2025-08-24 23:00:00+00:00,FI,3287.07
2025-08-24 23:00:00+00:00,FR,2433.162
2025-08-24 23:00:00+00:00,HR,529.81
2025-08-24 23:00:00+00:00,IT,3112.73
2025-08-24 23:00:00+00:00,ME,287.186
2025-08-24 23:00:00+00:00,MK,201.89
2025-08-24 23:00:00+00:00,NO,65200.226
2025-08-24 23:00:00+00:00,RS,439.0
2025-08-24 23:00:00+00:00,SE,27657.0
2025-08-24 23:00:00+00:00,SI,2.6
2025-08-25 00:00:00+00:00,PT,2347.543
2025-08-31 21:00:00+00:00,LT,0.35438
2025-08-31 22:00:00+00:00,BG,1266.12188
2025-08-31 22:00:00+00:00,GR,1497.994
2025-08-31 22:00:00+00:00,LV,4.869
2025-08-31 22:00:00+00:00,RO,2245.7
2025-08-31 23:00:00+00:00,AL,433.0
2025-08-31 23:00:00+00:00,AT,1772.06844
2025-08-31 23:00:00+00:00,CH,7086.0
2025-08-31 23:00:00+00:00,ES,11444.189
2025-08-31 23:00:00+00:00,FI,3260.1
2025-08-31 23:00:00+00:00,FR,2460.687
2025-08-31 23:00:00+00:00,HR,490.68
2025-08-31 23:00:00+00:00,IT,3093.76
2025-08-31 23:00:00+00:00,ME,268.88
2025-08-31 23:00:00+00:00,MK,195.572
2025-08-31 23:00:00+00:00,NO,67338.565
2025-08-31 23:00:00+00:00,RS,434.0
2025-08-31 23:00:00+00:00,SE,27329.0
2025-08-31 23:00:00+00:00,SI,2.6
