name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info,country_code
Austria,AT,AT,2022-11-25 23:10:40,2017-05-01 00:00:00+00:00,2017-05-02,17.0906,91.0,18.78,295.79,21.7,-274.1,91.7617,832.54,1047.23,-,-,-,C,0.3,18.62,,AT
Austria,AT,AT,2022-11-25 23:10:40,2017-05-02 00:00:00+00:00,2017-05-03,17.1224,91.0,18.82,129.07,97.3,-31.8,91.7617,832.54,1047.23,-,-,-,C,0.03,18.66,,AT
Austria,AT,AT,2022-11-25 23:10:40,2017-05-03 00:00:00+00:00,2017-05-04,17.1841,91.0,18.88,167.32,116.1,-51.3,91.7617,832.54,1047.23,-,-,-,C,0.07,18.73,,AT
Austria,AT,AT,2022-11-25 23:10:40,2017-05-04 00:00:00+00:00,2017-05-05,17.296,91.0,19.01,160.46,48.6,-111.9,91.7617,832.54,1047.23,-,-,-,C,0.12,18.85,,AT
Austria,AT,AT,2022-11-25 23:10:41,2017-05-05 00:00:00+00:00,2017-05-06,17.3956,91.0,19.12,151.46,51.8,-99.6,91.7617,832.54,1047.23,-,-,-,C,0.11,18.96,,AT
Austria,AT,AT,2022-11-25 23:10:41,2017-05-06 00:00:00+00:00,2017-05-07,17.5843,91.0,19.32,218.29,29.6,-188.7,91.7617,832.54,1047.23,-,-,-,C,0.21,19.16,,AT
Austria,AT,AT,2022-11-25 23:10:41,2017-05-07 00:00:00+00:00,2017-05-08,17.8519,91.0,19.62,290.23,22.6,-267.6,91.7617,832.54,1047.23,-,-,-,C,0.29,19.45,,AT
Austria,AT,AT,2022-11-25 23:10:42,2017-05-08 00:00:00+00:00,2017-05-09,17.92,91.0,19.69,98.93,32.5,-66.4,91.7617,832.54,1047.23,-,-,-,C,0.07,19.53,,AT
Austria,AT,AT,2022-11-25 23:10:42,2017-05-09 00:00:00+00:00,2017-05-10,17.8729,91.0,19.64,59.27,106.4,47.1,91.7617,832.54,1047.23,-,-,-,C,-0.05,19.48,,AT
Austria,AT,AT,2022-11-25 23:10:42,2017-05-10 00:00:00+00:00,2017-05-11,17.8408,91.0,19.61,65.21,97.2,32.0,91.7617,832.54,1047.23,-,-,-,C,-0.03,19.44,,AT
Austria,AT,AT,2022-11-25 23:10:42,2017-05-11 00:00:00+00:00,2017-05-12,17.897,91.0,19.67,134.65,78.5,-56.2,91.7617,832.54,1047.23,-,-,-,C,0.06,19.5,,AT
Austria,AT,AT,2022-11-25 23:10:43,2017-05-12 00:00:00+00:00,2017-05-13,18.0711,91.0,19.86,248.21,74.1,-174.1,91.7617,832.54,1047.23,-,-,-,C,0.19,19.69,,AT
Austria,AT,AT,2022-11-25 23:10:43,2017-05-13 00:00:00+00:00,2017-05-14,18.3613,91.0,20.18,321.57,31.3,-290.2,91.7617,832.54,1047.23,-,-,-,C,0.32,20.01,,AT
Austria,AT,AT,2022-11-25 23:10:43,2017-05-14 00:00:00+00:00,2017-05-15,18.6722,91.0,20.52,339.12,28.2,-310.9,91.7617,832.54,1047.23,-,-,-,C,0.34,20.35,,AT
Austria,AT,AT,2022-11-25 23:10:44,2017-05-15 00:00:00+00:00,2017-05-16,18.9065,91.0,20.78,257.34,23.0,-234.4,91.7617,832.54,1047.23,-,-,-,C,0.26,20.6,,AT
Austria,AT,AT,2022-11-25 23:10:44,2017-05-16 00:00:00+00:00,2017-05-17,19.2435,91.0,21.15,359.04,22.1,-337.0,91.7617,832.54,1047.23,-,-,-,C,0.37,20.97,,AT
Austria,AT,AT,2022-11-25 23:10:44,2017-05-17 00:00:00+00:00,2017-05-18,19.5548,91.0,21.49,330.94,19.6,-311.3,91.7617,832.54,1047.23,-,-,-,C,0.34,21.31,,AT
Austria,AT,AT,2022-11-25 23:10:44,2017-05-18 00:00:00+00:00,2017-05-19,19.9161,91.0,21.89,393.14,31.9,-361.3,91.7617,832.54,1047.23,-,-,-,C,0.39,21.7,,AT
Austria,AT,AT,2022-11-25 23:10:45,2017-05-19 00:00:00+00:00,2017-05-20,20.2529,91.0,22.26,357.49,20.7,-336.8,91.7617,832.54,1047.23,-,-,-,C,0.37,22.07,,AT
Austria,AT,AT,2022-11-25 23:10:45,2017-05-20 00:00:00+00:00,2017-05-21,20.6364,91.0,22.68,423.48,40.0,-383.5,91.7617,832.54,1047.23,-,-,-,C,0.42,22.49,,AT
Austria,AT,AT,2022-11-25 23:10:45,2017-05-21 00:00:00+00:00,2017-05-22,21.028,91.0,23.11,414.76,23.1,-391.6,91.7617,832.54,1047.23,-,-,-,C,0.43,22.92,,AT
Austria,AT,AT,2022-11-25 23:10:45,2017-05-22 00:00:00+00:00,2017-05-23,21.3412,91.0,23.45,372.45,59.3,-313.2,91.7617,832.54,1047.23,-,-,-,C,0.34,23.26,,AT
Austria,AT,AT,2022-11-25 23:10:46,2017-05-23 00:00:00+00:00,2017-05-24,21.6827,91.0,23.83,394.35,52.8,-341.6,91.7617,832.54,1047.23,-,-,-,C,0.37,23.63,,AT
Austria,AT,AT,2022-11-25 23:10:46,2017-05-24 00:00:00+00:00,2017-05-25,22.0213,91.0,24.2,404.72,66.1,-338.6,91.7617,832.54,1047.23,-,-,-,C,0.37,24.0,,AT
Austria,AT,AT,2022-11-25 23:10:46,2017-05-25 00:00:00+00:00,2017-05-26,22.391,91.0,24.61,394.65,24.9,-369.7,91.7617,832.54,1047.23,-,-,-,C,0.4,24.4,,AT
Austria,AT,AT,2022-11-25 23:10:46,2017-05-26 00:00:00+00:00,2017-05-27,22.8044,91.0,25.06,426.61,13.2,-413.4,91.7617,832.54,1047.23,-,-,-,C,0.45,24.85,,AT
Austria,AT,AT,2022-11-25 23:10:47,2017-05-27 00:00:00+00:00,2017-05-28,23.1874,91.0,25.48,398.09,15.1,-383.0,91.7617,832.54,1047.23,-,-,-,C,0.42,25.27,,AT
Austria,AT,AT,2022-11-25 23:10:47,2017-05-28 00:00:00+00:00,2017-05-29,23.5708,91.0,25.9,395.36,12.0,-383.4,91.7617,832.54,1047.23,-,-,-,C,0.42,25.69,,AT
Austria,AT,AT,2022-11-25 23:10:47,2017-05-29 00:00:00+00:00,2017-05-30,23.9111,91.0,26.28,366.89,26.7,-340.2,91.7617,832.54,1047.23,-,-,-,C,0.37,26.06,,AT
Austria,AT,AT,2022-11-25 23:10:47,2017-05-30 00:00:00+00:00,2017-05-31,24.274,91.0,26.67,419.53,56.6,-362.9,91.7617,832.54,1047.23,-,-,-,C,0.4,26.45,,AT
Austria,AT,AT,2022-11-25 23:10:48,2017-05-31 00:00:00+00:00,2017-06-01,24.6732,91.0,27.11,445.78,46.5,-399.3,91.7617,832.54,1047.23,-,-,-,C,0.44,26.89,,AT
Belgium,BE,BE,2017-05-02 00:00:00,2017-05-01 00:00:00+00:00,2017-05-02,1.7905,164.0,1.09,33.28,0.0,-33.3,9.0013,88.14,169.5,-,-,-,C,0.37,19.89,,BE
Belgium,BE,BE,2017-05-03 00:00:00,2017-05-02 00:00:00+00:00,2017-05-03,1.7809,164.0,1.09,0.0,9.6,9.6,9.0013,88.14,169.5,-,-,-,C,-0.11,19.78,,BE
Belgium,BE,BE,2017-05-04 00:00:00,2017-05-03 00:00:00+00:00,2017-05-04,1.8033,164.0,1.1,22.35,0.0,-22.4,9.0013,88.14,169.5,-,-,-,C,0.25,20.03,,BE
Belgium,BE,BE,2017-05-05 00:00:00,2017-05-04 00:00:00+00:00,2017-05-05,1.834,164.0,1.12,30.73,0.0,-30.7,9.0013,88.14,169.5,-,-,-,C,0.34,20.37,,BE
Belgium,BE,BE,2017-05-06 00:00:00,2017-05-05 00:00:00+00:00,2017-05-06,1.8628,164.0,1.14,28.8,0.0,-28.8,9.0013,88.14,169.5,-,-,-,C,0.32,20.69,,BE
Belgium,BE,BE,2017-05-07 00:00:00,2017-05-06 00:00:00+00:00,2017-05-07,1.8883,164.0,1.15,25.55,0.0,-25.5,9.0013,88.14,169.5,-,-,-,C,0.28,20.98,,BE
Belgium,BE,BE,2017-05-08 00:00:00,2017-05-07 00:00:00+00:00,2017-05-08,1.9111,164.0,1.17,22.76,0.0,-22.8,9.0013,88.14,169.5,-,-,-,C,0.25,21.23,,BE
Belgium,BE,BE,2017-05-09 00:00:00,2017-05-08 00:00:00+00:00,2017-05-09,1.9304,164.0,1.18,19.3,0.0,-19.3,9.0013,88.14,169.5,-,-,-,C,0.21,21.45,,BE
Belgium,BE,BE,2017-05-10 00:00:00,2017-05-09 00:00:00+00:00,2017-05-10,1.9574,164.0,1.19,27.02,0.0,-27.0,9.0013,88.14,169.5,-,-,-,C,0.3,21.75,,BE
Belgium,BE,BE,2017-05-11 00:00:00,2017-05-10 00:00:00+00:00,2017-05-11,1.9837,164.0,1.21,26.33,0.0,-26.3,9.0013,88.14,169.5,-,-,-,C,0.29,22.04,,BE
Belgium,BE,BE,2017-05-12 00:00:00,2017-05-11 00:00:00+00:00,2017-05-12,2.0158,164.0,1.23,32.1,0.0,-32.1,9.0013,88.14,169.5,-,-,-,C,0.36,22.39,,BE
Belgium,BE,BE,2017-05-13 00:00:00,2017-05-12 00:00:00+00:00,2017-05-13,2.0403,164.0,1.24,24.48,0.0,-24.5,9.0013,88.14,169.5,-,-,-,C,0.27,22.67,,BE
Belgium,BE,BE,2017-05-14 00:00:00,2017-05-13 00:00:00+00:00,2017-05-14,2.0653,164.0,1.26,24.99,0.0,-25.0,9.0013,88.14,169.5,-,-,-,C,0.28,22.94,,BE
Belgium,BE,BE,2017-05-15 00:00:00,2017-05-14 00:00:00+00:00,2017-05-15,2.0897,164.0,1.27,24.41,0.0,-24.4,9.0013,88.14,169.5,-,-,-,C,0.27,23.22,,BE
Belgium,BE,BE,2017-05-16 00:00:00,2017-05-15 00:00:00+00:00,2017-05-16,2.1173,164.0,1.29,27.53,0.0,-27.5,9.0013,88.14,169.5,-,-,-,C,0.31,23.52,,BE
Belgium,BE,BE,2017-05-17 00:00:00,2017-05-16 00:00:00+00:00,2017-05-17,2.1525,164.0,1.31,35.22,0.0,-35.2,9.0013,88.14,169.5,-,-,-,C,0.39,23.91,,BE
Belgium,BE,BE,2017-05-18 00:00:00,2017-05-17 00:00:00+00:00,2017-05-18,2.1802,164.0,1.33,27.76,0.0,-27.8,9.0013,88.14,169.5,-,-,-,C,0.31,24.22,,BE
Belgium,BE,BE,2017-05-19 00:00:00,2017-05-18 00:00:00+00:00,2017-05-19,2.2153,164.0,1.35,35.06,0.0,-35.1,9.0013,88.14,169.5,-,-,-,C,0.39,24.61,,BE
Belgium,BE,BE,2017-05-20 00:00:00,2017-05-19 00:00:00+00:00,2017-05-20,2.2477,164.0,1.37,32.4,0.0,-32.4,9.0013,88.14,169.5,-,-,-,C,0.36,24.97,,BE
Belgium,BE,BE,2017-05-21 00:00:00,2017-05-20 00:00:00+00:00,2017-05-21,2.2842,164.0,1.39,36.51,0.0,-36.5,9.0013,88.14,169.5,-,-,-,C,0.41,25.38,,BE
Belgium,BE,BE,2017-05-22 00:00:00,2017-05-21 00:00:00+00:00,2017-05-22,2.3257,164.0,1.42,41.44,0.0,-41.4,9.0013,88.14,169.5,-,-,-,C,0.46,25.84,,BE
Belgium,BE,BE,2017-05-23 00:00:00,2017-05-22 00:00:00+00:00,2017-05-23,2.3625,164.0,1.44,36.8,0.0,-36.8,9.0013,88.14,169.5,-,-,-,C,0.41,26.25,,BE
