name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info,country_code
Austria,AT,AT,2026-05-28 13:28:14,2015-04-01 00:00:00+00:00,2015-04-02,11.7828,80.0,14.73,4.74,138.6,133.8,72.275,666.94,853.99,-,-,-,C,-0.19,16.3,,AT
Austria,AT,AT,2026-05-28 13:28:17,2015-04-02 00:00:00+00:00,2015-04-03,11.5465,80.0,14.43,0.66,237.0,236.3,72.275,666.94,853.99,-,-,-,C,-0.33,15.98,,AT
Austria,AT,AT,2026-05-28 13:28:19,2015-04-03 00:00:00+00:00,2015-04-04,11.3583,80.0,14.2,4.19,192.4,188.2,72.275,666.94,853.99,-,-,-,C,-0.26,15.72,,AT
Austria,AT,AT,2026-05-28 13:28:21,2015-04-04 00:00:00+00:00,2015-04-05,11.2421,80.0,14.05,2.45,118.6,116.2,72.275,666.94,853.99,-,-,-,C,-0.16,15.55,,AT
Austria,AT,AT,2026-05-28 13:28:24,2015-04-05 00:00:00+00:00,2015-04-06,11.1361,80.0,13.92,2.38,108.4,106.0,72.275,666.94,853.99,-,-,-,C,-0.15,15.41,,AT
Austria,AT,AT,2026-05-28 13:28:27,2015-04-06 00:00:00+00:00,2015-04-07,11.0041,80.0,13.76,0.53,132.6,132.1,72.275,666.94,853.99,-,-,-,C,-0.18,15.23,,AT
Austria,AT,AT,2026-05-28 13:28:29,2015-04-07 00:00:00+00:00,2015-04-08,10.8258,80.0,13.53,0.43,178.7,178.3,72.275,666.94,853.99,-,-,-,C,-0.25,14.98,,AT
Austria,AT,AT,2026-05-28 13:28:32,2015-04-08 00:00:00+00:00,2015-04-09,10.6656,80.0,13.33,4.07,164.3,160.2,72.275,666.94,853.99,-,-,-,C,-0.22,14.76,,AT
Austria,AT,AT,2026-05-28 13:28:35,2015-04-09 00:00:00+00:00,2015-04-10,10.5736,80.0,13.22,2.85,94.8,91.9,72.275,666.94,853.99,-,-,-,C,-0.13,14.63,,AT
Austria,AT,AT,2026-05-28 13:28:37,2015-04-10 00:00:00+00:00,2015-04-11,10.4582,80.0,13.07,2.61,118.1,115.5,72.275,666.94,853.99,-,-,-,C,-0.16,14.47,,AT
