name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info,country_code
Austria,AT,AT,2022-11-25 23:11:26,2017-11-01 00:00:00+00:00,2017-11-02,80.7615,91.0,88.75,165.95,78.0,-88.0,91.7617,832.54,1047.23,-,-,-,C,0.1,88.01,,AT
Austria,AT,AT,2022-11-25 23:11:26,2017-11-02 00:00:00+00:00,2017-11-03,80.8252,91.0,88.82,148.22,84.5,-63.7,91.7617,832.54,1047.23,-,-,-,C,0.07,88.08,,AT
Austria,AT,AT,2022-11-25 23:11:27,2017-11-03 00:00:00+00:00,2017-11-04,80.889,91.0,88.89,136.78,73.0,-63.7,91.7617,832.54,1047.23,-,-,-,C,0.07,88.15,,AT
Austria,AT,AT,2022-11-25 23:11:27,2017-11-04 00:00:00+00:00,2017-11-05,80.9933,91.0,89.0,152.91,48.6,-104.3,91.7617,832.54,1047.23,-,-,-,C,0.11,88.26,,AT
Austria,AT,AT,2022-11-25 23:11:27,2017-11-05 00:00:00+00:00,2017-11-06,81.1085,91.0,89.13,177.21,62.0,-115.2,91.7617,832.54,1047.23,-,-,-,C,0.13,88.39,,AT
Austria,AT,AT,2022-11-25 23:11:27,2017-11-06 00:00:00+00:00,2017-11-07,81.0108,91.0,89.02,126.95,224.7,97.7,91.7617,832.54,1047.23,-,-,-,C,-0.11,88.28,,AT
Austria,AT,AT,2022-11-25 23:11:28,2017-11-07 00:00:00+00:00,2017-11-08,80.9511,91.0,88.96,91.72,151.4,59.7,91.7617,832.54,1047.23,-,-,-,C,-0.07,88.22,,AT
Austria,AT,AT,2022-11-25 23:11:28,2017-11-08 00:00:00+00:00,2017-11-09,80.9342,91.0,88.94,126.92,143.8,16.9,91.7617,832.54,1047.23,-,-,-,C,-0.02,88.2,,AT
Austria,AT,AT,2022-11-25 23:11:28,2017-11-09 00:00:00+00:00,2017-11-10,80.94,91.0,88.95,120.5,114.7,-5.8,91.7617,832.54,1047.23,-,-,-,C,0.01,88.21,,AT
Austria,AT,AT,2022-11-25 23:11:28,2017-11-10 00:00:00+00:00,2017-11-11,80.8825,91.0,88.88,101.21,158.7,57.4,91.7617,832.54,1047.23,-,-,-,C,-0.06,88.14,,AT
Austria,AT,AT,2022-11-25 23:11:28,2017-11-11 00:00:00+00:00,2017-11-12,80.9646,91.0,88.97,151.2,69.1,-82.1,91.7617,832.54,1047.23,-,-,-,C,0.09,88.23,,AT
Austria,AT,AT,2022-11-25 23:11:29,2017-11-12 00:00:00+00:00,2017-11-13,80.9818,91.0,88.99,120.33,103.2,-17.1,91.7617,832.54,1047.23,-,-,-,C,0.02,88.25,,AT
Austria,AT,AT,2022-11-25 23:11:29,2017-11-13 00:00:00+00:00,2017-11-14,80.8452,91.0,88.84,71.71,208.3,136.6,91.7617,832.54,1047.23,-,-,-,C,-0.15,88.1,,AT
Austria,AT,AT,2022-11-25 23:11:29,2017-11-14 00:00:00+00:00,2017-11-15,80.6047,91.0,88.58,50.62,291.2,240.5,91.7617,832.54,1047.23,-,-,-,C,-0.26,87.84,,AT
Austria,AT,AT,2022-11-25 23:11:29,2017-11-15 00:00:00+00:00,2017-11-16,80.2796,91.0,88.22,52.14,377.2,325.1,91.7617,832.54,1047.23,-,-,-,C,-0.35,87.49,,AT
Austria,AT,AT,2022-11-25 23:11:30,2017-11-16 00:00:00+00:00,2017-11-17,80.0096,91.0,87.92,93.55,363.6,270.0,91.9857,832.54,1047.23,-,-,-,C,-0.29,86.98,,AT
Austria,AT,AT,2022-11-25 23:11:30,2017-11-17 00:00:00+00:00,2017-11-18,79.8377,91.0,87.73,91.71,263.6,171.9,91.9857,832.54,1047.23,-,-,-,C,-0.19,86.79,,AT
Austria,AT,AT,2022-11-25 23:11:30,2017-11-18 00:00:00+00:00,2017-11-19,79.7798,91.0,87.67,77.74,135.6,57.9,91.9857,832.54,1047.23,-,-,-,C,-0.06,86.73,,AT
Austria,AT,AT,2022-11-25 23:11:30,2017-11-19 00:00:00+00:00,2017-11-20,79.7553,91.0,87.64,84.89,109.5,24.6,91.9857,832.54,1047.23,-,-,-,C,-0.03,86.7,,AT
Austria,AT,AT,2022-11-25 23:11:31,2017-11-20 00:00:00+00:00,2017-11-21,79.5376,91.0,87.4,44.54,261.4,216.9,91.9857,832.54,1047.23,-,-,-,C,-0.24,86.47,,AT
Austria,AT,AT,2022-11-25 23:11:31,2017-11-21 00:00:00+00:00,2017-11-22,79.2847,91.0,87.13,17.94,270.9,252.9,91.9857,832.54,1047.23,-,-,-,C,-0.27,86.19,,AT
Austria,AT,AT,2022-11-25 23:11:31,2017-11-22 00:00:00+00:00,2017-11-23,79.0336,91.0,86.85,22.79,273.9,251.2,91.9857,832.54,1047.23,-,-,-,C,-0.27,85.92,,AT
Austria,AT,AT,2022-11-25 23:11:31,2017-11-23 00:00:00+00:00,2017-11-24,78.754,91.0,86.54,24.23,303.8,279.6,91.9857,832.54,1047.23,-,-,-,C,-0.3,85.62,,AT
Austria,AT,AT,2022-11-25 23:11:31,2017-11-24 00:00:00+00:00,2017-11-25,78.4589,91.0,86.22,35.59,330.0,294.4,92.2185,832.54,1047.23,-,-,-,C,-0.32,85.08,,AT
Austria,AT,AT,2022-11-25 23:11:32,2017-11-25 00:00:00+00:00,2017-11-26,78.254,91.0,85.99,36.6,241.5,204.9,92.2185,832.54,1047.23,-,-,-,C,-0.22,84.86,,AT
Austria,AT,AT,2022-11-25 23:11:32,2017-11-26 00:00:00+00:00,2017-11-27,78.0787,91.0,85.8,32.85,208.2,175.3,92.2185,832.54,1047.23,-,-,-,C,-0.19,84.67,,AT
Austria,AT,AT,2022-11-25 23:11:32,2017-11-27 00:00:00+00:00,2017-11-28,77.4132,91.0,85.07,6.69,452.7,446.0,92.2185,832.54,1047.23,-,-,-,C,-0.72,83.95,,AT
Austria,AT,AT,2022-11-25 23:11:33,2017-11-28 00:00:00+00:00,2017-11-29,76.9359,91.0,84.54,3.33,480.7,477.3,92.2185,832.54,1047.23,-,-,-,C,-0.52,83.43,,AT
Austria,AT,AT,2022-11-25 23:11:33,2017-11-29 00:00:00+00:00,2017-11-30,76.3639,91.0,83.92,7.57,579.5,572.0,92.2185,832.54,1047.23,-,-,-,C,-0.62,82.81,,AT
Austria,AT,AT,2022-11-25 23:11:33,2017-11-30 00:00:00+00:00,2017-12-01,75.8054,91.0,83.3,0.25,557.9,557.6,92.2185,832.54,1050.05,-,-,-,C,-0.61,82.2,,AT
Belgium,BE,BE,2017-11-02 00:00:00,2017-11-01 00:00:00+00:00,2017-11-02,7.4904,164.0,4.57,5.84,0.0,-5.8,9.0013,88.14,169.5,-,-,-,C,0.06,83.21,,BE
Belgium,BE,BE,2017-11-03 00:00:00,2017-11-02 00:00:00+00:00,2017-11-03,7.4904,164.0,4.57,0.0,0.1,0.1,9.0013,88.14,169.5,-,-,-,C,0.0,83.21,,BE
Belgium,BE,BE,2017-11-04 00:00:00,2017-11-03 00:00:00+00:00,2017-11-04,7.5103,164.0,4.58,19.95,0.0,-20.0,9.0013,88.14,169.5,-,-,-,C,0.22,83.44,,BE
Belgium,BE,BE,2017-11-05 00:00:00,2017-11-04 00:00:00+00:00,2017-11-05,7.5199,164.0,4.59,9.59,0.0,-9.6,9.0013,88.14,169.5,-,-,-,C,0.11,83.54,,BE
Belgium,BE,BE,2017-11-06 00:00:00,2017-11-05 00:00:00+00:00,2017-11-06,7.5263,164.0,4.59,6.36,0.0,-6.4,9.0013,88.14,169.5,-,-,-,C,0.07,83.61,,BE
Belgium,BE,BE,2017-11-07 00:00:00,2017-11-06 00:00:00+00:00,2017-11-07,7.5041,164.0,4.58,0.0,22.2,22.2,9.0013,88.14,169.5,-,-,-,C,-0.25,83.37,,BE
Belgium,BE,BE,2017-11-08 00:00:00,2017-11-07 00:00:00+00:00,2017-11-08,7.4801,164.0,4.56,0.0,23.9,23.9,9.0013,88.14,169.5,-,-,-,C,-0.27,83.1,,BE
Belgium,BE,BE,2017-11-09 00:00:00,2017-11-08 00:00:00+00:00,2017-11-09,7.4345,164.0,4.53,0.0,45.6,45.6,9.0013,88.14,169.5,-,-,-,C,-0.51,82.59,,BE
Belgium,BE,BE,2017-11-10 00:00:00,2017-11-09 00:00:00+00:00,2017-11-10,7.4237,164.0,4.53,0.0,10.8,10.8,9.0013,88.14,169.5,-,-,-,C,-0.12,82.47,,BE
Belgium,BE,BE,2017-11-11 00:00:00,2017-11-10 00:00:00+00:00,2017-11-11,7.4327,164.0,4.53,8.97,0.0,-9.0,9.0013,88.14,169.5,-,-,-,C,0.1,82.57,,BE
Belgium,BE,BE,2017-11-11 00:00:00,2017-11-11 00:00:00+00:00,2017-11-12,7.4327,164.0,4.53,0.0,0.0,0.0,9.0013,88.14,169.5,-,-,-,E,0.0,82.57,,BE
Belgium,BE,BE,2017-11-13 00:00:00,2017-11-12 00:00:00+00:00,2017-11-13,7.4401,164.0,4.54,3.25,0.0,-3.3,9.0013,88.14,169.5,-,-,-,C,0.08,82.66,,BE
Belgium,BE,BE,2017-11-14 00:00:00,2017-11-13 00:00:00+00:00,2017-11-14,7.4288,164.0,4.53,0.0,11.4,11.4,9.0013,88.14,169.5,-,-,-,C,-0.13,82.53,,BE
Belgium,BE,BE,2017-11-15 00:00:00,2017-11-14 00:00:00+00:00,2017-11-15,7.4256,164.0,4.53,0.0,3.1,3.1,9.0013,88.14,169.5,-,-,-,C,-0.04,82.5,,BE
Belgium,BE,BE,2017-11-16 00:00:00,2017-11-15 00:00:00+00:00,2017-11-16,7.4208,164.0,4.52,0.0,4.9,4.9,9.0013,88.14,169.5,-,-,-,C,-0.05,82.44,,BE
Belgium,BE,BE,2017-11-17 00:00:00,2017-11-16 00:00:00+00:00,2017-11-17,7.4208,164.0,4.52,0.0,0.0,0.0,9.0013,88.14,169.5,-,-,-,C,0.0,82.44,,BE
Belgium,BE,BE,2017-11-18 00:00:00,2017-11-17 00:00:00+00:00,2017-11-18,7.4344,164.0,4.53,13.6,0.0,-13.6,9.0013,88.14,169.5,-,-,-,C,0.15,82.59,,BE
Belgium,BE,BE,2017-11-19 00:00:00,2017-11-18 00:00:00+00:00,2017-11-19,7.4431,164.0,4.54,8.72,0.0,-8.7,9.0013,88.14,169.5,-,-,-,C,0.1,82.69,,BE
Belgium,BE,BE,2017-11-20 00:00:00,2017-11-19 00:00:00+00:00,2017-11-20,7.4533,164.0,4.54,10.19,0.0,-10.2,9.0013,88.14,169.5,-,-,-,C,0.11,82.8,,BE
Belgium,BE,BE,2017-11-21 00:00:00,2017-11-20 00:00:00+00:00,2017-11-21,7.443,164.0,4.54,0.0,10.2,10.2,9.0013,88.14,169.5,-,-,-,C,-0.11,82.69,,BE
Belgium,BE,BE,2017-11-22 00:00:00,2017-11-21 00:00:00+00:00,2017-11-22,7.4442,164.0,4.54,1.12,0.0,-1.1,9.0013,88.14,169.5,-,-,-,C,0.01,82.7,,BE
Belgium,BE,BE,2017-11-23 00:00:00,2017-11-22 00:00:00+00:00,2017-11-23,7.4458,164.0,4.54,1.61,0.0,-1.6,9.0013,88.14,169.5,-,-,-,C,0.02,82.72,,BE
Belgium,BE,BE,2017-11-24 00:00:00,2017-11-23 00:00:00+00:00,2017-11-24,7.446,164.0,4.54,0.19,0.0,-0.2,9.0013,88.14,169.5,-,-,-,C,0.0,82.72,,BE
Belgium,BE,BE,2017-11-25 00:00:00,2017-11-24 00:00:00+00:00,2017-11-25,7.445,164.0,4.54,0.0,1.0,1.0,9.0013,88.14,169.5,-,-,-,C,-0.01,82.71,,BE
Belgium,BE,BE,2017-11-26 00:00:00,2017-11-25 00:00:00+00:00,2017-11-26,7.443,164.0,4.54,0.0,2.0,2.0,9.0013,88.14,169.5,-,-,-,C,-0.02,82.69,,BE
Belgium,BE,BE,2017-11-27 00:00:00,2017-11-26 00:00:00+00:00,2017-11-27,7.4259,164.0,4.53,0.0,17.1,17.1,9.0013,88.14,169.5,-,-,-,C,-0.19,82.5,,BE
Belgium,BE,BE,2017-11-28 00:00:00,2017-11-27 00:00:00+00:00,2017-11-28,7.3916,164.0,4.51,0.0,34.3,34.3,9.0013,88.14,169.5,-,-,-,C,-0.38,82.12,,BE
Belgium,BE,BE,2017-11-29 00:00:00,2017-11-28 00:00:00+00:00,2017-11-29,7.3723,164.0,4.5,0.0,19.3,19.3,9.0013,88.14,169.5,-,-,-,C,-0.21,81.9,,BE
Belgium,BE,BE,2017-11-30 00:00:00,2017-11-29 00:00:00+00:00,2017-11-30,7.2776,164.0,4.44,0.0,94.7,94.7,9.0013,88.14,169.5,-,-,-,C,-1.05,80.85,,BE
Belgium,BE,BE,2017-12-01 00:00:00,2017-11-30 00:00:00+00:00,2017-12-01,7.1473,164.0,4.36,0.0,130.3,130.3,9.0013,88.14,169.5,-,-,-,C,-1.45,79.4,,BE
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-01 00:00:00+00:00,2017-11-02,33.9187,84.0,40.38,2.02,64.1,62.0,34.8316,389.84,517.87,-,-,-,E,-0.18,97.38,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-02 00:00:00+00:00,2017-11-03,33.8231,84.0,40.27,0.02,95.7,95.7,34.8316,389.84,517.87,-,-,-,E,-0.27,97.1,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-03 00:00:00+00:00,2017-11-04,33.7309,84.0,40.16,1.07,93.2,92.2,34.8316,389.84,517.87,-,-,-,E,-0.26,96.84,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-04 00:00:00+00:00,2017-11-05,33.6469,84.0,40.06,2.79,86.8,84.0,34.8316,389.84,517.87,-,-,-,E,-0.24,96.6,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-05 00:00:00+00:00,2017-11-06,33.5627,84.0,39.96,2.79,87.0,84.2,34.8316,389.84,517.87,-,-,-,E,-0.24,96.36,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-06 00:00:00+00:00,2017-11-07,33.4699,84.0,39.85,0.02,92.8,92.8,34.8316,389.84,517.87,-,-,-,E,-0.27,96.09,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-07 00:00:00+00:00,2017-11-08,33.357,84.0,39.71,0.02,112.9,112.9,34.8316,389.84,517.87,-,-,-,E,-0.32,95.77,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-08 00:00:00+00:00,2017-11-09,33.231,84.0,39.56,0.02,125.9,125.9,34.8316,389.84,517.87,-,-,-,E,-0.36,95.4,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-09 00:00:00+00:00,2017-11-10,33.1215,84.0,39.43,0.02,109.6,109.6,34.8316,389.84,517.87,-,-,-,E,-0.31,95.09,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-10 00:00:00+00:00,2017-11-11,33.0116,84.0,39.3,0.02,109.9,109.9,34.8316,389.84,517.87,-,-,-,E,-0.32,94.77,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-11 00:00:00+00:00,2017-11-12,32.9177,84.0,39.19,0.02,93.9,93.9,34.8316,389.84,517.87,-,-,-,E,-0.27,94.51,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-12 00:00:00+00:00,2017-11-13,32.8136,84.0,39.06,0.02,104.1,104.1,34.8316,389.84,517.87,-,-,-,E,-0.3,94.21,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-13 00:00:00+00:00,2017-11-14,32.6925,84.0,38.92,0.02,121.2,121.1,34.8316,389.84,517.87,-,-,-,E,-0.35,93.86,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-14 00:00:00+00:00,2017-11-15,32.5555,84.0,38.76,0.02,137.0,137.0,34.8316,389.84,517.87,-,-,-,E,-0.39,93.47,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-15 00:00:00+00:00,2017-11-16,32.43,84.0,38.61,0.02,125.5,125.5,34.8316,389.84,517.87,-,-,-,E,-0.36,93.11,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-16 00:00:00+00:00,2017-11-17,32.3071,84.0,38.46,0.02,122.9,122.9,34.8316,389.84,517.87,-,-,-,E,-0.35,92.75,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-17 00:00:00+00:00,2017-11-18,32.17,84.0,38.3,0.02,137.1,137.0,34.8316,389.84,517.87,-,-,-,E,-0.39,92.36,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-18 00:00:00+00:00,2017-11-19,32.0585,84.0,38.16,0.02,111.6,111.6,34.8316,389.84,517.87,-,-,-,E,-0.32,92.04,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-19 00:00:00+00:00,2017-11-20,31.9337,84.0,38.02,0.32,125.1,124.7,34.8316,389.84,517.87,-,-,-,E,-0.36,91.68,,CZ
Czech Republic,CZ,CZ,2026-08-16 01:09:14,2017-11-20 00:00:00+00:00,2017-11-21,31.7852,84.0,37.84,0.02,148.6,148.6,34.8316,389.84,517.87,-,-,-,E,-0.43,91.25,,CZ
