name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info,country_code
Austria,AT,AT,2022-11-25 23:14:57,2021-05-01 00:00:00+00:00,2021-05-02,20.8365,90.0,23.15,198.06,22.8,-175.3,95.4801,841.57,1059.53,-,-,-,C,0.18,21.82,,AT
Austria,AT,AT,2022-11-25 23:14:57,2021-05-02 00:00:00+00:00,2021-05-03,20.9907,90.0,23.32,175.23,21.0,-154.3,95.4801,841.57,1059.53,-,-,-,C,0.16,21.98,,AT
Austria,AT,AT,2022-11-25 23:14:57,2021-05-03 00:00:00+00:00,2021-05-04,20.9012,90.0,23.22,0.0,89.5,89.5,95.4801,841.57,1059.53,-,-,-,C,-0.09,21.89,,AT
Austria,AT,AT,2022-11-25 23:14:57,2021-05-04 00:00:00+00:00,2021-05-05,20.7976,90.0,23.11,3.44,107.0,103.5,95.4801,841.57,1059.53,-,-,-,C,-0.11,21.78,,AT
Austria,AT,AT,2022-11-25 23:14:57,2021-05-05 00:00:00+00:00,2021-05-06,20.5958,90.0,22.88,1.62,203.3,201.7,95.4801,841.57,1059.53,-,-,-,C,-0.21,21.57,,AT
Austria,AT,AT,2022-11-25 23:14:58,2021-05-06 00:00:00+00:00,2021-05-07,20.2924,90.0,22.55,0.0,303.5,303.5,95.4801,841.57,1059.53,-,-,-,C,-0.32,21.25,,AT
Austria,AT,AT,2022-11-25 23:14:58,2021-05-07 00:00:00+00:00,2021-05-08,20.0647,90.0,22.29,5.27,232.9,227.6,95.4801,841.57,1059.53,-,-,-,C,-0.24,21.01,,AT
Austria,AT,AT,2022-11-25 23:14:58,2021-05-08 00:00:00+00:00,2021-05-09,20.2286,90.0,22.48,175.83,12.0,-163.9,95.4801,841.57,1059.53,-,-,-,C,0.17,21.19,,AT
Austria,AT,AT,2022-11-25 23:14:58,2021-05-09 00:00:00+00:00,2021-05-10,20.5657,90.0,22.85,353.64,16.6,-337.1,95.4801,841.57,1059.53,-,-,-,C,0.35,21.54,,AT
Austria,AT,AT,2022-11-25 23:14:58,2021-05-10 00:00:00+00:00,2021-05-11,20.7102,90.0,23.01,172.61,28.5,-144.1,95.4801,841.57,1059.53,-,-,-,C,0.15,21.69,,AT
Austria,AT,AT,2022-11-25 23:14:58,2021-05-11 00:00:00+00:00,2021-05-12,20.7535,90.0,23.06,74.64,31.3,-43.3,95.4801,841.57,1059.53,-,-,-,C,0.05,21.74,,AT
Austria,AT,AT,2022-11-25 23:14:58,2021-05-12 00:00:00+00:00,2021-05-13,20.7257,90.0,23.03,19.62,47.4,27.7,95.4801,841.57,1059.53,-,-,-,C,-0.03,21.71,,AT
Austria,AT,AT,2022-11-25 23:14:58,2021-05-13 00:00:00+00:00,2021-05-14,20.7453,90.0,23.05,94.54,75.0,-19.5,95.4801,841.57,1059.53,-,-,-,C,0.02,21.73,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-14 00:00:00+00:00,2021-05-15,20.8986,90.0,23.22,181.1,27.7,-153.4,95.4801,841.57,1059.53,-,-,-,C,0.16,21.89,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-15 00:00:00+00:00,2021-05-16,21.0343,90.0,23.37,295.24,159.6,-135.7,95.4801,841.57,1059.53,-,-,-,C,0.14,22.03,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-16 00:00:00+00:00,2021-05-17,21.1884,90.0,23.54,310.73,156.6,-154.1,95.4801,841.57,1059.53,-,-,-,C,0.16,22.19,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-17 00:00:00+00:00,2021-05-18,21.0702,90.0,23.41,66.25,181.9,115.6,95.4801,841.57,1059.53,-,-,-,C,-0.12,22.07,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-18 00:00:00+00:00,2021-05-19,20.8884,90.0,23.21,3.23,185.0,181.8,95.4801,841.57,1059.53,-,-,-,C,-0.19,21.88,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-19 00:00:00+00:00,2021-05-20,20.7005,90.0,23.0,6.77,193.0,186.2,95.4801,841.57,1059.53,-,-,-,C,-0.2,21.68,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-20 00:00:00+00:00,2021-05-21,20.6061,90.0,22.9,88.86,183.3,94.4,95.4801,841.57,1059.53,-,-,-,C,-0.1,21.58,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-21 00:00:00+00:00,2021-05-22,20.6306,90.0,22.92,168.28,143.8,-24.5,95.4801,841.57,1059.53,-,-,-,C,0.03,21.61,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-22 00:00:00+00:00,2021-05-23,20.7195,90.0,23.02,235.22,146.3,-88.9,95.4801,841.57,1059.53,-,-,-,C,0.09,21.7,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-23 00:00:00+00:00,2021-05-24,20.85,90.0,23.17,272.92,142.4,-130.5,95.4801,841.57,1059.53,-,-,-,C,0.14,21.84,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-24 00:00:00+00:00,2021-05-25,20.8008,90.0,23.11,110.48,159.7,49.2,95.4801,841.57,1059.53,-,-,-,C,-0.05,21.79,,AT
Austria,AT,AT,2022-11-25 23:14:59,2021-05-25 00:00:00+00:00,2021-05-26,20.6083,90.0,22.9,35.38,227.9,192.5,95.4801,841.57,1059.53,-,-,-,C,-0.2,21.58,,AT
Austria,AT,AT,2022-11-25 23:15:00,2021-05-26 00:00:00+00:00,2021-05-27,20.4575,90.0,22.73,45.03,195.8,150.8,95.4801,841.57,1059.53,-,-,-,C,-0.16,21.43,,AT
Austria,AT,AT,2022-11-25 23:15:00,2021-05-27 00:00:00+00:00,2021-05-28,20.1585,90.0,22.4,1.63,300.7,299.0,95.4801,841.57,1059.53,-,-,-,C,-0.31,21.11,,AT
Austria,AT,AT,2022-11-25 23:15:00,2021-05-28 00:00:00+00:00,2021-05-29,19.9973,90.0,22.22,29.18,190.4,161.2,95.4801,841.57,1059.53,-,-,-,C,-0.17,20.94,,AT
Austria,AT,AT,2022-11-25 23:15:00,2021-05-29 00:00:00+00:00,2021-05-30,20.1839,90.0,22.43,255.43,68.9,-186.6,95.4801,841.57,1059.53,-,-,-,C,0.2,21.14,,AT
Austria,AT,AT,2022-11-25 23:15:00,2021-05-30 00:00:00+00:00,2021-05-31,20.3867,90.0,22.65,302.29,99.5,-202.8,95.4801,841.57,1059.53,-,-,-,C,0.21,21.35,,AT
Austria,AT,AT,2022-11-25 23:15:00,2021-05-31 00:00:00+00:00,2021-06-01,20.4843,90.0,22.76,761.22,95.5,-665.7,95.4801,841.57,1059.53,-,-,-,C,0.1,21.45,,AT
Belgium,BE,BE,2021-05-02 00:00:00,2021-05-01 00:00:00+00:00,2021-05-02,2.0837,170.0,1.23,19.37,0.0,-19.4,9.0013,88.14,169.5,-,-,-,C,0.21,23.15,,BE
Belgium,BE,BE,2021-05-03 00:00:00,2021-05-02 00:00:00+00:00,2021-05-03,2.0991,170.0,1.23,15.36,0.0,-15.4,9.0013,88.14,169.5,-,-,-,C,0.17,23.32,,BE
Belgium,BE,BE,2021-05-04 00:00:00,2021-05-03 00:00:00+00:00,2021-05-04,2.1096,170.0,1.24,10.5,0.0,-10.5,9.0013,88.14,169.5,-,-,-,C,0.12,23.44,,BE
Belgium,BE,BE,2021-05-05 00:00:00,2021-05-04 00:00:00+00:00,2021-05-05,2.1242,170.0,1.25,14.57,0.0,-14.6,9.0013,88.14,169.5,-,-,-,C,0.16,23.6,,BE
