name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info,country_code
Austria,AT,AT,2026-05-28 12:40:12,2011-07-01 00:00:00+00:00,2011-07-02,39.4244,90.0,43.8,282.47,3.4,-279.1,53.5069,505.37,655.86,-,-,-,C,0.52,73.68,,AT
Austria,AT,AT,2026-05-28 12:40:14,2011-07-02 00:00:00+00:00,2011-07-03,39.7039,90.0,44.12,280.08,0.5,-279.5,53.5069,505.37,655.86,-,-,-,C,0.52,74.2,,AT
Austria,AT,AT,2026-05-28 12:40:16,2011-07-03 00:00:00+00:00,2011-07-04,39.9899,90.0,44.43,286.44,0.5,-285.9,53.5069,505.37,655.86,-,-,-,C,0.53,74.74,,AT
Austria,AT,AT,2026-05-28 12:40:18,2011-07-04 00:00:00+00:00,2011-07-05,40.2048,90.0,44.67,215.41,0.5,-214.9,53.5069,505.37,655.86,-,-,-,C,0.4,75.14,,AT
Austria,AT,AT,2026-05-28 12:40:20,2011-07-05 00:00:00+00:00,2011-07-06,40.4335,90.0,44.93,229.67,0.9,-228.8,53.5069,505.37,655.86,-,-,-,C,0.43,75.57,,AT
Austria,AT,AT,2026-05-28 12:40:22,2011-07-06 00:00:00+00:00,2011-07-07,40.6666,90.0,45.19,234.27,1.2,-233.0,53.5069,505.37,655.86,-,-,-,C,0.44,76.0,,AT
Austria,AT,AT,2026-05-28 12:40:24,2011-07-07 00:00:00+00:00,2011-07-08,40.9085,90.0,45.45,242.71,0.8,-242.0,53.5069,505.37,655.86,-,-,-,C,0.45,76.45,,AT
Austria,AT,AT,2026-05-28 12:40:27,2011-07-08 00:00:00+00:00,2011-07-09,41.1391,90.0,45.71,231.51,0.9,-230.6,53.5069,505.37,655.86,-,-,-,C,0.43,76.89,,AT
Austria,AT,AT,2026-05-28 12:40:29,2011-07-09 00:00:00+00:00,2011-07-10,41.3528,90.0,45.95,214.77,1.0,-213.7,53.5069,505.37,655.86,-,-,-,C,0.4,77.28,,AT
Austria,AT,AT,2026-05-28 12:40:31,2011-07-10 00:00:00+00:00,2011-07-11,41.5616,90.0,46.18,209.7,0.9,-208.8,53.5069,505.37,655.86,-,-,-,C,0.39,77.68,,AT
Austria,AT,AT,2026-05-28 12:40:33,2011-07-11 00:00:00+00:00,2011-07-12,41.7,90.0,46.33,138.99,0.6,-138.3,53.5069,505.37,655.86,-,-,-,C,0.26,77.93,,AT
Austria,AT,AT,2026-05-28 12:40:36,2011-07-12 00:00:00+00:00,2011-07-13,41.8639,90.0,46.52,167.36,3.4,-163.9,53.5069,505.37,655.86,-,-,-,C,0.31,78.24,,AT
Austria,AT,AT,2026-05-28 12:40:38,2011-07-13 00:00:00+00:00,2011-07-14,42.0562,90.0,46.73,193.25,0.9,-192.3,53.5069,505.37,655.86,-,-,-,C,0.36,78.6,,AT
Austria,AT,AT,2026-05-28 12:40:39,2011-07-14 00:00:00+00:00,2011-07-15,42.2387,90.0,46.93,179.93,0.6,-179.4,53.5069,505.37,655.86,-,-,-,C,0.34,78.94,,AT
Austria,AT,AT,2026-05-28 12:40:42,2011-07-15 00:00:00+00:00,2011-07-16,42.4751,90.0,47.19,236.93,0.6,-236.4,53.5069,505.37,655.86,-,-,-,C,0.44,79.38,,AT
Austria,AT,AT,2026-05-28 12:40:44,2011-07-16 00:00:00+00:00,2011-07-17,42.6503,90.0,47.39,175.78,0.6,-175.2,53.5069,505.37,655.86,-,-,-,C,0.33,79.71,,AT
Austria,AT,AT,2026-05-28 12:40:46,2011-07-17 00:00:00+00:00,2011-07-18,42.8424,90.0,47.6,192.61,0.6,-192.1,53.5069,505.37,655.86,-,-,-,C,0.36,80.07,,AT
Austria,AT,AT,2026-05-28 12:40:49,2011-07-18 00:00:00+00:00,2011-07-19,42.988,90.0,47.76,146.41,0.7,-145.7,53.5069,505.37,655.86,-,-,-,C,0.27,80.34,,AT
Austria,AT,AT,2026-05-28 12:40:51,2011-07-19 00:00:00+00:00,2011-07-20,43.1407,90.0,47.93,155.93,3.3,-152.6,53.5069,505.37,655.86,-,-,-,C,0.29,80.63,,AT
Austria,AT,AT,2026-05-28 12:40:53,2011-07-20 00:00:00+00:00,2011-07-21,43.3006,90.0,48.11,161.89,2.0,-159.9,53.5069,505.37,655.86,-,-,-,C,0.3,80.93,,AT
Austria,AT,AT,2026-05-28 12:40:56,2011-07-21 00:00:00+00:00,2011-07-22,43.4816,90.0,48.31,182.35,1.3,-181.1,53.5069,505.37,655.86,-,-,-,C,0.34,81.26,,AT
Austria,AT,AT,2026-05-28 12:40:58,2011-07-22 00:00:00+00:00,2011-07-23,43.6542,90.0,48.5,173.36,0.8,-172.5,53.5069,505.37,655.86,-,-,-,C,0.32,81.59,,AT
Austria,AT,AT,2026-05-28 12:41:00,2011-07-23 00:00:00+00:00,2011-07-24,43.8497,90.0,48.72,196.15,0.6,-195.5,53.5069,505.37,655.86,-,-,-,C,0.37,81.95,,AT
Austria,AT,AT,2026-05-28 12:41:02,2011-07-24 00:00:00+00:00,2011-07-25,44.0412,90.0,48.93,189.02,0.6,-188.4,53.5069,505.37,655.86,-,-,-,C,0.36,82.31,,AT
Austria,AT,AT,2026-05-28 12:41:05,2011-07-25 00:00:00+00:00,2011-07-26,44.2299,90.0,49.14,191.75,3.1,-188.7,53.5069,505.37,655.86,-,-,-,C,0.35,82.66,,AT
Austria,AT,AT,2026-05-28 12:41:07,2011-07-26 00:00:00+00:00,2011-07-27,44.3813,90.0,49.31,149.14,0.9,-148.3,53.5069,505.37,655.86,-,-,-,C,0.28,82.94,,AT
Austria,AT,AT,2026-05-28 12:41:09,2011-07-27 00:00:00+00:00,2011-07-28,44.5369,90.0,49.49,156.39,0.8,-155.6,53.5069,505.37,655.86,-,-,-,C,0.29,83.24,,AT
Austria,AT,AT,2026-05-28 12:41:12,2011-07-28 00:00:00+00:00,2011-07-29,44.6637,90.0,49.63,129.84,3.0,-126.8,53.5069,505.37,655.86,-,-,-,C,0.24,83.47,,AT
Austria,AT,AT,2026-05-28 12:41:14,2011-07-29 00:00:00+00:00,2011-07-30,44.831,90.0,49.81,168.75,1.5,-167.3,53.5069,505.37,655.86,-,-,-,C,0.31,83.79,,AT
Austria,AT,AT,2026-05-28 12:41:16,2011-07-30 00:00:00+00:00,2011-07-31,44.9351,90.0,49.93,170.51,66.3,-104.2,53.5069,505.37,655.86,-,-,-,C,0.19,83.98,,AT
Austria,AT,AT,2026-05-28 12:41:18,2011-07-31 00:00:00+00:00,2011-08-01,45.0945,90.0,50.11,159.93,0.5,-159.4,53.5069,505.37,655.86,-,-,-,C,0.3,84.28,,AT
Belgium,BE,BE,2026-05-28 12:40:10,2011-07-01 00:00:00+00:00,2011-07-02,5.2322,165.0,3.17,60.81,0.0,-60.8,8.088,81.93,168.06,-,-,-,C,1.18,64.69,,BE
Belgium,BE,BE,2026-05-28 12:40:12,2011-07-02 00:00:00+00:00,2011-07-03,5.2919,165.0,3.21,63.35,0.0,-63.4,8.0977,82.03,168.26,-,-,-,C,0.74,65.35,,BE
Belgium,BE,BE,2026-05-28 12:40:14,2011-07-03 00:00:00+00:00,2011-07-04,5.3526,165.0,3.24,65.2,0.0,-65.2,8.1095,82.15,168.51,-,-,-,C,0.75,66.0,,BE
Belgium,BE,BE,2026-05-28 12:40:16,2011-07-04 00:00:00+00:00,2011-07-05,5.4085,165.0,3.28,62.8,0.0,-62.8,8.1102,82.16,168.52,-,-,-,C,0.69,66.69,,BE
Belgium,BE,BE,2026-05-28 12:40:19,2011-07-05 00:00:00+00:00,2011-07-06,5.4681,165.0,3.31,65.52,0.0,-65.5,8.1177,82.23,168.68,-,-,-,C,0.73,67.36,,BE
Belgium,BE,BE,2026-05-28 12:40:21,2011-07-06 00:00:00+00:00,2011-07-07,5.5257,165.0,3.35,65.47,0.0,-65.5,8.1215,82.27,168.76,-,-,-,C,0.71,68.04,,BE
Belgium,BE,BE,2026-05-28 12:40:23,2011-07-07 00:00:00+00:00,2011-07-08,5.5813,165.0,3.38,66.21,0.0,-66.2,8.1221,82.28,168.77,-,-,-,C,0.68,68.72,,BE
Belgium,BE,BE,2026-05-28 12:40:25,2011-07-08 00:00:00+00:00,2011-07-09,5.6385,165.0,3.42,64.39,0.0,-64.4,8.1216,82.27,168.76,-,-,-,C,0.7,69.43,,BE
Belgium,BE,BE,2026-05-28 12:40:27,2011-07-09 00:00:00+00:00,2011-07-10,5.7052,165.0,3.46,62.92,0.0,-62.9,8.126,82.31,168.85,-,-,-,C,0.82,70.21,,BE
Belgium,BE,BE,2026-05-28 12:40:30,2011-07-10 00:00:00+00:00,2011-07-11,5.7481,165.0,3.48,64.63,0.0,-64.6,8.1192,82.25,168.71,-,-,-,C,0.53,70.8,,BE
Belgium,BE,BE,2026-05-28 12:40:32,2011-07-11 00:00:00+00:00,2011-07-12,5.7989,165.0,3.51,61.48,0.0,-61.5,8.121,82.27,168.75,-,-,-,C,0.63,71.41,,BE
Belgium,BE,BE,2026-05-28 12:40:34,2011-07-12 00:00:00+00:00,2011-07-13,5.8365,165.0,3.54,59.96,0.0,-60.0,8.1122,82.18,168.56,-,-,-,C,0.46,71.95,,BE
Belgium,BE,BE,2026-05-28 12:40:36,2011-07-13 00:00:00+00:00,2011-07-14,5.8615,165.0,3.55,30.6,0.0,-30.6,8.1167,82.22,168.66,-,-,-,C,0.31,72.22,,BE
Belgium,BE,BE,2026-05-28 12:40:38,2011-07-14 00:00:00+00:00,2011-07-15,5.8781,165.0,3.56,26.45,0.0,-26.4,8.1133,82.19,168.59,-,-,-,C,0.2,72.45,,BE
Belgium,BE,BE,2026-05-28 12:40:40,2011-07-15 00:00:00+00:00,2011-07-16,5.9027,165.0,3.58,23.49,0.0,-23.5,8.1128,82.18,168.58,-,-,-,C,0.3,72.76,,BE
Belgium,BE,BE,2026-05-28 12:40:43,2011-07-16 00:00:00+00:00,2011-07-17,5.933,165.0,3.6,42.82,0.0,-42.8,8.1198,82.25,168.72,-,-,-,C,0.37,73.07,,BE
Belgium,BE,BE,2026-05-28 12:40:45,2011-07-17 00:00:00+00:00,2011-07-18,5.9643,165.0,3.61,37.37,0.0,-37.4,8.1201,82.26,168.73,-,-,-,C,0.39,73.45,,BE
Belgium,BE,BE,2026-05-28 12:40:47,2011-07-18 00:00:00+00:00,2011-07-19,6.0007,165.0,3.64,27.24,0.0,-27.2,8.1223,82.28,168.77,-,-,-,C,0.45,73.88,,BE
Belgium,BE,BE,2026-05-28 12:40:50,2011-07-19 00:00:00+00:00,2011-07-20,6.0283,165.0,3.65,18.69,0.0,-18.7,8.1167,82.22,168.66,-,-,-,C,0.34,74.27,,BE
Belgium,BE,BE,2026-05-28 12:40:52,2011-07-20 00:00:00+00:00,2011-07-21,6.0447,165.0,3.66,19.54,0.0,-19.5,8.1077,82.13,168.47,-,-,-,C,0.2,74.56,,BE
Belgium,BE,BE,2026-05-28 12:40:54,2011-07-21 00:00:00+00:00,2011-07-22,6.0691,165.0,3.68,18.68,0.0,-18.7,8.1113,82.17,168.55,-,-,-,C,0.3,74.82,,BE
Belgium,BE,BE,2026-05-28 12:40:56,2011-07-22 00:00:00+00:00,2011-07-23,6.0789,165.0,3.68,19.43,0.0,-19.4,8.1015,82.07,168.34,-,-,-,C,0.12,75.03,,BE
Belgium,BE,BE,2026-05-28 12:40:59,2011-07-23 00:00:00+00:00,2011-07-24,6.0968,165.0,3.7,33.28,0.0,-33.3,8.1133,82.19,168.59,-,-,-,C,0.22,75.15,,BE
Belgium,BE,BE,2026-05-28 12:41:01,2011-07-24 00:00:00+00:00,2011-07-25,6.107,165.0,3.7,34.07,0.0,-34.1,8.1149,82.2,168.62,-,-,-,C,0.13,75.26,,BE
Belgium,BE,BE,2026-05-28 12:41:03,2011-07-25 00:00:00+00:00,2011-07-26,6.1396,165.0,3.72,34.03,0.0,-34.0,8.1207,82.26,168.74,-,-,-,C,0.4,75.6,,BE
Belgium,BE,BE,2026-05-28 12:41:06,2011-07-26 00:00:00+00:00,2011-07-27,6.1606,165.0,3.73,19.56,0.0,-19.6,8.1156,82.21,168.64,-,-,-,C,0.26,75.91,,BE
Belgium,BE,BE,2026-05-28 12:41:08,2011-07-27 00:00:00+00:00,2011-07-28,6.1798,165.0,3.75,0.0,0.0,-0.0,8.1134,82.19,168.59,-,-,-,C,0.24,76.17,,BE
Belgium,BE,BE,2026-05-28 12:41:10,2011-07-28 00:00:00+00:00,2011-07-29,6.1914,165.0,3.75,10.13,0.0,-10.1,8.1138,82.19,168.6,-,-,-,C,0.14,76.31,,BE
Belgium,BE,BE,2026-05-28 12:41:13,2011-07-29 00:00:00+00:00,2011-07-30,6.1907,165.0,3.75,1.59,0.0,-1.6,8.1086,82.14,168.49,-,-,-,C,-0.01,76.35,,BE
